seed,state_idx,split,ood_type,horizon,outcome_m1,outcome_0,outcome_p1,residual_m1,residual_p1,best_action,mode,history_obs,history_act
0,2752,train,none,1,"[-5.323286533355713, -0.6177110075950623]","[-4.924596786499023, -0.21902120113372803]","[-4.925906658172607, -0.22033141553401947]","[-0.39868974685668945, -0.39868980646133423]","[-0.0013098716735839844, -0.0013102144002914429]",0,0,"[[-4.852639675140381, -2.272263526916504], [-4.575917720794678, -2.4800078868865967], [-4.1158127784729, -2.1862189769744873], [-5.496702671051025, -2.6480321884155273], [-5.634247303009033, -2.707639455795288], [-4.656524181365967, -1.3423476219177246], [-4.125636577606201, -1.1097509860992432], [-5.004297733306885, -0.6486382484436035]]","[-1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0]"
0,2752,train,none,3,"[-5.090148448944092, -2.5459022521972656]","[-3.9718177318573, -1.4275718927383423]","[-3.956622838973999, -1.4123772382736206]","[-1.118330717086792, -1.1183303594589233]","[0.015194892883300781, 0.01519465446472168]",1,0,"[[-4.852639675140381, -2.272263526916504], [-4.575917720794678, -2.4800078868865967], [-4.1158127784729, -2.1862189769744873], [-5.496702671051025, -2.6480321884155273], [-5.634247303009033, -2.707639455795288], [-4.656524181365967, -1.3423476219177246], [-4.125636577606201, -1.1097509860992432], [-5.004297733306885, -0.6486382484436035]]","[-1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0]"
0,2752,train,none,5,"[-3.773084878921509, -3.1726722717285156]","[-2.728179931640625, -2.127768039703369]","[-3.5247390270233154, -2.9243271350860596]","[-1.0449049472808838, -1.0449042320251465]","[-0.7965590953826904, -0.7965590953826904]",0,0,"[[-4.852639675140381, -2.272263526916504], [-4.575917720794678, -2.4800078868865967], [-4.1158127784729, -2.1862189769744873], [-5.496702671051025, -2.6480321884155273], [-5.634247303009033, -2.707639455795288], [-4.656524181365967, -1.3423476219177246], [-4.125636577606201, -1.1097509860992432], [-5.004297733306885, -0.6486382484436035]]","[-1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0]"
0,2769,train,none,1,"[-3.8894505500793457, -0.11733265966176987]","[-3.4317870140075684, 0.34033095836639404]","[-3.3741233348846436, 0.3979945480823517]","[-0.45766353607177734, -0.4576636254787445]","[0.057663679122924805, 0.05766358971595764]",1,0,"[[-2.669438362121582, 1.3809409141540527], [-2.140969753265381, 1.1572253704071045], [-2.759465217590332, 0.6138717532157898], [-2.784778594970703, 1.2296274900436401], [-3.310525417327881, 0.5311803817749023], [-3.1511499881744385, 0.8021190166473389], [-2.9984488487243652, 0.48412439227104187], [-3.4329192638397217, -0.059846505522727966]]","[1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0]"
0,2769,train,none,3,"[-3.8838722705841064, -2.1820719242095947]","[-2.6245572566986084, -0.922756552696228]","[-2.432123899459839, -0.730323314666748]","[-1.259315013885498, -1.2593153715133667]","[0.19243335723876953, 0.19243323802947998]",1,0,"[[-2.669438362121582, 1.3809409141540527], [-2.140969753265381, 1.1572253704071045], [-2.759465217590332, 0.6138717532157898], [-2.784778594970703, 1.2296274900436401], [-3.310525417327881, 0.5311803817749023], [-3.1511499881744385, 0.8021190166473389], [-2.9984488487243652, 0.48412439227104187], [-3.4329192638397217, -0.059846505522727966]]","[1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0]"
0,2769,train,none,5,"[-2.6178693771362305, -2.7777645587921143]","[-1.512277364730835, -1.67217218875885]","[-2.284006357192993, -2.443901300430298]","[-1.1055920124053955, -1.1055923700332642]","[-0.7717289924621582, -0.7717291116714478]",0,0,"[[-2.669438362121582, 1.3809409141540527], [-2.140969753265381, 1.1572253704071045], [-2.759465217590332, 0.6138717532157898], [-2.784778594970703, 1.2296274900436401], [-3.310525417327881, 0.5311803817749023], [-3.1511499881744385, 0.8021190166473389], [-2.9984488487243652, 0.48412439227104187], [-3.4329192638397217, -0.059846505522727966]]","[1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0]"
0,442,train,none,1,"[-1.693526029586792, -1.9394594430923462]","[-1.770827293395996, -2.0167605876922607]","[-2.2481284141540527, -2.4940619468688965]","[0.0773012638092041, 0.07730114459991455]","[-0.47730112075805664, -0.47730135917663574]",-1,1,"[[-1.694820523262024, -3.382718086242676], [-2.595966100692749, -3.8176677227020264], [-2.5670502185821533, -3.7110278606414795], [-2.5514888763427734, -2.873195171356201], [-2.2772481441497803, -2.8641180992126465], [-2.148705005645752, -2.6642467975616455], [-1.2096092700958252, -2.4694762229919434], [-1.6845405101776123, -2.5409955978393555]]","[0.0, 1.0, 0.0, 0.0, -1.0, 0.0, -1.0, -1.0]"
0,442,train,none,3,"[-0.8540314435958862, -2.778522253036499]","[-1.1255409717559814, -3.0500316619873047]","[-2.4218170642852783, -4.346307754516602]","[0.2715095281600952, 0.27150940895080566]","[-1.2962760925292969, -1.2962760925292969]",-1,1,"[[-1.694820523262024, -3.382718086242676], [-2.595966100692749, -3.8176677227020264], [-2.5670502185821533, -3.7110278606414795], [-2.5514888763427734, -2.873195171356201], [-2.2772481441497803, -2.8641180992126465], [-2.148705005645752, -2.6642467975616455], [-1.2096092700958252, -2.4694762229919434], [-1.6845405101776123, -2.5409955978393555]]","[0.0, 1.0, 0.0, 0.0, -1.0, 0.0, -1.0, -1.0]"
0,442,train,none,5,"[-0.8141673803329468, -4.246789932250977]","[-0.15941527485847473, -3.5920379161834717]","[-1.3338738679885864, -4.766496181488037]","[-0.6547521352767944, -0.6547520160675049]","[-1.174458622932434, -1.1744582653045654]",0,1,"[[-1.694820523262024, -3.382718086242676], [-2.595966100692749, -3.8176677227020264], [-2.5670502185821533, -3.7110278606414795], [-2.5514888763427734, -2.873195171356201], [-2.2772481441497803, -2.8641180992126465], [-2.148705005645752, -2.6642467975616455], [-1.2096092700958252, -2.4694762229919434], [-1.6845405101776123, -2.5409955978393555]]","[0.0, 1.0, 0.0, 0.0, -1.0, 0.0, -1.0, -1.0]"
0,2095,train,none,1,"[-3.240125894546509, -3.355980396270752]","[-3.2373194694519043, -3.3531739711761475]","[-3.6345133781433105, -3.7503678798675537]","[-0.002806425094604492, -0.002806425094604492]","[-0.39719390869140625, -0.39719390869140625]",0,1,"[[-5.336884021759033, -2.891295909881592], [-5.378664493560791, -3.2339367866516113], [-5.901430606842041, -3.784376621246338], [-5.44875431060791, -3.616868019104004], [-4.437051296234131, -3.9690449237823486], [-3.82000994682312, -3.884213447570801], [-5.154327869415283, -4.117056846618652], [-3.2282166481018066, -3.947746515274048]]","[1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0]"
