seed,state_idx,split,ood_type,horizon,outcome_m1,outcome_0,outcome_p1,residual_m1,residual_p1,best_action,mode,history_obs,history_act
0,2752,train,none,1,"[-3.7794265747070312, -2.1399004459381104]","[-3.3451082706451416, -1.7055822610855103]","[-3.3107903003692627, -1.6712641716003418]","[-0.43431830406188965, -0.4343181848526001]","[0.034317970275878906, 0.03431808948516846]",1,0,"[[-3.904301881790161, -3.0516889095306396], [-3.696322441101074, -2.997464895248413], [-3.407684564590454, -2.7671358585357666], [-4.086459159851074, -3.1206459999084473], [-4.032914161682129, -3.0425336360931396], [-3.574436902999878, -2.445340633392334], [-3.257025957107544, -2.236560106277466], [-3.463923692703247, -1.9493941068649292]]","[-1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0]"
0,2752,train,none,3,"[-4.043997287750244, -3.1883082389831543]","[-2.845149278640747, -1.9894603490829468]","[-2.71663761138916, -1.8609484434127808]","[-1.198848009109497, -1.1988478899002075]","[0.12851166725158691, 0.12851190567016602]",1,0,"[[-3.904301881790161, -3.0516889095306396], [-3.696322441101074, -2.997464895248413], [-3.407684564590454, -2.7671358585357666], [-4.086459159851074, -3.1206459999084473], [-4.032914161682129, -3.0425336360931396], [-3.574436902999878, -2.445340633392334], [-3.257025957107544, -2.236560106277466], [-3.463923692703247, -1.9493941068649292]]","[-1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0]"
0,2752,train,none,5,"[-3.3571364879608154, -3.1678659915924072]","[-2.2703471183776855, -2.0810766220092773]","[-3.032773733139038, -2.843502998352051]","[-1.0867893695831299, -1.0867893695831299]","[-0.7624266147613525, -0.7624263763427734]",0,0,"[[-3.904301881790161, -3.0516889095306396], [-3.696322441101074, -2.997464895248413], [-3.407684564590454, -2.7671358585357666], [-4.086459159851074, -3.1206459999084473], [-4.032914161682129, -3.0425336360931396], [-3.574436902999878, -2.445340633392334], [-3.257025957107544, -2.236560106277466], [-3.463923692703247, -1.9493941068649292]]","[-1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0]"
0,2769,train,none,1,"[-3.2985992431640625, -1.9286584854125977]","[-2.8387808799743652, -1.4688400030136108]","[-2.7789623737335205, -1.4090216159820557]","[-0.45981836318969727, -0.4598184823989868]","[0.05981850624084473, 0.059818387031555176]",1,0,"[[-1.9154229164123535, -0.43756037950515747], [-1.5396699905395508, -0.3590477406978607], [-2.141007900238037, -0.9374943375587463], [-2.450767993927002, -0.9927034378051758], [-2.885812997817993, -1.5022940635681152], [-2.6949126720428467, -1.2713184356689453], [-2.5135998725891113, -1.2690280675888062], [-2.9309473037719727, -1.7001917362213135]]","[1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0]"
0,2769,train,none,3,"[-3.6440701484680176, -3.031681776046753]","[-2.3881888389587402, -1.7758004665374756]","[-2.1784443855285645, -1.5660558938980103]","[-1.2558813095092773, -1.2558813095092773]","[0.20974445343017578, 0.20974457263946533]",1,0,"[[-1.9154229164123535, -0.43756037950515747], [-1.5396699905395508, -0.3590477406978607], [-2.141007900238037, -0.9374943375587463], [-2.450767993927002, -0.9927034378051758], [-2.885812997817993, -1.5022940635681152], [-2.6949126720428467, -1.2713184356689453], [-2.5135998725891113, -1.2690280675888062], [-2.9309473037719727, -1.7001917362213135]]","[1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0]"
0,2769,train,none,5,"[-2.972808837890625, -3.003117084503174]","[-1.8579400777816772, -1.8882485628128052]","[-2.602944850921631, -2.633253335952759]","[-1.1148687601089478, -1.1148685216903687]","[-0.7450047731399536, -0.7450047731399536]",0,0,"[[-1.9154229164123535, -0.43756037950515747], [-1.5396699905395508, -0.3590477406978607], [-2.141007900238037, -0.9374943375587463], [-2.450767993927002, -0.9927034378051758], [-2.885812997817993, -1.5022940635681152], [-2.6949126720428467, -1.2713184356689453], [-2.5135998725891113, -1.2690280675888062], [-2.9309473037719727, -1.7001917362213135]]","[1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0]"
0,442,train,none,1,"[-1.692439079284668, -1.8024719953536987]","[-1.7832292318344116, -1.893262267112732]","[-2.274019479751587, -2.3840525150299072]","[0.09079015254974365, 0.0907902717590332]","[-0.4907902479171753, -0.4907902479171753]",-1,1,"[[-2.23258638381958, -2.83650541305542], [-2.782945394515991, -3.2070224285125732], [-2.6681411266326904, -3.0891425609588623], [-2.576465368270874, -2.698047399520874], [-2.360043525695801, -2.5770277976989746], [-2.2462456226348877, -2.4230432510375977], [-1.784818172454834, -2.239103317260742], [-1.819840431213379, -2.146951913833618]]","[0.0, 1.0, 0.0, 0.0, -1.0, 0.0, -1.0, -1.0]"
0,442,train,none,3,"[-1.121040940284729, -1.844328761100769]","[-1.4355535507202148, -2.158841609954834]","[-2.757134437561035, -3.4804224967956543]","[0.31451261043548584, 0.31451284885406494]","[-1.3215808868408203, -1.3215808868408203]",-1,1,"[[-2.23258638381958, -2.83650541305542], [-2.782945394515991, -3.2070224285125732], [-2.6681411266326904, -3.0891425609588623], [-2.576465368270874, -2.698047399520874], [-2.360043525695801, -2.5770277976989746], [-2.2462456226348877, -2.4230432510375977], [-1.784818172454834, -2.239103317260742], [-1.819840431213379, -2.146951913833618]]","[0.0, 1.0, 0.0, 0.0, -1.0, 0.0, -1.0, -1.0]"
0,442,train,none,5,"[-1.7067471742630005, -2.9425034523010254]","[-0.9981868267059326, -2.233943223953247]","[-2.1539149284362793, -3.3896713256835938]","[-0.7085603475570679, -0.7085602283477783]","[-1.1557281017303467, -1.1557281017303467]",0,1,"[[-2.23258638381958, -2.83650541305542], [-2.782945394515991, -3.2070224285125732], [-2.6681411266326904, -3.0891425609588623], [-2.576465368270874, -2.698047399520874], [-2.360043525695801, -2.5770277976989746], [-2.2462456226348877, -2.4230432510375977], [-1.784818172454834, -2.239103317260742], [-1.819840431213379, -2.146951913833618]]","[0.0, 1.0, 0.0, 0.0, -1.0, 0.0, -1.0, -1.0]"
0,2095,train,none,1,"[-3.493088960647583, -3.4491682052612305]","[-3.4867894649505615, -3.44286847114563]","[-3.8804898262023926, -3.83656907081604]","[-0.006299495697021484, -0.006299734115600586]","[-0.39370036125183105, -0.39370059967041016]",0,1,"[[-4.20759391784668, -3.2596640586853027], [-4.365781784057617, -3.516327381134033], [-4.432945728302002, -3.5754787921905518], [-4.4157633781433105, -3.651790142059326], [-4.181057453155518, -3.913313150405884], [-3.8295185565948486, -3.7512731552124023], [-4.425258159637451, -3.970571994781494], [-3.6130616664886475, -3.778116464614868]]","[1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0]"
0,2095,train,none,3,"[-2.9691967964172363, -3.553541421890259]","[-2.9730167388916016, -3.557361125946045]","[-4.075372219085693, -4.659717082977295]","[0.0038199424743652344, 0.003819704055786133]","[-1.1023554801940918, -1.10235595703125]",-1,1,"[[-4.20759391784668, -3.2596640586853027], [-4.365781784057617, -3.516327381134033], [-4.432945728302002, -3.5754787921905518], [-4.4157633781433105, -3.651790142059326], [-4.181057453155518, -3.913313150405884], [-3.8295185565948486, -3.7512731552124023], [-4.425258159637451, -3.970571994781494], [-3.6130616664886475, -3.778116464614868]]","[1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0]"
0,2095,train,none,5,"[-3.169203042984009, -4.279562950134277]","[-2.3857474327087402, -3.4961071014404297]","[-3.4348251819610596, -4.545185565948486]","[-0.7834556102752686, -0.7834558486938477]","[-1.0490777492523193, -1.0490784645080566]",0,1,"[[-4.20759391784668, -3.2596640586853027], [-4.365781784057617, -3.516327381134033], [-4.432945728302002, -3.5754787921905518], [-4.4157633781433105, -3.651790142059326], [-4.181057453155518, -3.913313150405884], [-3.8295185565948486, -3.7512731552124023], [-4.425258159637451, -3.970571994781494], [-3.6130616664886475, -3.778116464614868]]","[1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0]"
0,2061,train,none,1,"[-4.090541362762451, -3.0853428840637207]","[-4.079075813293457, -3.0738773345947266]","[-4.467609882354736, -3.462411880493164]","[-0.01146554946899414, -0.01146554946899414]","[-0.3885340690612793, -0.3885345458984375]",0,1,"[[-3.691955089569092, -3.14370059967041], [-4.187349796295166, -3.335692882537842], [-4.115451335906982, -3.5717453956604004], [-4.075191020965576, -3.4308338165283203], [-4.160879611968994, -3.806424617767334], [-3.844958543777466, -3.529397964477539], [-3.682404041290283, -3.247908115386963], [-4.236520767211914, -3.389704704284668]]","[0.0, 1.0, 1.0, 0.0, 1.0, -1.0, -1.0, 1.0]"
0,2061,train,none,3,"[-3.5197012424468994, -3.236492872238159]","[-3.5075550079345703, -3.22434663772583]","[-4.597290992736816, -4.314083099365234]","[-0.012146234512329102, -0.012146234512329102]","[-1.089735984802246, -1.0897364616394043]",0,1,"[[-3.691955089569092, -3.14370059967041], [-4.187349796295166, -3.335692882537842], [-4.115451335906982, -3.5717453956604004], [-4.075191020965576, -3.4308338165283203], [-4.160879611968994, -3.806424617767334], [-3.844958543777466, -3.529397964477539], [-3.682404041290283, -3.247908115386963], [-4.236520767211914, -3.389704704284668]]","[0.0, 1.0, 1.0, 0.0, 1.0, -1.0, -1.0, 1.0]"
0,2061,train,none,5,"[-3.6581482887268066, -3.985541582107544]","[-2.8681681156158447, -3.195561647415161]","[-3.9102466106414795, -4.237640380859375]","[-0.7899801731109619, -0.7899799346923828]","[-1.0420784950256348, -1.0420787334442139]",0,1,"[[-3.691955089569092, -3.14370059967041], [-4.187349796295166, -3.335692882537842], [-4.115451335906982, -3.5717453956604004], [-4.075191020965576, -3.4308338165283203], [-4.160879611968994, -3.806424617767334], [-3.844958543777466, -3.529397964477539], [-3.682404041290283, -3.247908115386963], [-4.236520767211914, -3.389704704284668]]","[0.0, 1.0, 1.0, 0.0, 1.0, -1.0, -1.0, 1.0]"
0,1862,train,none,1,"[-4.361087322235107, -3.9918642044067383]","[-3.9797260761260986, -3.6105031967163086]","[-3.9983649253845215, -3.6291420459747314]","[-0.3813612461090088, -0.3813610076904297]","[-0.01863884925842285, -0.01863884925842285]",0,0,"[[-3.07188081741333, -2.6197938919067383], [-2.828913450241089, -2.690080404281616], [-3.133408784866333, -3.2558400630950928], [-3.403978109359741, -3.646216630935669], [-3.4423303604125977, -3.5776758193969727], [-3.2678089141845703, -3.466337203979492], [-3.6177804470062256, -3.871638774871826], [-4.131942272186279, -3.9545738697052]]","[1.0, 0.0, -1.0, -1.0, 0.0, 1.0, -1.0, -1.0]"
0,1862,train,none,3,"[-4.4899749755859375, -4.780734062194824]","[-3.41789174079895, -3.708651542663574]","[-3.4515936374664307, -3.7423529624938965]","[-1.0720832347869873, -1.07208251953125]","[-0.03370189666748047, -0.033701419830322266]",0,0,"[[-3.07188081741333, -2.6197938919067383], [-2.828913450241089, -2.690080404281616], [-3.133408784866333, -3.2558400630950928], [-3.403978109359741, -3.646216630935669], [-3.4423303604125977, -3.5776758193969727], [-3.2678089141845703, -3.466337203979492], [-3.6177804470062256, -3.871638774871826], [-4.131942272186279, -3.9545738697052]]","[1.0, 0.0, -1.0, -1.0, 0.0, 1.0, -1.0, -1.0]"
0,1862,train,none,5,"[-3.823328733444214, -4.668727397918701]","[-2.7872469425201416, -3.6326467990875244]","[-3.5807387828826904, -4.426137924194336]","[-1.0360817909240723, -1.0360805988311768]","[-0.7934918403625488, -0.7934911251068115]",0,0,"[[-3.07188081741333, -2.6197938919067383], [-2.828913450241089, -2.690080404281616], [-3.133408784866333, -3.2558400630950928], [-3.403978109359741, -3.646216630935669], [-3.4423303604125977, -3.5776758193969727], [-3.2678089141845703, -3.466337203979492], [-3.6177804470062256, -3.871638774871826], [-4.131942272186279, -3.9545738697052]]","[1.0, 0.0, -1.0, -1.0, 0.0, 1.0, -1.0, -1.0]"
