seed,horizon,p_best_m1,p_best_0,p_best_p1,oracle_action_entropy,zero_action_optimal_rate,n_samples
0,1,0.45666666666666667,0.10416666666666667,0.43916666666666665,0.8692021829564415,0.10416666666666667,1200
0,3,0.47333333333333333,0.0675,0.45916666666666667,0.8131857092077963,0.0675,1200
0,5,0.0,1.0,0.0,0.0,1.0,1200
1,1,0.43916666666666665,0.1025,0.4583333333333333,0.8669450518801248,0.1025,1200
1,3,0.0033333333333333335,0.9941666666666666,0.0025,0.036234398879642055,0.9941666666666666,1200
1,5,0.0,1.0,0.0,0.0,1.0,1200
2,1,0.43333333333333335,0.049166666666666664,0.5175,0.7749700238346037,0.049166666666666664,1200
2,3,0.44166666666666665,0.02,0.5383333333333333,0.7032035077739129,0.02,1200
2,5,0.4483333333333333,0.0033333333333333335,0.5483333333333333,0.6445876342310864,0.0033333333333333335,1200
3,1,0.44583333333333336,0.10666666666666667,0.4475,0.8726453170933917,0.10666666666666667,1200
3,3,0.47583333333333333,0.0475,0.4766666666666667,0.7748954062465515,0.0475,1200
3,5,0.49166666666666664,0.02,0.48833333333333334,0.7075450450546839,0.02,1200
4,1,0.43083333333333335,0.11,0.45916666666666667,0.8765287468450489,0.11,1200
4,3,0.46,0.05333333333333334,0.4866666666666667,0.7864641305325212,0.05333333333333334,1200
4,5,0.47333333333333333,0.025833333333333333,0.5008333333333334,0.7234566795013087,0.025833333333333333,1200
5,1,0.4691666666666667,0.11333333333333333,0.4175,0.8797576293507002,0.11333333333333333,1200
5,3,0.49833333333333335,0.06416666666666666,0.4375,0.8055373110843324,0.06416666666666666,1200
5,5,0.0,1.0,0.0,0.0,1.0,1200
6,1,0.4766666666666667,0.0725,0.4508333333333333,0.8215749957584123,0.0725,1200
6,3,0.48833333333333334,0.04666666666666667,0.465,0.7728801909608095,0.04666666666666667,1200
6,5,0.5008333333333334,0.03,0.4691666666666667,0.7341788855147429,0.03,1200
7,1,0.42583333333333334,0.11166666666666666,0.4625,0.8783577230101007,0.11166666666666666,1200
7,3,0.0008333333333333334,0.9983333333333333,0.0008333333333333334,0.012271910546501856,0.9983333333333333,1200
7,5,0.0,1.0,0.0,0.0,1.0,1200
8,1,0.49166666666666664,0.085,0.42333333333333334,0.839686662933676,0.085,1200
8,3,0.49916666666666665,0.055,0.44583333333333336,0.7887227321703264,0.055,1200
8,5,0.51,0.028333333333333332,0.46166666666666667,0.7292886380814873,0.028333333333333332,1200
9,1,0.44083333333333335,0.09333333333333334,0.4658333333333333,0.8540698001571231,0.09333333333333334,1200
9,3,0.4525,0.06583333333333333,0.4816666666666667,0.8099170325927865,0.06583333333333333,1200
9,5,0.019166666666666665,0.9616666666666667,0.019166666666666665,0.17220030625883767,0.9616666666666667,1200
