seed,full_history_match,short_history_match,current_obs_match,permuted_history_match,full_vs_current_advantage,permuted_impairment,short_degradation
0,0.72,0.71,0.505,0.555,0.21499999999999997,0.16499999999999992,0.010000000000000009
1,0.76,0.8,0.455,0.53,0.305,0.22999999999999998,-0.040000000000000036
2,0.66,0.755,0.5,0.47,0.16000000000000003,0.19000000000000006,-0.09499999999999997
3,0.69,0.755,0.395,0.385,0.29499999999999993,0.30499999999999994,-0.06500000000000006
4,0.7,0.555,0.465,0.47,0.23499999999999993,0.22999999999999998,0.1449999999999999
5,0.775,0.815,0.475,0.42,0.30000000000000004,0.35500000000000004,-0.039999999999999925
6,0.735,0.63,0.44,0.575,0.295,0.16000000000000003,0.10499999999999998
7,0.7,0.76,0.465,0.42,0.23499999999999993,0.27999999999999997,-0.06000000000000005
8,0.49,0.755,0.47,0.545,0.020000000000000018,-0.05500000000000005,-0.265
9,0.68,0.805,0.485,0.575,0.19500000000000006,0.1050000000000001,-0.125
