seed,oracle_match,learned_so_clf_match,learned_so_reg_match,learned_ao_match,majority_match,rule_so_match,rule_ao_match,oracle_so_gap,oracle_ao_gap
0,1.0,0.72,0.33,0.46,0.46,0.10416666666666667,0.45666666666666667,0.28,0.54
1,1.0,0.76,0.36,0.505,0.505,0.1025,0.4583333333333333,0.24,0.495
2,1.0,0.66,0.335,0.495,0.495,0.049166666666666664,0.5175,0.33999999999999997,0.505
3,1.0,0.69,0.345,0.37,0.37,0.10666666666666667,0.4475,0.31000000000000005,0.63
4,1.0,0.7,0.245,0.48,0.48,0.11,0.45916666666666667,0.30000000000000004,0.52
5,1.0,0.775,0.245,0.47,0.47,0.11333333333333333,0.4691666666666667,0.22499999999999998,0.53
6,1.0,0.735,0.32,0.425,0.425,0.0725,0.4766666666666667,0.265,0.575
7,1.0,0.7,0.27,0.46,0.46,0.11166666666666666,0.4625,0.30000000000000004,0.54
8,1.0,0.49,0.27,0.445,0.445,0.085,0.49166666666666664,0.51,0.5549999999999999
9,1.0,0.68,0.3,0.46,0.46,0.09333333333333334,0.4658333333333333,0.31999999999999995,0.54
