seed,state_idx,horizon,outcome_m1,outcome_0,outcome_p1,residual_m1,residual_p1,best_action,mode
0,833,1,"[1.1192628145217896, 1.2540175914764404]","[1.8192627429962158, 1.9540176391601562]","[2.5192627906799316, 2.654017686843872]","[-0.6999999284744263, -0.7000000476837158]","[0.7000000476837158, 0.7000000476837158]",1,0
0,833,3,"[-0.36502668261528015, -0.4069693386554718]","[1.5573742389678955, 1.5154317617416382]","[3.4797754287719727, 3.4378325939178467]","[-1.922400951385498, -1.9224010705947876]","[1.9224011898040771, 1.9224008321762085]",1,0
0,833,5,"[1.147239327430725, 0.8792724013328552]","[1.4103130102157593, 1.1423461437225342]","[1.673386812210083, 1.4054195880889893]","[-0.2630736827850342, -0.26307374238967896]","[0.26307380199432373, 0.2630734443664551]",1,0
0,0,1,"[0.5324690937995911, 0.5457884669303894]","[-0.1675308793783188, -0.15421150624752045]","[-0.867530882358551, -0.8542115092277527]","[0.699999988079071, 0.699999988079071]","[-0.699999988079071, -0.699999988079071]",-1,1
0,0,3,"[1.8240073919296265, 1.6808620691299438]","[-0.09839355945587158, -0.241538867354393]","[-2.020794630050659, -2.163939952850342]","[1.922400951385498, 1.922400951385498]","[-1.9224010705947876, -1.9224010705947876]",-1,1
0,0,5,"[0.293491393327713, -0.058816589415073395]","[0.03041772171854973, -0.3218901753425598]","[-0.23265597224235535, -0.5849639177322388]","[0.2630736827850342, 0.263073593378067]","[-0.2630736827850342, -0.26307374238967896]",-1,1
0,2948,1,"[-0.6408074498176575, -0.4513167440891266]","[-1.3408074378967285, -1.15131676197052]","[-2.0408074855804443, -1.8513166904449463]","[0.699999988079071, 0.7000000476837158]","[-0.7000000476837158, -0.6999999284744263]",-1,1
0,2948,3,"[0.8462141156196594, 0.8498876690864563]","[-1.0761868953704834, -1.0725133419036865]","[-2.9985880851745605, -2.9949142932891846]","[1.922400951385498, 1.922400951385498]","[-1.9224011898040771, -1.922400951385498]",-1,1
0,2948,5,"[-0.5213887691497803, -0.7513397932052612]","[-0.7844624519348145, -1.0144134759902954]","[-1.0475361347198486, -1.27748703956604]","[0.2630736827850342, 0.2630736827850342]","[-0.2630736827850342, -0.26307356357574463]",-1,1
0,194,1,"[0.6363534927368164, 0.747549831867218]","[1.3363535404205322, 1.447549819946289]","[2.036353588104248, 2.147549867630005]","[-0.7000000476837158, -0.699999988079071]","[0.7000000476837158, 0.7000000476837158]",1,0
0,194,3,"[-0.7674770355224609, -0.8290529251098633]","[1.1549240350723267, 1.0933480262756348]","[3.0773251056671143, 3.015749216079712]","[-1.9224010705947876, -1.922400951385498]","[1.9224010705947876, 1.9224011898040771]",1,0
0,194,5,"[0.8118425011634827, 0.5275134444236755]","[1.0749162435531616, 0.7905870676040649]","[1.3379899263381958, 1.0536608695983887]","[-0.26307374238967896, -0.2630736231803894]","[0.2630736827850342, 0.26307380199432373]",1,0
0,450,1,"[1.92872154712677, 2.067385196685791]","[1.2287216186523438, 1.3673852682113647]","[0.5287215709686279, 0.6673853397369385]","[0.6999999284744263, 0.6999999284744263]","[-0.7000000476837158, -0.6999999284744263]",-1,1
0,450,3,"[2.98762583732605, 2.9489409923553467]","[1.0652250051498413, 1.026539921760559]","[-0.8571760654449463, -0.8958609700202942]","[1.9224008321762085, 1.9224010705947876]","[-1.9224010705947876, -1.922400951385498]",-1,1
0,450,5,"[1.2632356882095337, 0.9979837536811829]","[1.0001622438430786, 0.7349100708961487]","[0.7370885014533997, 0.47183650732040405]","[0.2630734443664551, 0.2630736827850342]","[-0.26307374238967896, -0.26307356357574463]",-1,1
0,2764,1,"[1.4029730558395386, 1.654219150543213]","[2.102972984313965, 2.3542191982269287]","[2.8029730319976807, 3.0542192459106445]","[-0.6999999284744263, -0.7000000476837158]","[0.7000000476837158, 0.7000000476837158]",1,0
0,2764,3,"[-0.1285863071680069, -0.07344657927751541]","[1.7938146591186523, 1.8489545583724976]","[3.7162158489227295, 3.771355628967285]","[-1.922400951385498, -1.9224011898040771]","[1.9224011898040771, 1.9224010705947876]",1,0
0,2764,5,"[1.3442857265472412, 1.1572258472442627]","[1.6073592901229858, 1.4202996492385864]","[1.8704332113265991, 1.6833734512329102]","[-0.26307356357574463, -0.26307380199432373]","[0.2630739212036133, 0.26307380199432373]",1,0
0,523,1,"[-1.0216642618179321, -0.7688654065132141]","[-0.32166430354118347, -0.06886543333530426]","[0.3783356845378876, 0.631134569644928]","[-0.6999999284744263, -0.699999988079071]","[0.699999988079071, 0.699999988079071]",1,0
0,523,3,"[-2.149247407913208, -2.092813491821289]","[-0.2268463373184204, -0.1704125702381134]","[1.6955546140670776, 1.751988410949707]","[-1.9224010705947876, -1.922400951385498]","[1.922400951385498, 1.922400951385498]",1,0
0,523,5,"[-0.3397068977355957, -0.525688111782074]","[-0.07663314044475555, -0.26261448860168457]","[0.18644046783447266, 0.00045918815885670483]","[-0.26307374238967896, -0.2630736231803894]","[0.2630736231803894, 0.2630736827850342]",1,0
0,600,1,"[1.7505289316177368, 1.759224534034729]","[2.450528860092163, 2.4592244625091553]","[3.150528907775879, 3.159224510192871]","[-0.6999999284744263, -0.6999999284744263]","[0.7000000476837158, 0.7000000476837158]",1,0
0,600,3,"[0.16106222569942474, 0.014063503593206406]","[2.083463191986084, 1.9364644289016724]","[4.005864143371582, 3.85886549949646]","[-1.922400951385498, -1.922400951385498]","[1.922400951385498, 1.9224010705947876]",1,0
0,600,5,"[1.5856750011444092, 1.23015558719635]","[1.8487485647201538, 1.4932292699813843]","[2.1118223667144775, 1.756303071975708]","[-0.26307356357574463, -0.2630736827850342]","[0.26307380199432373, 0.26307380199432373]",1,0
0,789,1,"[0.46810582280158997, 0.35564032196998596]","[-0.23189416527748108, -0.3443596661090851]","[-0.9318941831588745, -1.0443596839904785]","[0.699999988079071, 0.699999988079071]","[-0.7000000476837158, -0.7000000476837158]",-1,1
0,789,3,"[1.770367980003357, 1.522395133972168]","[-0.15203307569026947, -0.40000584721565247]","[-2.0744340419769287, -2.3224070072174072]","[1.9224010705947876, 1.922400951385498]","[-1.922400951385498, -1.9224011898040771]",-1,1
0,789,5,"[0.2487889528274536, -0.1908808797597885]","[-0.014284753240644932, -0.4539544880390167]","[-0.27735841274261475, -0.7170282602310181]","[0.26307371258735657, 0.2630736231803894]","[-0.2630736529827118, -0.26307377219200134]",-1,1
0,2121,1,"[-0.702719509601593, -0.8790122866630554]","[-0.002719531999900937, -0.17901232838630676]","[0.6972804665565491, 0.5209876894950867]","[-0.699999988079071, -0.6999999284744263]","[0.699999988079071, 0.7000000476837158]",1,0
0,2121,3,"[-1.883442997932434, -2.1846084594726562]","[0.03895805776119232, -0.2622075378894806]","[1.9613591432571411, 1.6601934432983398]","[-1.9224010705947876, -1.922400951385498]","[1.9224010705947876, 1.922400951385498]",1,0
0,2121,5,"[-0.1181889995932579, -0.602188766002655]","[0.14488476514816284, -0.3391152024269104]","[0.4079584777355194, -0.07604154199361801]","[-0.26307377219200134, -0.26307356357574463]","[0.26307371258735657, 0.2630736529827118]",1,0
0,1347,1,"[0.6116203665733337, 0.7089975476264954]","[1.3116203546524048, 1.4089975357055664]","[2.011620283126831, 2.1089975833892822]","[-0.699999988079071, -0.699999988079071]","[0.6999999284744263, 0.7000000476837158]",1,0
