seed,state_idx,horizon,outcome_m1,outcome_0,outcome_p1,residual_m1,residual_p1,best_action,mode
0,833,1,"[0.9787606000900269, 1.1161705255508423]","[1.7981338500976562, 1.9355437755584717]","[2.617506980895996, 2.7549169063568115]","[-0.8193732500076294, -0.8193732500076294]","[0.8193731307983398, 0.8193731307983398]",1,0
0,833,3,"[-0.6796842217445374, -0.6804683804512024]","[1.6575779914855957, 1.6567938327789307]","[3.994840145111084, 3.994055986404419]","[-2.3372621536254883, -2.3372621536254883]","[2.3372621536254883, 2.3372621536254883]",1,0
0,833,5,"[1.0438429117202759, 0.9265373945236206]","[1.5554441213607788, 1.438138723373413]","[2.0670454502105713, 1.9497400522232056]","[-0.5116012096405029, -0.5116013288497925]","[0.5116013288497925, 0.5116013288497925]",1,0
0,0,1,"[0.6957592964172363, 0.6377137899398804]","[-0.12361396849155426, -0.18165944516658783]","[-0.9429872035980225, -1.0010327100753784]","[0.8193732500076294, 0.8193732500076294]","[-0.8193732500076294, -0.8193732500076294]",-1,1
0,0,3,"[2.260462760925293, 2.083280086517334]","[-0.0767994299530983, -0.2539821267127991]","[-2.4140615463256836, -2.5912444591522217]","[2.3372621536254883, 2.3372621536254883]","[-2.3372621536254883, -2.3372623920440674]",-1,1
0,0,5,"[0.5017698407173157, 0.2252647429704666]","[-0.00983143039047718, -0.28633660078048706]","[-0.521432638168335, -0.7979380488395691]","[0.5116012692451477, 0.5116013288497925]","[-0.5116012096405029, -0.511601448059082]",-1,1
0,2948,1,"[-0.5267748832702637, -0.38219425082206726]","[-1.346148133277893, -1.201567530632019]","[-2.1655213832855225, -2.0209407806396484]","[0.8193732500076294, 0.8193732500076294]","[-0.8193732500076294, -0.8193732500076294]",-1,1
0,2948,3,"[1.15712571144104, 1.1628130674362183]","[-1.1801365613937378, -1.17444908618927]","[-3.5173985958099365, -3.511711359024048]","[2.3372621536254883, 2.3372621536254883]","[-2.3372621536254883, -2.3372621536254883]",-1,1
0,2948,5,"[-0.49399182200431824, -0.6054567694664001]","[-1.005593180656433, -1.1170580387115479]","[-1.5171942710876465, -1.6286593675613403]","[0.5116013288497925, 0.5116012692451477]","[-0.5116010904312134, -0.5116013288497925]",-1,1
0,194,1,"[1.8195796012878418, 1.8611253499984741]","[2.6389529705047607, 2.6804986000061035]","[3.4583261013031006, 3.4998719692230225]","[-0.819373369216919, -0.8193732500076294]","[0.8193731307983398, 0.819373369216919]",1,0
0,194,3,"[0.07915491610765457, -0.008146698586642742]","[2.416417360305786, 2.329115390777588]","[4.753679275512695, 4.666378021240234]","[-2.3372623920440674, -2.3372621536254883]","[2.337261915206909, 2.3372626304626465]",1,0
0,194,5,"[1.7286951541900635, 1.533307671546936]","[2.2402966022491455, 2.0449087619781494]","[2.7518978118896484, 2.5565104484558105]","[-0.511601448059082, -0.5116010904312134]","[0.5116012096405029, 0.5116016864776611]",1,0
