seed,state_idx,horizon,outcome_m1,outcome_0,outcome_p1,residual_m1,residual_p1,best_action,mode
0,833,1,"[2.2171812057495117, 2.3545913696289062]","[1.517181158065796, 1.6545913219451904]","[0.8171811699867249, 0.9545913338661194]","[0.7000000476837158, 0.7000000476837158]","[-0.699999988079071, -0.699999988079071]",-1,0
0,833,3,"[2.2171812057495117, 2.3545913696289062]","[1.517181158065796, 1.6545913219451904]","[0.8171811699867249, 0.9545913338661194]","[0.7000000476837158, 0.7000000476837158]","[-0.699999988079071, -0.699999988079071]",-1,0
0,833,5,"[2.2171812057495117, 2.3545913696289062]","[1.517181158065796, 1.6545913219451904]","[0.8171811699867249, 0.9545913338661194]","[0.7000000476837158, 0.7000000476837158]","[-0.699999988079071, -0.699999988079071]",-1,0
0,0,1,"[-0.8236139416694641, -0.8816594481468201]","[-0.12361396849155426, -0.18165944516658783]","[0.576386034488678, 0.518340528011322]","[-0.699999988079071, -0.699999988079071]","[0.699999988079071, 0.699999988079071]",1,1
0,0,3,"[-0.8236139416694641, -0.8816594481468201]","[-0.12361396849155426, -0.18165944516658783]","[0.576386034488678, 0.518340528011322]","[-0.699999988079071, -0.699999988079071]","[0.699999988079071, 0.699999988079071]",1,1
0,0,5,"[-0.8236139416694641, -0.8816594481468201]","[-0.12361396849155426, -0.18165944516658783]","[0.576386034488678, 0.518340528011322]","[-0.699999988079071, -0.699999988079071]","[0.699999988079071, 0.699999988079071]",1,1
0,2948,1,"[-1.8438835144042969, -1.6993027925491333]","[-1.1438835859298706, -0.9993028044700623]","[-0.4438835680484772, -0.2993028461933136]","[-0.6999999284744263, -0.699999988079071]","[0.7000000476837158, 0.6999999284744263]",1,1
0,2948,3,"[-1.8438835144042969, -1.6993027925491333]","[-1.1438835859298706, -0.9993028044700623]","[-0.4438835680484772, -0.2993028461933136]","[-0.6999999284744263, -0.699999988079071]","[0.7000000476837158, 0.6999999284744263]",1,1
0,2948,5,"[-1.8438835144042969, -1.6993027925491333]","[-1.1438835859298706, -0.9993028044700623]","[-0.4438835680484772, -0.2993028461933136]","[-0.6999999284744263, -0.699999988079071]","[0.7000000476837158, 0.6999999284744263]",1,1
0,194,1,"[2.9400243759155273, 2.981570243835449]","[2.2400243282318115, 2.2815704345703125]","[1.5400243997573853, 1.5815703868865967]","[0.7000000476837158, 0.6999998092651367]","[-0.6999999284744263, -0.7000000476837158]",-1,0
0,194,3,"[2.9400243759155273, 2.981570243835449]","[2.2400243282318115, 2.2815704345703125]","[1.5400243997573853, 1.5815703868865967]","[0.7000000476837158, 0.6999998092651367]","[-0.6999999284744263, -0.7000000476837158]",-1,0
0,194,5,"[2.9400243759155273, 2.981570243835449]","[2.2400243282318115, 2.2815704345703125]","[1.5400243997573853, 1.5815703868865967]","[0.7000000476837158, 0.6999998092651367]","[-0.6999999284744263, -0.7000000476837158]",-1,0
0,450,1,"[0.842336118221283, 0.9667724967002869]","[1.542336106300354, 1.666772484779358]","[2.2423360347747803, 2.366772413253784]","[-0.699999988079071, -0.699999988079071]","[0.6999999284744263, 0.6999999284744263]",1,1
0,450,3,"[0.842336118221283, 0.9667724967002869]","[1.542336106300354, 1.666772484779358]","[2.2423360347747803, 2.366772413253784]","[-0.699999988079071, -0.699999988079071]","[0.6999999284744263, 0.6999999284744263]",1,1
0,450,5,"[0.842336118221283, 0.9667724967002869]","[1.542336106300354, 1.666772484779358]","[2.2423360347747803, 2.366772413253784]","[-0.699999988079071, -0.699999988079071]","[0.6999999284744263, 0.6999999284744263]",1,1
0,2764,1,"[3.3292009830474854, 3.598012924194336]","[2.6292009353637695, 2.89801287651062]","[1.9292010068893433, 2.1980128288269043]","[0.7000000476837158, 0.7000000476837158]","[-0.6999999284744263, -0.7000000476837158]",-1,0
0,2764,3,"[3.3292009830474854, 3.598012924194336]","[2.6292009353637695, 2.89801287651062]","[1.9292010068893433, 2.1980128288269043]","[0.7000000476837158, 0.7000000476837158]","[-0.6999999284744263, -0.7000000476837158]",-1,0
0,2764,5,"[3.3292009830474854, 3.598012924194336]","[2.6292009353637695, 2.89801287651062]","[1.9292010068893433, 2.1980128288269043]","[0.7000000476837158, 0.7000000476837158]","[-0.6999999284744263, -0.7000000476837158]",-1,0
0,523,1,"[0.5008608102798462, 0.5555616617202759]","[-0.19913917779922485, -0.14443831145763397]","[-0.8991391658782959, -0.8444383144378662]","[0.699999988079071, 0.699999988079071]","[-0.699999988079071, -0.699999988079071]",-1,0
0,523,3,"[0.5008608102798462, 0.5555616617202759]","[-0.19913917779922485, -0.14443831145763397]","[-0.8991391658782959, -0.8444383144378662]","[0.699999988079071, 0.699999988079071]","[-0.699999988079071, -0.699999988079071]",-1,0
0,523,5,"[0.5008608102798462, 0.5555616617202759]","[-0.19913917779922485, -0.14443831145763397]","[-0.8991391658782959, -0.8444383144378662]","[0.699999988079071, 0.699999988079071]","[-0.699999988079071, -0.699999988079071]",-1,0
0,600,1,"[2.9322617053985596, 2.958120822906494]","[2.2322616577148438, 2.2581207752227783]","[1.532261610031128, 1.558120846748352]","[0.7000000476837158, 0.7000000476837158]","[-0.7000000476837158, -0.6999999284744263]",-1,0
0,600,3,"[2.9322617053985596, 2.958120822906494]","[2.2322616577148438, 2.2581207752227783]","[1.532261610031128, 1.558120846748352]","[0.7000000476837158, 0.7000000476837158]","[-0.7000000476837158, -0.6999999284744263]",-1,0
0,600,5,"[2.9322617053985596, 2.958120822906494]","[2.2322616577148438, 2.2581207752227783]","[1.532261610031128, 1.558120846748352]","[0.7000000476837158, 0.7000000476837158]","[-0.7000000476837158, -0.6999999284744263]",-1,0
0,789,1,"[-0.5868197083473206, -0.7645736336708069]","[0.11318027973175049, -0.06457363069057465]","[0.8131802678108215, 0.6354263424873352]","[-0.699999988079071, -0.699999988079071]","[0.699999988079071, 0.699999988079071]",1,1
0,789,3,"[-0.5868197083473206, -0.7645736336708069]","[0.11318027973175049, -0.06457363069057465]","[0.8131802678108215, 0.6354263424873352]","[-0.699999988079071, -0.699999988079071]","[0.699999988079071, 0.699999988079071]",1,1
0,789,5,"[-0.5868197083473206, -0.7645736336708069]","[0.11318027973175049, -0.06457363069057465]","[0.8131802678108215, 0.6354263424873352]","[-0.699999988079071, -0.699999988079071]","[0.699999988079071, 0.699999988079071]",1,1
0,2121,1,"[0.7216696739196777, 0.6502328515052795]","[0.021669665351510048, -0.04976712539792061]","[-0.6783303022384644, -0.7497671246528625]","[0.699999988079071, 0.699999988079071]","[-0.699999988079071, -0.699999988079071]",-1,0
0,2121,3,"[0.7216696739196777, 0.6502328515052795]","[0.021669665351510048, -0.04976712539792061]","[-0.6783303022384644, -0.7497671246528625]","[0.699999988079071, 0.699999988079071]","[-0.699999988079071, -0.699999988079071]",-1,0
0,2121,5,"[0.7216696739196777, 0.6502328515052795]","[0.021669665351510048, -0.04976712539792061]","[-0.6783303022384644, -0.7497671246528625]","[0.699999988079071, 0.699999988079071]","[-0.699999988079071, -0.699999988079071]",-1,0
0,1347,1,"[3.2209696769714355, 3.393739700317383]","[2.5209696292877197, 2.693739652633667]","[1.820969581604004, 1.9937397241592407]","[0.7000000476837158, 0.7000000476837158]","[-0.7000000476837158, -0.6999999284744263]",-1,0
0,1347,3,"[3.2209696769714355, 3.393739700317383]","[2.5209696292877197, 2.693739652633667]","[1.820969581604004, 1.9937397241592407]","[0.7000000476837158, 0.7000000476837158]","[-0.7000000476837158, -0.6999999284744263]",-1,0
0,1347,5,"[3.2209696769714355, 3.393739700317383]","[2.5209696292877197, 2.693739652633667]","[1.820969581604004, 1.9937397241592407]","[0.7000000476837158, 0.7000000476837158]","[-0.7000000476837158, -0.6999999284744263]",-1,0
0,1184,1,"[-0.590700626373291, -0.5965532064437866]","[0.10929936170578003, 0.10344680398702621]","[0.8092993497848511, 0.8034467697143555]","[-0.699999988079071, -0.699999988079071]","[0.699999988079071, 0.699999988079071]",1,1
0,1184,3,"[-0.590700626373291, -0.5965532064437866]","[0.10929936170578003, 0.10344680398702621]","[0.8092993497848511, 0.8034467697143555]","[-0.699999988079071, -0.699999988079071]","[0.699999988079071, 0.699999988079071]",1,1
0,1184,5,"[-0.590700626373291, -0.5965532064437866]","[0.10929936170578003, 0.10344680398702621]","[0.8092993497848511, 0.8034467697143555]","[-0.699999988079071, -0.699999988079071]","[0.699999988079071, 0.699999988079071]",1,1
0,505,1,"[-2.115105628967285, -2.280292510986328]","[-1.4151057004928589, -1.5802924633026123]","[-0.7151056528091431, -0.880292534828186]","[-0.6999999284744263, -0.7000000476837158]","[0.7000000476837158, 0.6999999284744263]",1,1
0,505,3,"[-2.115105628967285, -2.280292510986328]","[-1.4151057004928589, -1.5802924633026123]","[-0.7151056528091431, -0.880292534828186]","[-0.6999999284744263, -0.7000000476837158]","[0.7000000476837158, 0.6999999284744263]",1,1
0,505,5,"[-2.115105628967285, -2.280292510986328]","[-1.4151057004928589, -1.5802924633026123]","[-0.7151056528091431, -0.880292534828186]","[-0.6999999284744263, -0.7000000476837158]","[0.7000000476837158, 0.6999999284744263]",1,1
0,1031,1,"[-2.3952338695526123, -2.6394870281219482]","[-1.695233941078186, -1.9394869804382324]","[-0.9952340126037598, -1.2394870519638062]","[-0.6999999284744263, -0.7000000476837158]","[0.6999999284744263, 0.6999999284744263]",1,1
0,1031,3,"[-2.3952338695526123, -2.6394870281219482]","[-1.695233941078186, -1.9394869804382324]","[-0.9952340126037598, -1.2394870519638062]","[-0.6999999284744263, -0.7000000476837158]","[0.6999999284744263, 0.6999999284744263]",1,1
0,1031,5,"[-2.3952338695526123, -2.6394870281219482]","[-1.695233941078186, -1.9394869804382324]","[-0.9952340126037598, -1.2394870519638062]","[-0.6999999284744263, -0.7000000476837158]","[0.6999999284744263, 0.6999999284744263]",1,1
0,2604,1,"[1.3287242650985718, 1.5320953130722046]","[0.6287243366241455, 0.8320953249931335]","[-0.07127568125724792, 0.1320953518152237]","[0.6999999284744263, 0.699999988079071]","[-0.7000000476837158, -0.699999988079071]",-1,0
0,2604,3,"[1.3287242650985718, 1.5320953130722046]","[0.6287243366241455, 0.8320953249931335]","[-0.07127568125724792, 0.1320953518152237]","[0.6999999284744263, 0.699999988079071]","[-0.7000000476837158, -0.699999988079071]",-1,0
0,2604,5,"[1.3287242650985718, 1.5320953130722046]","[0.6287243366241455, 0.8320953249931335]","[-0.07127568125724792, 0.1320953518152237]","[0.6999999284744263, 0.699999988079071]","[-0.7000000476837158, -0.699999988079071]",-1,0
0,2473,1,"[0.5250257253646851, 0.34359806776046753]","[1.2250256538391113, 1.0435980558395386]","[1.9250257015228271, 1.7435979843139648]","[-0.6999999284744263, -0.699999988079071]","[0.7000000476837158, 0.6999999284744263]",1,1
0,2473,3,"[0.5250257253646851, 0.34359806776046753]","[1.2250256538391113, 1.0435980558395386]","[1.9250257015228271, 1.7435979843139648]","[-0.6999999284744263, -0.699999988079071]","[0.7000000476837158, 0.6999999284744263]",1,1
0,2473,5,"[0.5250257253646851, 0.34359806776046753]","[1.2250256538391113, 1.0435980558395386]","[1.9250257015228271, 1.7435979843139648]","[-0.6999999284744263, -0.699999988079071]","[0.7000000476837158, 0.6999999284744263]",1,1
0,499,1,"[-0.8134130835533142, -0.9339596033096313]","[-0.11341309547424316, -0.2339596152305603]","[0.5865868926048279, 0.46604037284851074]","[-0.699999988079071, -0.699999988079071]","[0.699999988079071, 0.699999988079071]",1,1
0,499,3,"[-0.8134130835533142, -0.9339596033096313]","[-0.11341309547424316, -0.2339596152305603]","[0.5865868926048279, 0.46604037284851074]","[-0.699999988079071, -0.699999988079071]","[0.699999988079071, 0.699999988079071]",1,1
0,499,5,"[-0.8134130835533142, -0.9339596033096313]","[-0.11341309547424316, -0.2339596152305603]","[0.5865868926048279, 0.46604037284851074]","[-0.699999988079071, -0.699999988079071]","[0.699999988079071, 0.699999988079071]",1,1
0,2402,1,"[2.08087420463562, 2.163972854614258]","[2.780874252319336, 2.8639729022979736]","[3.4808743000030518, 3.5639727115631104]","[-0.7000000476837158, -0.7000000476837158]","[0.7000000476837158, 0.6999998092651367]",1,1
0,2402,3,"[2.08087420463562, 2.163972854614258]","[2.780874252319336, 2.8639729022979736]","[3.4808743000030518, 3.5639727115631104]","[-0.7000000476837158, -0.7000000476837158]","[0.7000000476837158, 0.6999998092651367]",1,1
0,2402,5,"[2.08087420463562, 2.163972854614258]","[2.780874252319336, 2.8639729022979736]","[3.4808743000030518, 3.5639727115631104]","[-0.7000000476837158, -0.7000000476837158]","[0.7000000476837158, 0.6999998092651367]",1,1
0,1068,1,"[1.7804335355758667, 1.9266859292984009]","[2.480433464050293, 2.626685857772827]","[3.180433511734009, 3.326685905456543]","[-0.6999999284744263, -0.6999999284744263]","[0.7000000476837158, 0.7000000476837158]",1,1
0,1068,3,"[1.7804335355758667, 1.9266859292984009]","[2.480433464050293, 2.626685857772827]","[3.180433511734009, 3.326685905456543]","[-0.6999999284744263, -0.6999999284744263]","[0.7000000476837158, 0.7000000476837158]",1,1
0,1068,5,"[1.7804335355758667, 1.9266859292984009]","[2.480433464050293, 2.626685857772827]","[3.180433511734009, 3.326685905456543]","[-0.6999999284744263, -0.6999999284744263]","[0.7000000476837158, 0.7000000476837158]",1,1
0,2476,1,"[-0.28449195623397827, -0.4454544484615326]","[0.4155080318450928, 0.25454553961753845]","[1.115507960319519, 0.9545455574989319]","[-0.699999988079071, -0.699999988079071]","[0.6999999284744263, 0.7000000476837158]",1,1
0,2476,3,"[-0.28449195623397827, -0.4454544484615326]","[0.4155080318450928, 0.25454553961753845]","[1.115507960319519, 0.9545455574989319]","[-0.699999988079071, -0.699999988079071]","[0.6999999284744263, 0.7000000476837158]",1,1
0,2476,5,"[-0.28449195623397827, -0.4454544484615326]","[0.4155080318450928, 0.25454553961753845]","[1.115507960319519, 0.9545455574989319]","[-0.699999988079071, -0.699999988079071]","[0.6999999284744263, 0.7000000476837158]",1,1
