mechanism,iar,value_gain,cost
learned_state_only,1.1957090528519098e-05,0.4569999999999999,38220.0
learned_action_only,0.012416666666666664,0.14899999999999997,12.0
raw_memory_full,0.0,0.0,115200.0
raw_memory_equal_cost,0.0,0.0,9504.0
prototype_memory,0.0,0.0,1920.0
aep_compressor,2.1483925420087468e-06,0.11199999999999999,52132.0
residual_compressor,6.22827346465817e-06,0.21500000000000002,34520.0
centered_residual,6.894553881807646e-06,0.23799999999999993,34520.0
counterfactual_compressor,1.1773940345368918e-05,0.45,38220.0
causal_contrast,2.6182737450343073e-06,0.08699999999999997,33228.0
residual_adversarial,5.385907698389167e-06,0.21799999999999992,40476.0
shuffled_action_control,3.4762456546929186e-07,0.011999999999999955,34520.0
permuted_history_control,5.533024333719583e-06,0.191,34520.0
