mechanism,mean_match,cost_bytes,vs_rawmemory_match,vs_rawmemory_cost_ratio
learned_state_only,0.7869999999999999,38220.0,0.6199999999999999,4.021464646464646
learned_action_only,0.479,12.0,0.312,0.0012626262626262627
raw_memory_full,0.24100000000000002,115200.0,0.07400000000000004,12.121212121212121
raw_memory_equal_cost,0.16699999999999998,9504.0,0.0,1.0
prototype_memory,0.11699999999999999,1920.0,-0.04999999999999999,0.20202020202020202
aep_compressor,0.442,52132.0,0.275,5.48526936026936
residual_compressor,0.545,34520.0,0.37800000000000006,3.6321548821548824
centered_residual,0.568,34520.0,0.40099999999999997,3.6321548821548824
counterfactual_compressor,0.78,38220.0,0.613,4.021464646464646
causal_contrast,0.417,33228.0,0.25,3.496212121212121
residual_adversarial,0.5479999999999999,40476.0,0.38099999999999995,4.258838383838384
shuffled_action_control,0.34199999999999997,34520.0,0.175,3.6321548821548824
permuted_history_control,0.521,34520.0,0.35400000000000004,3.6321548821548824
