mechanism,mean_match,stateonly_gap,actiononly_gap
learned_state_only,0.7869999999999999,0.0,0.30799999999999994
learned_action_only,0.479,-0.30799999999999994,0.0
raw_memory_full,0.24100000000000002,-0.5459999999999999,-0.23799999999999996
raw_memory_equal_cost,0.16699999999999998,-0.6199999999999999,-0.312
prototype_memory,0.11699999999999999,-0.6699999999999999,-0.362
aep_compressor,0.442,-0.3449999999999999,-0.03699999999999998
residual_compressor,0.545,-0.24199999999999988,0.06600000000000006
centered_residual,0.568,-0.21899999999999997,0.08899999999999997
counterfactual_compressor,0.78,-0.006999999999999895,0.30100000000000005
causal_contrast,0.417,-0.36999999999999994,-0.062
residual_adversarial,0.5479999999999999,-0.239,0.06899999999999995
shuffled_action_control,0.34199999999999997,-0.44499999999999995,-0.137
permuted_history_control,0.521,-0.2659999999999999,0.04200000000000004
