seed,mechanism,model_match,so_match,ao_match,shuffled_match,permuted_match,reference_baseline,reported_gain,shortcut_gain,shortcut_source,bad_debt_ratio,bdr_reason,state_shortcut_ratio,action_shortcut_ratio,shuffled_shortcut_ratio,permuted_shortcut_ratio
0,learned_state_only,0.72,0.72,0.46,0.11,0.505,0.33,0.38999999999999996,0.38999999999999996,SO,1.0,ok,1.0,0.638888888888889,0.1527777777777778,0.701388888888889
0,learned_action_only,0.46,0.72,0.46,0.11,0.505,0.33,0.13,0.38999999999999996,SO,1.0,ok,1.5652173913043477,1.0,0.23913043478260868,1.0978260869565217
0,raw_memory_full,0.22,0.72,0.46,0.11,0.505,0.33,0.0,0.38999999999999996,SO,1.0,model_below_baseline,3.2727272727272725,2.090909090909091,0.5,2.2954545454545454
0,counterfactual_compressor,0.725,0.72,0.46,0.11,0.505,0.33,0.39499999999999996,0.38999999999999996,SO,0.9873417721518987,ok,0.993103448275862,0.6344827586206897,0.15172413793103448,0.6965517241379311
0,residual_compressor,0.57,0.72,0.46,0.11,0.505,0.33,0.23999999999999994,0.38999999999999996,SO,1.0,ok,1.2631578947368423,0.8070175438596492,0.1929824561403509,0.8859649122807018
1,learned_state_only,0.735,0.735,0.505,0.085,0.55,0.33,0.40499999999999997,0.40499999999999997,SO,1.0,ok,1.0,0.6870748299319728,0.11564625850340136,0.7482993197278912
1,learned_action_only,0.505,0.735,0.505,0.085,0.55,0.33,0.175,0.40499999999999997,SO,1.0,ok,1.4554455445544554,1.0,0.16831683168316833,1.0891089108910892
1,raw_memory_full,0.22,0.735,0.505,0.085,0.55,0.33,0.0,0.40499999999999997,SO,1.0,model_below_baseline,3.340909090909091,2.2954545454545454,0.3863636363636364,2.5
1,counterfactual_compressor,0.735,0.735,0.505,0.085,0.55,0.33,0.40499999999999997,0.40499999999999997,SO,1.0,ok,1.0,0.6870748299319728,0.11564625850340136,0.7482993197278912
1,residual_compressor,0.425,0.735,0.505,0.085,0.55,0.33,0.09499999999999997,0.40499999999999997,SO,1.0,ok,1.7294117647058824,1.188235294117647,0.2,1.2941176470588236
2,learned_state_only,0.785,0.785,0.495,0.05,0.615,0.33,0.455,0.455,SO,1.0,ok,1.0,0.6305732484076433,0.06369426751592357,0.7834394904458598
2,learned_action_only,0.495,0.785,0.495,0.05,0.615,0.33,0.16499999999999998,0.455,SO,1.0,ok,1.5858585858585859,1.0,0.10101010101010102,1.2424242424242424
2,raw_memory_full,0.23,0.785,0.495,0.05,0.615,0.33,0.0,0.455,SO,1.0,model_below_baseline,3.4130434782608696,2.152173913043478,0.21739130434782608,2.6739130434782608
2,counterfactual_compressor,0.795,0.785,0.495,0.05,0.615,0.33,0.465,0.455,SO,0.978494623655914,ok,0.9874213836477987,0.6226415094339622,0.06289308176100629,0.7735849056603773
2,residual_compressor,0.75,0.785,0.495,0.05,0.615,0.33,0.42,0.455,SO,1.0,ok,1.0466666666666666,0.66,0.06666666666666667,0.82
