seed,metric,value
0,match_by_class_0,0.75
0,match_by_class_1,0.7894736842105263
0,match_by_class_2,0.7415730337078652
0,cf_when_so_correct,0.8958333333333334
0,cf_when_so_wrong_rescue_rate,0.375
0,so_correct_count,144.0
0,so_wrong_count,56.0
0,cf_best_action_match,0.75
0,so_best_action_match,0.72
0,cf_rank_accuracy,0.6766666666666666
0,mse_action_m1,37.34413146972656
0,mse_action_0,19.446029663085938
0,mse_action_p1,33.83163070678711
0,match_by_mode_0,0.75
0,match_by_mode_1,0.75
0,confusion_0_0,69.0
0,confusion_0_1,1.0
0,confusion_0_2,22.0
0,confusion_1_0,2.0
0,confusion_1_1,15.0
0,confusion_1_2,2.0
0,confusion_2_0,22.0
0,confusion_2_1,1.0
0,confusion_2_2,66.0
1,match_by_class_0,0.7317073170731707
1,match_by_class_1,0.5882352941176471
1,match_by_class_2,0.7623762376237624
1,cf_when_so_correct,0.8451612903225807
1,cf_when_so_wrong_rescue_rate,0.35555555555555557
1,so_correct_count,155.0
1,so_wrong_count,45.0
1,cf_best_action_match,0.735
1,so_best_action_match,0.775
1,cf_rank_accuracy,0.6916666666666667
1,mse_action_m1,34.05242156982422
1,mse_action_0,18.350664138793945
1,mse_action_p1,36.89720916748047
1,match_by_mode_0,0.7567567567567568
1,match_by_mode_1,0.7078651685393258
1,confusion_0_0,60.0
1,confusion_0_1,1.0
1,confusion_0_2,21.0
1,confusion_1_0,2.0
1,confusion_1_1,10.0
1,confusion_1_2,5.0
1,confusion_2_0,24.0
1,confusion_2_1,0.0
1,confusion_2_2,77.0
2,match_by_class_0,0.8351648351648352
2,match_by_class_1,0.3
2,match_by_class_2,0.8080808080808081
2,cf_when_so_correct,0.9225806451612903
2,cf_when_so_wrong_rescue_rate,0.35555555555555557
2,so_correct_count,155.0
2,so_wrong_count,45.0
2,cf_best_action_match,0.795
2,so_best_action_match,0.775
2,cf_rank_accuracy,0.72
2,mse_action_m1,32.50079345703125
2,mse_action_0,15.792261123657227
2,mse_action_p1,33.5977897644043
2,match_by_mode_0,0.780952380952381
2,match_by_mode_1,0.8105263157894737
2,confusion_0_0,76.0
2,confusion_0_1,0.0
2,confusion_0_2,15.0
2,confusion_1_0,3.0
2,confusion_1_1,3.0
2,confusion_1_2,4.0
2,confusion_2_0,17.0
2,confusion_2_1,2.0
2,confusion_2_2,80.0
