seed,ood_type,mechanism,best_action_match
0,ID,learned_state_only,0.72
0,ID,counterfactual_compressor,0.69
0,ID,residual_compressor,0.545
0,ID,action_only,0.46
0,background_shift,learned_state_only,0.8138925294888598
0,background_shift,counterfactual_compressor,0.8125819134993447
0,background_shift,residual_compressor,0.5871559633027523
0,background_shift,action_only,0.509829619921363
0,action_gain_shift,learned_state_only,0.8138925294888598
0,action_gain_shift,counterfactual_compressor,0.8125819134993447
0,action_gain_shift,residual_compressor,0.5871559633027523
0,action_gain_shift,action_only,0.509829619921363
0,sign_rule_shift,learned_state_only,0.09174311926605505
0,sign_rule_shift,counterfactual_compressor,0.0891218872870249
0,sign_rule_shift,residual_compressor,0.03407601572739188
0,sign_rule_shift,action_only,0.49017038007863695
1,ID,learned_state_only,0.735
1,ID,counterfactual_compressor,0.74
1,ID,residual_compressor,0.63
1,ID,action_only,0.505
1,background_shift,learned_state_only,0.8178191489361702
1,background_shift,counterfactual_compressor,0.8018617021276596
1,background_shift,residual_compressor,0.6795212765957447
1,background_shift,action_only,0.5478723404255319
1,action_gain_shift,learned_state_only,0.8178191489361702
1,action_gain_shift,counterfactual_compressor,0.8018617021276596
1,action_gain_shift,residual_compressor,0.6795212765957447
1,action_gain_shift,action_only,0.5478723404255319
1,sign_rule_shift,learned_state_only,0.08643617021276596
1,sign_rule_shift,counterfactual_compressor,0.09973404255319149
1,sign_rule_shift,residual_compressor,0.05053191489361702
1,sign_rule_shift,action_only,0.4521276595744681
2,ID,learned_state_only,0.82
2,ID,counterfactual_compressor,0.8
2,ID,residual_compressor,0.7
2,ID,action_only,0.495
2,background_shift,learned_state_only,0.8910761154855643
2,background_shift,counterfactual_compressor,0.8871391076115486
2,background_shift,residual_compressor,0.8280839895013123
2,background_shift,action_only,0.5446194225721784
2,action_gain_shift,learned_state_only,0.8910761154855643
2,action_gain_shift,counterfactual_compressor,0.8871391076115486
2,action_gain_shift,residual_compressor,0.8280839895013123
2,action_gain_shift,action_only,0.5446194225721784
2,sign_rule_shift,learned_state_only,0.05774278215223097
2,sign_rule_shift,counterfactual_compressor,0.06430446194225722
2,sign_rule_shift,residual_compressor,0.06430446194225722
2,sign_rule_shift,action_only,0.4553805774278215
