seed,variant,best_action_match,regret,n_train,n_test
0,RawMemoryExactID,1.0,0.0,1200,1200
0,RawMemoryFull,0.22,-0.31563544273376465,1200,200
0,RawMemoryNearestState,0.55,0.0,1200,200
0,RawMemoryNearestStateAction,0.55,0.0,1200,200
0,StandardizedRawMemory,0.23,-0.3068828582763672,1200,200
0,PCAKNNMemory,0.175,-0.3610089123249054,1200,200
0,KNNClassifier,0.61,0.0,1200,200
0,StandardizedKNNClassifier,0.645,0.0,1200,200
1,RawMemoryExactID,1.0,0.0,1200,1200
1,RawMemoryFull,0.22,-0.2756834924221039,1200,200
1,RawMemoryNearestState,0.66,0.0,1200,200
1,RawMemoryNearestStateAction,0.66,0.0,1200,200
1,StandardizedRawMemory,0.245,-0.2668454349040985,1200,200
1,PCAKNNMemory,0.15,-0.34202873706817627,1200,200
1,KNNClassifier,0.695,0.0,1200,200
1,StandardizedKNNClassifier,0.695,0.0,1200,200
2,RawMemoryExactID,1.0,0.0,1200,1200
2,RawMemoryFull,0.23,-0.25919920206069946,1200,200
2,RawMemoryNearestState,0.65,0.0,1200,200
2,RawMemoryNearestStateAction,0.65,0.0,1200,200
2,StandardizedRawMemory,0.255,-0.24928440153598785,1200,200
2,PCAKNNMemory,0.13,-0.35095518827438354,1200,200
2,KNNClassifier,0.68,0.0,1200,200
2,StandardizedKNNClassifier,0.71,0.0,1200,200
