seed,variant,best_action_match,feature_dim
0,current_obs_only,0.525,3
0,history_len_1,0.525,3
0,history_len_2,0.775,6
0,history_len_4,0.795,12
0,history_len_8,0.785,24
0,permuted_history,0.715,24
0,no_action_history,0.0,16
0,action_history_only,0.0,8
0,linear_logistic_regression,0.605,24
1,current_obs_only,0.61,3
1,history_len_1,0.595,3
1,history_len_2,0.8,6
1,history_len_4,0.805,12
1,history_len_8,0.785,24
1,permuted_history,0.775,24
1,no_action_history,0.0,16
1,action_history_only,0.0,8
1,linear_logistic_regression,0.54,24
2,current_obs_only,0.595,3
2,history_len_1,0.59,3
2,history_len_2,0.79,6
2,history_len_4,0.83,12
2,history_len_8,0.785,24
2,permuted_history,0.81,24
2,no_action_history,0.0,16
2,action_history_only,0.0,8
2,linear_logistic_regression,0.61,24
