seed,bias_type,cf_fraction,mechanism,balanced_match,rare_action_match
0,bias_plus,0.0,PolicyCloneBaseline,0.39,0.11956521739130435
0,bias_plus,0.0,AEPCompressor,0.365,0.44565217391304346
0,bias_plus,0.0,CounterfactualCompressor,0.46,1.0
0,bias_plus,0.0,ResidualCompressor,0.13,0.0
0,bias_plus,0.0,RawMemoryEqualCost,0.12,0.021739130434782608
0,bias_plus,0.0,PrototypeMemory,0.095,0.0
0,bias_plus,0.05,PolicyCloneBaseline,0.365,0.06521739130434782
0,bias_plus,0.05,AEPCompressor,0.33,0.32608695652173914
0,bias_plus,0.05,CounterfactualCompressor,0.46,1.0
0,bias_plus,0.05,ResidualCompressor,0.235,0.043478260869565216
0,bias_plus,0.05,RawMemoryEqualCost,0.145,0.10869565217391304
0,bias_plus,0.05,PrototypeMemory,0.245,0.25
0,bias_plus,0.1,PolicyCloneBaseline,0.42,0.16304347826086957
0,bias_plus,0.1,AEPCompressor,0.345,0.34782608695652173
0,bias_plus,0.1,CounterfactualCompressor,0.46,1.0
0,bias_plus,0.1,ResidualCompressor,0.335,0.358695652173913
0,bias_plus,0.1,RawMemoryEqualCost,0.125,0.06521739130434782
0,bias_plus,0.1,PrototypeMemory,0.13,0.08695652173913043
0,bias_plus,0.2,PolicyCloneBaseline,0.39,0.1956521739130435
0,bias_plus,0.2,AEPCompressor,0.45,0.42391304347826086
0,bias_plus,0.2,CounterfactualCompressor,0.46,1.0
0,bias_plus,0.2,ResidualCompressor,0.285,0.33695652173913043
0,bias_plus,0.2,RawMemoryEqualCost,0.13,0.06521739130434782
0,bias_plus,0.2,PrototypeMemory,0.11,0.03260869565217391
0,bias_plus,1.0,PolicyCloneBaseline,0.735,0.6847826086956522
0,bias_plus,1.0,AEPCompressor,0.525,0.41304347826086957
0,bias_plus,1.0,CounterfactualCompressor,0.725,0.6413043478260869
0,bias_plus,1.0,ResidualCompressor,0.555,0.5978260869565217
0,bias_plus,1.0,RawMemoryEqualCost,0.12,0.021739130434782608
0,bias_plus,1.0,PrototypeMemory,0.095,0.0
0,bias_zero,0.0,PolicyCloneBaseline,0.2,0.11956521739130435
0,bias_zero,0.0,AEPCompressor,0.21,0.021739130434782608
0,bias_zero,0.0,CounterfactualCompressor,0.46,1.0
0,bias_zero,0.0,ResidualCompressor,0.095,0.0
0,bias_zero,0.0,RawMemoryEqualCost,0.12,0.021739130434782608
0,bias_zero,0.0,PrototypeMemory,0.095,0.0
0,bias_zero,0.05,PolicyCloneBaseline,0.175,0.14130434782608695
0,bias_zero,0.05,AEPCompressor,0.185,0.17391304347826086
0,bias_zero,0.05,CounterfactualCompressor,0.46,1.0
0,bias_zero,0.05,ResidualCompressor,0.245,0.22826086956521738
0,bias_zero,0.05,RawMemoryEqualCost,0.145,0.10869565217391304
0,bias_zero,0.05,PrototypeMemory,0.245,0.25
0,bias_zero,0.1,PolicyCloneBaseline,0.205,0.16304347826086957
0,bias_zero,0.1,AEPCompressor,0.36,0.358695652173913
0,bias_zero,0.1,CounterfactualCompressor,0.46,1.0
0,bias_zero,0.1,ResidualCompressor,0.165,0.15217391304347827
0,bias_zero,0.1,RawMemoryEqualCost,0.125,0.06521739130434782
0,bias_zero,0.1,PrototypeMemory,0.13,0.08695652173913043
0,bias_zero,0.2,PolicyCloneBaseline,0.27,0.2608695652173913
0,bias_zero,0.2,AEPCompressor,0.57,0.5434782608695652
0,bias_zero,0.2,CounterfactualCompressor,0.46,1.0
0,bias_zero,0.2,ResidualCompressor,0.305,0.31521739130434784
0,bias_zero,0.2,RawMemoryEqualCost,0.13,0.06521739130434782
0,bias_zero,0.2,PrototypeMemory,0.11,0.03260869565217391
0,bias_zero,1.0,PolicyCloneBaseline,0.75,0.6956521739130435
0,bias_zero,1.0,AEPCompressor,0.46,0.41304347826086957
0,bias_zero,1.0,CounterfactualCompressor,0.705,0.6739130434782609
0,bias_zero,1.0,ResidualCompressor,0.525,0.5434782608695652
0,bias_zero,1.0,RawMemoryEqualCost,0.12,0.021739130434782608
0,bias_zero,1.0,PrototypeMemory,0.095,0.0
0,bias_minus,0.0,PolicyCloneBaseline,0.405,0.16853932584269662
0,bias_minus,0.0,AEPCompressor,0.34,0.14606741573033707
0,bias_minus,0.0,CounterfactualCompressor,0.46,0.0
0,bias_minus,0.0,ResidualCompressor,0.19,0.0
0,bias_minus,0.0,RawMemoryEqualCost,0.12,0.033707865168539325
0,bias_minus,0.0,PrototypeMemory,0.095,0.0
0,bias_minus,0.05,PolicyCloneBaseline,0.42,0.11235955056179775
0,bias_minus,0.05,AEPCompressor,0.275,0.16853932584269662
0,bias_minus,0.05,CounterfactualCompressor,0.46,0.0
0,bias_minus,0.05,ResidualCompressor,0.435,0.449438202247191
0,bias_minus,0.05,RawMemoryEqualCost,0.145,0.0
0,bias_minus,0.05,PrototypeMemory,0.245,0.10112359550561797
0,bias_minus,0.1,PolicyCloneBaseline,0.45,0.16853932584269662
0,bias_minus,0.1,AEPCompressor,0.325,0.11235955056179775
0,bias_minus,0.1,CounterfactualCompressor,0.46,0.0
0,bias_minus,0.1,ResidualCompressor,0.25,0.0449438202247191
0,bias_minus,0.1,RawMemoryEqualCost,0.125,0.0
0,bias_minus,0.1,PrototypeMemory,0.13,0.011235955056179775
0,bias_minus,0.2,PolicyCloneBaseline,0.485,0.2808988764044944
0,bias_minus,0.2,AEPCompressor,0.405,0.39325842696629215
0,bias_minus,0.2,CounterfactualCompressor,0.46,0.0
0,bias_minus,0.2,ResidualCompressor,0.43,0.3146067415730337
0,bias_minus,0.2,RawMemoryEqualCost,0.13,0.011235955056179775
0,bias_minus,0.2,PrototypeMemory,0.11,0.0
0,bias_minus,1.0,PolicyCloneBaseline,0.72,0.7415730337078652
0,bias_minus,1.0,AEPCompressor,0.49,0.3146067415730337
0,bias_minus,1.0,CounterfactualCompressor,0.7,0.6741573033707865
0,bias_minus,1.0,ResidualCompressor,0.495,0.43820224719101125
0,bias_minus,1.0,RawMemoryEqualCost,0.12,0.033707865168539325
0,bias_minus,1.0,PrototypeMemory,0.095,0.0
