seed,model,best_action_match,probe_used,n_test
0,NoProbe_PolicyClone,0.845,False,200
0,NoProbe_AEP,0.805,False,200
0,OneProbe_AEP,0.975,True,200
0,OneProbe_Residual,0.92,True,200
0,ProbeValue_AEP,0.16999999999999993,True,200
0,ProbeValue_Residual,0.11499999999999999,True,200
1,NoProbe_PolicyClone,0.86,False,200
1,NoProbe_AEP,0.83,False,200
1,OneProbe_AEP,0.95,True,200
1,OneProbe_Residual,0.97,True,200
1,ProbeValue_AEP,0.12,True,200
1,ProbeValue_Residual,0.14,True,200
2,NoProbe_PolicyClone,0.855,False,200
2,NoProbe_AEP,0.795,False,200
2,OneProbe_AEP,0.945,True,200
2,OneProbe_Residual,0.945,True,200
2,ProbeValue_AEP,0.1499999999999999,True,200
2,ProbeValue_Residual,0.1499999999999999,True,200
