seed,goal,mechanism,best_action_match
0,U1_main,PolicyCloneBaseline,0.75
0,U2_reverse,PolicyCloneBaseline,0.115
0,U3_target,PolicyCloneBaseline,0.23
0,U4_risk_avoid,PolicyCloneBaseline,0.75
0,U5_energy_aware,PolicyCloneBaseline,0.225
0,U1_main,AEPCompressor,0.54
0,U2_reverse,AEPCompressor,0.77
0,U3_target,AEPCompressor,0.535
0,U4_risk_avoid,AEPCompressor,0.54
0,U5_energy_aware,AEPCompressor,0.87
0,U1_main,CounterfactualCompressor,0.725
0,U2_reverse,CounterfactualCompressor,0.4
0,U3_target,CounterfactualCompressor,0.22
0,U4_risk_avoid,CounterfactualCompressor,0.725
0,U5_energy_aware,CounterfactualCompressor,0.19
0,U1_main,ResidualCompressor,0.67
0,U2_reverse,ResidualCompressor,0.73
0,U3_target,ResidualCompressor,0.665
0,U4_risk_avoid,ResidualCompressor,0.67
0,U5_energy_aware,ResidualCompressor,0.885
0,U1_main,StateOnlyDynamics,0.445
0,U2_reverse,StateOnlyDynamics,0.48
0,U3_target,StateOnlyDynamics,0.445
0,U4_risk_avoid,StateOnlyDynamics,0.445
0,U5_energy_aware,StateOnlyDynamics,0.065
0,U1_main,ActionOnly,0.46
0,U2_reverse,ActionOnly,0.48
0,U3_target,ActionOnly,0.455
0,U4_risk_avoid,ActionOnly,0.46
0,U5_energy_aware,ActionOnly,0.095
1,U1_main,PolicyCloneBaseline,0.745
1,U2_reverse,PolicyCloneBaseline,0.135
1,U3_target,PolicyCloneBaseline,0.24
1,U4_risk_avoid,PolicyCloneBaseline,0.745
1,U5_energy_aware,PolicyCloneBaseline,0.195
1,U1_main,AEPCompressor,0.52
1,U2_reverse,AEPCompressor,0.82
1,U3_target,AEPCompressor,0.525
1,U4_risk_avoid,AEPCompressor,0.52
1,U5_energy_aware,AEPCompressor,0.8
1,U1_main,CounterfactualCompressor,0.705
1,U2_reverse,CounterfactualCompressor,0.34
1,U3_target,CounterfactualCompressor,0.275
1,U4_risk_avoid,CounterfactualCompressor,0.705
1,U5_energy_aware,CounterfactualCompressor,0.18
1,U1_main,ResidualCompressor,0.565
1,U2_reverse,ResidualCompressor,0.83
1,U3_target,ResidualCompressor,0.56
1,U4_risk_avoid,ResidualCompressor,0.565
1,U5_energy_aware,ResidualCompressor,0.765
1,U1_main,StateOnlyDynamics,0.505
1,U2_reverse,StateOnlyDynamics,0.555
1,U3_target,StateOnlyDynamics,0.49
1,U4_risk_avoid,StateOnlyDynamics,0.505
1,U5_energy_aware,StateOnlyDynamics,0.09
1,U1_main,ActionOnly,0.505
1,U2_reverse,ActionOnly,0.445
1,U3_target,ActionOnly,0.49
1,U4_risk_avoid,ActionOnly,0.505
1,U5_energy_aware,ActionOnly,0.09
2,U1_main,PolicyCloneBaseline,0.805
2,U2_reverse,PolicyCloneBaseline,0.13
2,U3_target,PolicyCloneBaseline,0.18
2,U4_risk_avoid,PolicyCloneBaseline,0.805
2,U5_energy_aware,PolicyCloneBaseline,0.195
2,U1_main,AEPCompressor,0.72
2,U2_reverse,AEPCompressor,0.84
2,U3_target,AEPCompressor,0.72
2,U4_risk_avoid,AEPCompressor,0.72
2,U5_energy_aware,AEPCompressor,0.89
2,U1_main,CounterfactualCompressor,0.805
2,U2_reverse,CounterfactualCompressor,0.38
2,U3_target,CounterfactualCompressor,0.285
2,U4_risk_avoid,CounterfactualCompressor,0.805
2,U5_energy_aware,CounterfactualCompressor,0.23
2,U1_main,ResidualCompressor,0.695
2,U2_reverse,ResidualCompressor,0.815
2,U3_target,ResidualCompressor,0.695
2,U4_risk_avoid,ResidualCompressor,0.695
2,U5_energy_aware,ResidualCompressor,0.86
2,U1_main,StateOnlyDynamics,0.495
2,U2_reverse,StateOnlyDynamics,0.525
2,U3_target,StateOnlyDynamics,0.495
2,U4_risk_avoid,StateOnlyDynamics,0.495
2,U5_energy_aware,StateOnlyDynamics,0.115
2,U1_main,ActionOnly,0.495
2,U2_reverse,ActionOnly,0.475
2,U3_target,ActionOnly,0.49
2,U4_risk_avoid,ActionOnly,0.495
2,U5_energy_aware,ActionOnly,0.115
