seed,mechanism,U1_ID_match,U2_U5_mean,policy_clone_overfit_index
0,PolicyCloneBaseline,0.75,0.33,0.42
0,AEPCompressor,0.54,0.6787500000000001,-0.13875000000000004
0,CounterfactualCompressor,0.725,0.38375,0.34125
0,ResidualCompressor,0.67,0.7375,-0.0675
0,StateOnlyDynamics,0.445,0.35875,0.08625
0,ActionOnly,0.46,0.3725,0.08750000000000002
1,PolicyCloneBaseline,0.745,0.32875000000000004,0.41624999999999995
1,AEPCompressor,0.52,0.66625,-0.14625
1,CounterfactualCompressor,0.705,0.37499999999999994,0.33
1,ResidualCompressor,0.565,0.68,-0.1150000000000001
1,StateOnlyDynamics,0.505,0.41,0.09500000000000003
1,ActionOnly,0.505,0.3825,0.1225
2,PolicyCloneBaseline,0.805,0.3275,0.47750000000000004
2,AEPCompressor,0.72,0.7925000000000001,-0.07250000000000012
2,CounterfactualCompressor,0.805,0.42500000000000004,0.38
2,ResidualCompressor,0.695,0.7662499999999999,-0.07124999999999992
2,StateOnlyDynamics,0.495,0.40750000000000003,0.08749999999999997
2,ActionOnly,0.495,0.39375,0.10125
