step,strategy,best_action_match,regret,rank_accuracy,memory_size
1,episodic,0.175,-0.32909783720970154,0.56,200
1,consolidated,0.095,-0.35528518378734586,0.54,20
1,mixed,0.095,-0.3499837011098862,0.5466666666666666,110
1,nomemory,0.46,-0.04127500000000001,0.475,3
2,episodic,0.145,-0.3444908857345581,0.5583333333333333,200
2,consolidated,0.095,-0.3601960563659668,0.5416666666666666,20
2,mixed,0.095,-0.358835763335228,0.54,110
2,nomemory,0.445,-0.033197916666666646,0.46166666666666667,3
3,episodic,0.145,-0.2960079312324524,0.58,200
3,consolidated,0.095,-0.3501133131980896,0.5333333333333333,20
3,mixed,0.1,-0.3488584923744202,0.5333333333333333,110
3,nomemory,0.445,-0.049868055555555575,0.46166666666666667,3
4,episodic,0.15,-0.3651363253593445,0.5516666666666666,200
4,consolidated,0.095,-0.34600268959999086,0.5516666666666666,20
4,mixed,0.095,-0.3680279694497585,0.5283333333333333,110
4,nomemory,0.445,-0.04568750000000001,0.46166666666666667,3
5,episodic,0.195,-0.3104868233203888,0.6033333333333334,200
5,consolidated,0.115,-0.3610966837406158,0.5466666666666666,20
5,mixed,0.095,-0.32695896744728087,0.5733333333333334,110
5,nomemory,0.445,-0.04579083333333334,0.46166666666666667,3
