step,strategy,best_action_match,blend_ratio
1,naive_consolidated,0.095,0.0
2,naive_consolidated,0.095,0.0
3,naive_consolidated,0.095,0.0
4,naive_consolidated,0.095,0.0
5,naive_consolidated,0.115,0.0
1,anchored_br0.0,0.095,0.0
2,anchored_br0.0,0.095,0.0
3,anchored_br0.0,0.095,0.0
4,anchored_br0.0,0.095,0.0
5,anchored_br0.0,0.115,0.0
1,anchored_br0.3,0.095,0.3
2,anchored_br0.3,0.095,0.3
3,anchored_br0.3,0.095,0.3
4,anchored_br0.3,0.095,0.3
5,anchored_br0.3,0.11,0.3
1,anchored_br0.5,0.095,0.5
2,anchored_br0.5,0.095,0.5
3,anchored_br0.5,0.095,0.5
4,anchored_br0.5,0.095,0.5
5,anchored_br0.5,0.12,0.5
1,anchored_br0.7,0.095,0.7
2,anchored_br0.7,0.095,0.7
3,anchored_br0.7,0.095,0.7
4,anchored_br0.7,0.095,0.7
5,anchored_br0.7,0.125,0.7
1,episodic,0.175,0.0
1,nomemory,0.46,0.0
2,episodic,0.145,0.0
2,nomemory,0.445,0.0
3,episodic,0.145,0.0
3,nomemory,0.445,0.0
4,episodic,0.15,0.0
4,nomemory,0.445,0.0
5,episodic,0.195,0.0
5,nomemory,0.445,0.0
