seed,model,match
0,NoProbe_PolicyClone,0.835
0,NoProbe_AEP,0.81
0,OneProbe_PolicyClone,0.93
0,OneProbe_AEP,0.955
0,OneProbe_RawMemory,0.81
0,ProbeGain_PolicyClone,0.09500000000000008
0,ProbeGain_AEP,0.1449999999999999
0,ProbeGain_RawMemory,-0.02499999999999991
0,AEP_Structural_Probe_Advantage,0.04999999999999982
1,NoProbe_PolicyClone,0.855
1,NoProbe_AEP,0.755
1,OneProbe_PolicyClone,0.945
1,OneProbe_AEP,0.96
1,OneProbe_RawMemory,0.81
1,ProbeGain_PolicyClone,0.08999999999999997
1,ProbeGain_AEP,0.20499999999999996
1,ProbeGain_RawMemory,-0.04499999999999993
1,AEP_Structural_Probe_Advantage,0.11499999999999999
2,NoProbe_PolicyClone,0.87
2,NoProbe_AEP,0.81
2,OneProbe_PolicyClone,0.955
2,OneProbe_AEP,0.94
2,OneProbe_RawMemory,0.81
2,ProbeGain_PolicyClone,0.08499999999999996
2,ProbeGain_AEP,0.1299999999999999
2,ProbeGain_RawMemory,-0.05999999999999994
2,AEP_Structural_Probe_Advantage,0.04499999999999993
