mechanism,param_estimate,heldout_utility_match,transfer_premium_vs_U1PC,probe_gain,cost_normalized_transfer_premium,cost_normalized_probe_gain
U1_PolicyClone,20000.0,0.26096491228070173,0.0,0.09000000000000001,0.0,0.0045000000000000005
AEPCompressor,35000.0,0.9114912280701755,0.6505263157894737,0.15999999999999992,0.018586466165413536,0.004571428571428569
CounterfactualCompressor,25000.0,0.32894736842105265,0.06798245614035092,0.0,0.0027192982456140367,0.0
ResidualCompressor,40000.0,0.9173684210526316,0.6564035087719299,0.0,0.016410087719298246,0.0
MultiGoalPolicyClone,25000.0,0.36140350877192984,0.1004385964912281,0.0,0.004017543859649125,0.0
RawMemoryOutcomeTableFull,5000.0,0.8823684210526316,0.6214035087719298,0.0,0.12428070175438596,0.0
StandardizedKNNOutcomeTable,6000.0,0.8823684210526316,0.6214035087719298,0.0,0.10356725146198831,0.0
PrototypeOutcomeTable,1200.0,0.848421052631579,0.5874561403508772,0.0,0.48954678362573106,0.0
OracleUtilityPolicy,inf,0.0,-0.26096491228070173,0.0,-0.0,0.0
ActionOnly,3.0,0.0,-0.26096491228070173,0.0,-86.98830409356724,0.0
