seed,bias_type,cf_fraction,mechanism,balanced_match,rare_action_match
0,plus_dominant,0.0,PolicyCloneBaseline,0.375,0.0
0,plus_dominant,0.0,AEPCompressor,0.345,0.6195652173913043
0,plus_dominant,0.0,CounterfactualCompressor,0.46,1.0
0,plus_dominant,0.0,RawMemoryOutcomeTableFull,0.23,0.15217391304347827
0,plus_dominant,0.01,PolicyCloneBaseline,0.4,0.0
0,plus_dominant,0.01,AEPCompressor,0.265,0.010869565217391304
0,plus_dominant,0.01,CounterfactualCompressor,0.46,1.0
0,plus_dominant,0.01,RawMemoryOutcomeTableFull,0.13,0.08695652173913043
0,plus_dominant,0.05,PolicyCloneBaseline,0.42,0.021739130434782608
0,plus_dominant,0.05,AEPCompressor,0.425,0.31521739130434784
0,plus_dominant,0.05,CounterfactualCompressor,0.46,1.0
0,plus_dominant,0.05,RawMemoryOutcomeTableFull,0.12,0.03260869565217391
0,plus_dominant,0.1,PolicyCloneBaseline,0.44,0.06521739130434782
0,plus_dominant,0.1,AEPCompressor,0.295,0.2717391304347826
0,plus_dominant,0.1,CounterfactualCompressor,0.46,1.0
0,plus_dominant,0.1,RawMemoryOutcomeTableFull,0.165,0.11956521739130435
0,plus_dominant,0.2,PolicyCloneBaseline,0.46,0.11956521739130435
0,plus_dominant,0.2,AEPCompressor,0.645,0.6739130434782609
0,plus_dominant,0.2,CounterfactualCompressor,0.46,1.0
0,plus_dominant,0.2,RawMemoryOutcomeTableFull,0.195,0.14130434782608695
0,plus_dominant,0.5,PolicyCloneBaseline,0.57,0.3695652173913043
0,plus_dominant,0.5,AEPCompressor,0.395,0.358695652173913
0,plus_dominant,0.5,CounterfactualCompressor,0.46,1.0
0,plus_dominant,0.5,RawMemoryOutcomeTableFull,0.205,0.14130434782608695
0,plus_dominant,1.0,PolicyCloneBaseline,0.725,0.7065217391304348
0,plus_dominant,1.0,AEPCompressor,0.465,0.44565217391304346
0,plus_dominant,1.0,CounterfactualCompressor,0.74,0.7282608695652174
0,plus_dominant,1.0,RawMemoryOutcomeTableFull,0.23,0.15217391304347827
0,zero_dominant,0.0,PolicyCloneBaseline,0.405,0.0
0,zero_dominant,0.0,AEPCompressor,0.45,1.0
0,zero_dominant,0.0,CounterfactualCompressor,0.46,0.0
0,zero_dominant,0.0,RawMemoryOutcomeTableFull,0.23,0.14606741573033707
0,zero_dominant,0.01,PolicyCloneBaseline,0.41,0.0
0,zero_dominant,0.01,AEPCompressor,0.27,0.0
0,zero_dominant,0.01,CounterfactualCompressor,0.46,0.0
0,zero_dominant,0.01,RawMemoryOutcomeTableFull,0.13,0.0
0,zero_dominant,0.05,PolicyCloneBaseline,0.39,0.011235955056179775
0,zero_dominant,0.05,AEPCompressor,0.415,0.2808988764044944
0,zero_dominant,0.05,CounterfactualCompressor,0.46,0.0
0,zero_dominant,0.05,RawMemoryOutcomeTableFull,0.12,0.02247191011235955
0,zero_dominant,0.1,PolicyCloneBaseline,0.42,0.02247191011235955
0,zero_dominant,0.1,AEPCompressor,0.4,0.21348314606741572
0,zero_dominant,0.1,CounterfactualCompressor,0.46,0.0
0,zero_dominant,0.1,RawMemoryOutcomeTableFull,0.165,0.033707865168539325
0,zero_dominant,0.2,PolicyCloneBaseline,0.47,0.11235955056179775
0,zero_dominant,0.2,AEPCompressor,0.475,0.550561797752809
0,zero_dominant,0.2,CounterfactualCompressor,0.46,0.0
0,zero_dominant,0.2,RawMemoryOutcomeTableFull,0.195,0.07865168539325842
0,zero_dominant,0.5,PolicyCloneBaseline,0.545,0.34831460674157305
0,zero_dominant,0.5,AEPCompressor,0.43,0.30337078651685395
0,zero_dominant,0.5,CounterfactualCompressor,0.46,0.0
0,zero_dominant,0.5,RawMemoryOutcomeTableFull,0.205,0.10112359550561797
0,zero_dominant,1.0,PolicyCloneBaseline,0.74,0.7752808988764045
0,zero_dominant,1.0,AEPCompressor,0.495,0.4157303370786517
0,zero_dominant,1.0,CounterfactualCompressor,0.73,0.7303370786516854
0,zero_dominant,1.0,RawMemoryOutcomeTableFull,0.23,0.14606741573033707
0,minus_dominant,0.0,PolicyCloneBaseline,0.415,0.0
0,minus_dominant,0.0,AEPCompressor,0.415,0.9325842696629213
0,minus_dominant,0.0,CounterfactualCompressor,0.46,0.0
0,minus_dominant,0.0,RawMemoryOutcomeTableFull,0.23,0.14606741573033707
0,minus_dominant,0.01,PolicyCloneBaseline,0.43,0.011235955056179775
0,minus_dominant,0.01,AEPCompressor,0.375,0.23595505617977527
0,minus_dominant,0.01,CounterfactualCompressor,0.46,0.0
0,minus_dominant,0.01,RawMemoryOutcomeTableFull,0.13,0.0
0,minus_dominant,0.05,PolicyCloneBaseline,0.355,0.011235955056179775
0,minus_dominant,0.05,AEPCompressor,0.36,0.10112359550561797
0,minus_dominant,0.05,CounterfactualCompressor,0.46,0.0
0,minus_dominant,0.05,RawMemoryOutcomeTableFull,0.12,0.02247191011235955
0,minus_dominant,0.1,PolicyCloneBaseline,0.45,0.0898876404494382
0,minus_dominant,0.1,AEPCompressor,0.49,0.33707865168539325
0,minus_dominant,0.1,CounterfactualCompressor,0.46,0.0
0,minus_dominant,0.1,RawMemoryOutcomeTableFull,0.165,0.033707865168539325
0,minus_dominant,0.2,PolicyCloneBaseline,0.42,0.056179775280898875
0,minus_dominant,0.2,AEPCompressor,0.53,0.6067415730337079
0,minus_dominant,0.2,CounterfactualCompressor,0.46,0.0
0,minus_dominant,0.2,RawMemoryOutcomeTableFull,0.195,0.07865168539325842
0,minus_dominant,0.5,PolicyCloneBaseline,0.545,0.33707865168539325
0,minus_dominant,0.5,AEPCompressor,0.54,0.6067415730337079
0,minus_dominant,0.5,CounterfactualCompressor,0.46,0.0
0,minus_dominant,0.5,RawMemoryOutcomeTableFull,0.205,0.10112359550561797
0,minus_dominant,1.0,PolicyCloneBaseline,0.71,0.7415730337078652
0,minus_dominant,1.0,AEPCompressor,0.6,0.5842696629213483
0,minus_dominant,1.0,CounterfactualCompressor,0.755,0.7865168539325843
0,minus_dominant,1.0,RawMemoryOutcomeTableFull,0.23,0.14606741573033707
