seed,utility,utility_type,divergence_from_U1,mechanism,best_action_match
0,H_linear_0,linear,0.9,U1_PolicyClone,0.105
0,H_linear_0,linear,0.9,AEPCompressor,0.995
0,H_linear_0,linear,0.9,CounterfactualCompressor,0.18
0,H_linear_0,linear,0.9,ResidualCompressor,0.995
0,H_linear_0,linear,0.9,MultiGoalPolicyClone,0.01
0,H_linear_0,linear,0.9,OracleUtilityPolicy,1.0
0,H_linear_0,linear,0.9,ActionOnly,0.005
0,H_linear_1,linear,0.905,U1_PolicyClone,0.81
0,H_linear_1,linear,0.905,AEPCompressor,1.0
0,H_linear_1,linear,0.905,CounterfactualCompressor,0.43
0,H_linear_1,linear,0.905,ResidualCompressor,1.0
0,H_linear_1,linear,0.905,MultiGoalPolicyClone,0.015
0,H_linear_1,linear,0.905,OracleUtilityPolicy,1.0
0,H_linear_1,linear,0.905,ActionOnly,0.0
0,H_linear_2,linear,0.555,U1_PolicyClone,0.035
0,H_linear_2,linear,0.555,AEPCompressor,1.0
0,H_linear_2,linear,0.555,CounterfactualCompressor,0.33
0,H_linear_2,linear,0.555,ResidualCompressor,1.0
0,H_linear_2,linear,0.555,MultiGoalPolicyClone,0.15
0,H_linear_2,linear,0.555,OracleUtilityPolicy,1.0
0,H_linear_2,linear,0.555,ActionOnly,0.0
0,H_linear_3,linear,0.905,U1_PolicyClone,0.65
0,H_linear_3,linear,0.905,AEPCompressor,1.0
0,H_linear_3,linear,0.905,CounterfactualCompressor,0.46
0,H_linear_3,linear,0.905,ResidualCompressor,1.0
0,H_linear_3,linear,0.905,MultiGoalPolicyClone,0.035
0,H_linear_3,linear,0.905,OracleUtilityPolicy,1.0
0,H_linear_3,linear,0.905,ActionOnly,0.0
0,H_linear_4,linear,0.555,U1_PolicyClone,0.105
0,H_linear_4,linear,0.555,AEPCompressor,1.0
0,H_linear_4,linear,0.555,CounterfactualCompressor,0.325
0,H_linear_4,linear,0.555,ResidualCompressor,1.0
0,H_linear_4,linear,0.555,MultiGoalPolicyClone,0.0
0,H_linear_4,linear,0.555,OracleUtilityPolicy,1.0
0,H_linear_4,linear,0.555,ActionOnly,0.0
0,H_linear_5,linear,0.57,U1_PolicyClone,0.425
0,H_linear_5,linear,0.57,AEPCompressor,0.995
0,H_linear_5,linear,0.57,CounterfactualCompressor,0.445
0,H_linear_5,linear,0.57,ResidualCompressor,0.99
0,H_linear_5,linear,0.57,MultiGoalPolicyClone,0.915
0,H_linear_5,linear,0.57,OracleUtilityPolicy,1.0
0,H_linear_5,linear,0.57,ActionOnly,0.015
0,H_linear_6,linear,0.9,U1_PolicyClone,0.09
0,H_linear_6,linear,0.9,AEPCompressor,1.0
0,H_linear_6,linear,0.9,CounterfactualCompressor,0.115
0,H_linear_6,linear,0.9,ResidualCompressor,1.0
0,H_linear_6,linear,0.9,MultiGoalPolicyClone,0.835
0,H_linear_6,linear,0.9,OracleUtilityPolicy,1.0
0,H_linear_6,linear,0.9,ActionOnly,0.005
0,H_linear_7,linear,0.54,U1_PolicyClone,0.095
0,H_linear_7,linear,0.54,AEPCompressor,1.0
0,H_linear_7,linear,0.54,CounterfactualCompressor,0.345
0,H_linear_7,linear,0.54,ResidualCompressor,1.0
0,H_linear_7,linear,0.54,MultiGoalPolicyClone,0.015
0,H_linear_7,linear,0.54,OracleUtilityPolicy,1.0
0,H_linear_7,linear,0.54,ActionOnly,1.0
0,H_target_8,target,0.9,U1_PolicyClone,0.09
0,H_target_8,target,0.9,AEPCompressor,0.995
0,H_target_8,target,0.9,CounterfactualCompressor,0.615
0,H_target_8,target,0.9,ResidualCompressor,0.995
0,H_target_8,target,0.9,MultiGoalPolicyClone,0.045
0,H_target_8,target,0.9,OracleUtilityPolicy,1.0
0,H_target_8,target,0.9,ActionOnly,0.005
0,H_target_9,target,0.51,U1_PolicyClone,0.185
0,H_target_9,target,0.51,AEPCompressor,0.765
0,H_target_9,target,0.51,CounterfactualCompressor,0.35
0,H_target_9,target,0.51,ResidualCompressor,0.765
0,H_target_9,target,0.51,MultiGoalPolicyClone,0.49
0,H_target_9,target,0.51,OracleUtilityPolicy,1.0
0,H_target_9,target,0.51,ActionOnly,0.515
0,H_target_10,target,0.55,U1_PolicyClone,0.425
0,H_target_10,target,0.55,AEPCompressor,0.98
0,H_target_10,target,0.55,CounterfactualCompressor,0.465
0,H_target_10,target,0.55,ResidualCompressor,0.98
0,H_target_10,target,0.55,MultiGoalPolicyClone,0.06
0,H_target_10,target,0.55,OracleUtilityPolicy,1.0
0,H_target_10,target,0.55,ActionOnly,0.005
0,H_target_11,target,0.1,U1_PolicyClone,0.305
0,H_target_11,target,0.1,AEPCompressor,0.705
0,H_target_11,target,0.1,CounterfactualCompressor,0.165
0,H_target_11,target,0.1,ResidualCompressor,0.74
0,H_target_11,target,0.1,MultiGoalPolicyClone,0.435
0,H_target_11,target,0.1,OracleUtilityPolicy,1.0
0,H_target_11,target,0.1,ActionOnly,0.495
0,H_target_12,target,0.1,U1_PolicyClone,0.305
0,H_target_12,target,0.1,AEPCompressor,0.765
0,H_target_12,target,0.1,CounterfactualCompressor,0.14
0,H_target_12,target,0.1,ResidualCompressor,0.79
0,H_target_12,target,0.1,MultiGoalPolicyClone,0.45
0,H_target_12,target,0.1,OracleUtilityPolicy,1.0
0,H_target_12,target,0.1,ActionOnly,0.515
0,H_target_13,target,0.905,U1_PolicyClone,0.07
0,H_target_13,target,0.905,AEPCompressor,1.0
0,H_target_13,target,0.905,CounterfactualCompressor,0.53
0,H_target_13,target,0.905,ResidualCompressor,1.0
0,H_target_13,target,0.905,MultiGoalPolicyClone,0.055
0,H_target_13,target,0.905,OracleUtilityPolicy,1.0
0,H_target_13,target,0.905,ActionOnly,0.0
0,H_energy_18,energy,0.25,U1_PolicyClone,0.565
0,H_energy_18,energy,0.25,AEPCompressor,0.66
0,H_energy_18,energy,0.25,CounterfactualCompressor,0.555
0,H_energy_18,energy,0.25,ResidualCompressor,0.6
0,H_energy_18,energy,0.25,MultiGoalPolicyClone,0.38
0,H_energy_18,energy,0.25,OracleUtilityPolicy,1.0
0,H_energy_18,energy,0.25,ActionOnly,0.22
0,H_energy_19,energy,0.885,U1_PolicyClone,0.115
0,H_energy_19,energy,0.885,AEPCompressor,0.93
0,H_energy_19,energy,0.885,CounterfactualCompressor,0.115
0,H_energy_19,energy,0.885,ResidualCompressor,0.965
0,H_energy_19,energy,0.885,MultiGoalPolicyClone,0.93
0,H_energy_19,energy,0.885,OracleUtilityPolicy,1.0
0,H_energy_19,energy,0.885,ActionOnly,0.005
0,H_energy_20,energy,0.89,U1_PolicyClone,0.11
0,H_energy_20,energy,0.89,AEPCompressor,0.935
0,H_energy_20,energy,0.89,CounterfactualCompressor,0.11
0,H_energy_20,energy,0.89,ResidualCompressor,0.96
0,H_energy_20,energy,0.89,MultiGoalPolicyClone,0.93
0,H_energy_20,energy,0.89,OracleUtilityPolicy,1.0
0,H_energy_20,energy,0.89,ActionOnly,0.01
