seed,utility,utility_type,mechanism,best_action_match,memory_cost_bytes
0,H_linear_0,linear,RawMemoryOutcomeTableFull,0.995,129600
0,H_linear_0,linear,StandardizedKNNOutcomeTable,0.995,129600
0,H_linear_0,linear,PrototypeOutcomeTable,0.995,3240
0,H_linear_1,linear,RawMemoryOutcomeTableFull,1.0,129600
0,H_linear_1,linear,StandardizedKNNOutcomeTable,1.0,129600
0,H_linear_1,linear,PrototypeOutcomeTable,1.0,3240
0,H_linear_2,linear,RawMemoryOutcomeTableFull,1.0,129600
0,H_linear_2,linear,StandardizedKNNOutcomeTable,1.0,129600
0,H_linear_2,linear,PrototypeOutcomeTable,1.0,3240
0,H_linear_3,linear,RawMemoryOutcomeTableFull,1.0,129600
0,H_linear_3,linear,StandardizedKNNOutcomeTable,1.0,129600
0,H_linear_3,linear,PrototypeOutcomeTable,1.0,3240
0,H_linear_4,linear,RawMemoryOutcomeTableFull,1.0,129600
0,H_linear_4,linear,StandardizedKNNOutcomeTable,1.0,129600
0,H_linear_4,linear,PrototypeOutcomeTable,1.0,3240
0,H_linear_5,linear,RawMemoryOutcomeTableFull,0.985,129600
0,H_linear_5,linear,StandardizedKNNOutcomeTable,0.985,129600
0,H_linear_5,linear,PrototypeOutcomeTable,0.985,3240
0,H_linear_6,linear,RawMemoryOutcomeTableFull,0.995,129600
0,H_linear_6,linear,StandardizedKNNOutcomeTable,0.995,129600
0,H_linear_6,linear,PrototypeOutcomeTable,0.995,3240
0,H_linear_7,linear,RawMemoryOutcomeTableFull,1.0,129600
0,H_linear_7,linear,StandardizedKNNOutcomeTable,1.0,129600
0,H_linear_7,linear,PrototypeOutcomeTable,1.0,3240
0,H_target_8,target,RawMemoryOutcomeTableFull,0.995,129600
0,H_target_8,target,StandardizedKNNOutcomeTable,0.995,129600
0,H_target_8,target,PrototypeOutcomeTable,0.995,3240
0,H_target_9,target,RawMemoryOutcomeTableFull,0.645,129600
0,H_target_9,target,StandardizedKNNOutcomeTable,0.645,129600
0,H_target_9,target,PrototypeOutcomeTable,0.53,3240
0,H_target_10,target,RawMemoryOutcomeTableFull,0.995,129600
0,H_target_10,target,StandardizedKNNOutcomeTable,0.995,129600
0,H_target_10,target,PrototypeOutcomeTable,0.995,3240
0,H_target_11,target,RawMemoryOutcomeTableFull,0.55,129600
0,H_target_11,target,StandardizedKNNOutcomeTable,0.55,129600
0,H_target_11,target,PrototypeOutcomeTable,0.5,3240
0,H_target_12,target,RawMemoryOutcomeTableFull,0.605,129600
0,H_target_12,target,StandardizedKNNOutcomeTable,0.605,129600
0,H_target_12,target,PrototypeOutcomeTable,0.515,3240
0,H_target_13,target,RawMemoryOutcomeTableFull,1.0,129600
0,H_target_13,target,StandardizedKNNOutcomeTable,1.0,129600
0,H_target_13,target,PrototypeOutcomeTable,1.0,3240
0,H_energy_18,energy,RawMemoryOutcomeTableFull,0.425,129600
0,H_energy_18,energy,StandardizedKNNOutcomeTable,0.425,129600
0,H_energy_18,energy,PrototypeOutcomeTable,0.345,3240
0,H_energy_19,energy,RawMemoryOutcomeTableFull,0.985,129600
0,H_energy_19,energy,StandardizedKNNOutcomeTable,0.985,129600
0,H_energy_19,energy,PrototypeOutcomeTable,0.98,3240
0,H_energy_20,energy,RawMemoryOutcomeTableFull,0.985,129600
0,H_energy_20,energy,StandardizedKNNOutcomeTable,0.985,129600
0,H_energy_20,energy,PrototypeOutcomeTable,0.985,3240
0,H_energy_21,energy,RawMemoryOutcomeTableFull,0.92,129600
0,H_energy_21,energy,StandardizedKNNOutcomeTable,0.92,129600
0,H_energy_21,energy,PrototypeOutcomeTable,0.9,3240
0,H_adversarial_22,adversarial,RawMemoryOutcomeTableFull,0.57,129600
0,H_adversarial_22,adversarial,StandardizedKNNOutcomeTable,0.57,129600
0,H_adversarial_22,adversarial,PrototypeOutcomeTable,0.54,3240
1,H_linear_0,linear,RawMemoryOutcomeTableFull,0.995,129600
1,H_linear_0,linear,StandardizedKNNOutcomeTable,0.995,129600
1,H_linear_0,linear,PrototypeOutcomeTable,0.98,3240
