seed,goal,mechanism,best_action_match
0,U1_main,U1_PolicyClone,0.715
0,U1_main,AEPCompressor,0.615
0,U1_main,CounterfactualCompressor,0.735
0,U1_main,MultiGoalPolicyClone,0.725
0,U1_main,ResidualCompressor,0.615
0,U2_reverse,U1_PolicyClone,0.12
0,U2_reverse,AEPCompressor,0.75
0,U2_reverse,CounterfactualCompressor,0.35
0,U2_reverse,MultiGoalPolicyClone,0.005
0,U2_reverse,ResidualCompressor,0.77
0,U3_target,U1_PolicyClone,0.065
0,U3_target,AEPCompressor,0.98
0,U3_target,CounterfactualCompressor,0.425
0,U3_target,MultiGoalPolicyClone,0.0
0,U3_target,ResidualCompressor,0.985
0,U4_risk_avoid,U1_PolicyClone,0.715
0,U4_risk_avoid,AEPCompressor,0.615
0,U4_risk_avoid,CounterfactualCompressor,0.735
0,U4_risk_avoid,MultiGoalPolicyClone,0.13
0,U4_risk_avoid,ResidualCompressor,0.615
0,U5_energy_aware,U1_PolicyClone,0.22
0,U5_energy_aware,AEPCompressor,0.845
0,U5_energy_aware,CounterfactualCompressor,0.22
0,U5_energy_aware,MultiGoalPolicyClone,0.87
0,U5_energy_aware,ResidualCompressor,0.87
1,U1_main,U1_PolicyClone,0.73
1,U1_main,AEPCompressor,0.595
1,U1_main,CounterfactualCompressor,0.72
1,U1_main,MultiGoalPolicyClone,0.805
1,U1_main,ResidualCompressor,0.625
1,U2_reverse,U1_PolicyClone,0.135
1,U2_reverse,AEPCompressor,0.86
1,U2_reverse,CounterfactualCompressor,0.425
1,U2_reverse,MultiGoalPolicyClone,0.0
1,U2_reverse,ResidualCompressor,0.84
1,U3_target,U1_PolicyClone,0.08
1,U3_target,AEPCompressor,0.985
1,U3_target,CounterfactualCompressor,0.465
1,U3_target,MultiGoalPolicyClone,0.01
1,U3_target,ResidualCompressor,0.975
1,U4_risk_avoid,U1_PolicyClone,0.73
1,U4_risk_avoid,AEPCompressor,0.595
1,U4_risk_avoid,CounterfactualCompressor,0.72
1,U4_risk_avoid,MultiGoalPolicyClone,0.125
1,U4_risk_avoid,ResidualCompressor,0.625
1,U5_energy_aware,U1_PolicyClone,0.185
1,U5_energy_aware,AEPCompressor,0.77
1,U5_energy_aware,CounterfactualCompressor,0.19
1,U5_energy_aware,MultiGoalPolicyClone,0.88
1,U5_energy_aware,ResidualCompressor,0.83
2,U1_main,U1_PolicyClone,0.785
2,U1_main,AEPCompressor,0.72
2,U1_main,CounterfactualCompressor,0.8
2,U1_main,MultiGoalPolicyClone,0.795
2,U1_main,ResidualCompressor,0.595
2,U2_reverse,U1_PolicyClone,0.13
2,U2_reverse,AEPCompressor,0.82
2,U2_reverse,CounterfactualCompressor,0.495
2,U2_reverse,MultiGoalPolicyClone,0.0
2,U2_reverse,ResidualCompressor,0.8
2,U3_target,U1_PolicyClone,0.095
2,U3_target,AEPCompressor,0.96
2,U3_target,CounterfactualCompressor,0.38
2,U3_target,MultiGoalPolicyClone,0.005
2,U3_target,ResidualCompressor,0.98
2,U4_risk_avoid,U1_PolicyClone,0.785
2,U4_risk_avoid,AEPCompressor,0.72
2,U4_risk_avoid,CounterfactualCompressor,0.8
2,U4_risk_avoid,MultiGoalPolicyClone,0.105
2,U4_risk_avoid,ResidualCompressor,0.595
2,U5_energy_aware,U1_PolicyClone,0.2
2,U5_energy_aware,AEPCompressor,0.64
2,U5_energy_aware,CounterfactualCompressor,0.225
2,U5_energy_aware,MultiGoalPolicyClone,0.86
2,U5_energy_aware,ResidualCompressor,0.76
