step,strategy,best_action_match,n_seeds,level
1,kmeans_20,0.095,50,S2
2,kmeans_20,0.095,50,S2
3,kmeans_20,0.095,50,S2
4,kmeans_20,0.095,50,S2
5,kmeans_20,0.115,50,S2
6,kmeans_20,0.095,50,S2
7,kmeans_20,0.095,50,S2
8,kmeans_20,0.095,50,S2
9,kmeans_20,0.095,50,S2
10,kmeans_20,0.095,50,S2
11,kmeans_20,0.095,50,S2
12,kmeans_20,0.095,50,S2
13,kmeans_20,0.095,50,S2
14,kmeans_20,0.095,50,S2
15,kmeans_20,0.095,50,S2
16,kmeans_20,0.095,50,S2
17,kmeans_20,0.095,50,S2
18,kmeans_20,0.095,50,S2
19,kmeans_20,0.095,50,S2
20,kmeans_20,0.095,50,S2
21,kmeans_20,0.095,50,S2
22,kmeans_20,0.095,50,S2
23,kmeans_20,0.095,50,S2
24,kmeans_20,0.095,50,S2
25,kmeans_20,0.095,50,S2
26,kmeans_20,0.095,50,S2
27,kmeans_20,0.095,50,S2
28,kmeans_20,0.095,50,S2
29,kmeans_20,0.095,50,S2
30,kmeans_20,0.095,50,S2
31,kmeans_20,0.095,50,S2
32,kmeans_20,0.095,50,S2
33,kmeans_20,0.095,50,S2
34,kmeans_20,0.095,50,S2
35,kmeans_20,0.095,50,S2
36,kmeans_20,0.095,50,S2
37,kmeans_20,0.095,50,S2
38,kmeans_20,0.095,50,S2
39,kmeans_20,0.095,50,S2
40,kmeans_20,0.095,50,S2
41,kmeans_20,0.095,50,S2
42,kmeans_20,0.095,50,S2
43,kmeans_20,0.095,50,S2
44,kmeans_20,0.095,50,S2
45,kmeans_20,0.095,50,S2
46,kmeans_20,0.095,50,S2
47,kmeans_20,0.095,50,S2
48,kmeans_20,0.095,50,S2
49,kmeans_20,0.095,50,S2
50,kmeans_20,0.095,50,S2
1,y_aware_w5.0,0.555,50,S2
2,y_aware_w5.0,0.575,50,S2
3,y_aware_w5.0,0.56,50,S2
4,y_aware_w5.0,0.58,50,S2
5,y_aware_w5.0,0.5,50,S2
6,y_aware_w5.0,0.605,50,S2
7,y_aware_w5.0,0.545,50,S2
8,y_aware_w5.0,0.595,50,S2
9,y_aware_w5.0,0.565,50,S2
10,y_aware_w5.0,0.585,50,S2
11,y_aware_w5.0,0.52,50,S2
12,y_aware_w5.0,0.53,50,S2
13,y_aware_w5.0,0.525,50,S2
