step,strategy,best_action_match
1,naive_consolidated,0.095
2,naive_consolidated,0.095
3,naive_consolidated,0.095
4,naive_consolidated,0.095
5,naive_consolidated,0.115
1,seed_conditioned,0.095
2,seed_conditioned,0.1
3,seed_conditioned,0.11
4,seed_conditioned,0.1
5,seed_conditioned,0.095
1,seed0_only,0.095
2,seed0_only,0.095
3,seed0_only,0.095
4,seed0_only,0.095
5,seed0_only,0.095
1,weighted_seed_T1,0.095
2,weighted_seed_T1,0.095
3,weighted_seed_T1,0.095
4,weighted_seed_T1,0.095
5,weighted_seed_T1,0.095
1,weighted_seed_T05,0.095
2,weighted_seed_T05,0.1
3,weighted_seed_T05,0.11
4,weighted_seed_T05,0.1
5,weighted_seed_T05,0.095
1,purity_gated_0.5,0.095
2,purity_gated_0.5,0.095
3,purity_gated_0.5,0.095
4,purity_gated_0.5,0.46
5,purity_gated_0.5,0.095
1,purity_gated_0.3,0.095
2,purity_gated_0.3,0.095
3,purity_gated_0.3,0.095
4,purity_gated_0.3,0.095
5,purity_gated_0.3,0.095
1,combined_anchor_seed_purity,0.095
2,combined_anchor_seed_purity,0.13
3,combined_anchor_seed_purity,0.095
4,combined_anchor_seed_purity,0.12
5,combined_anchor_seed_purity,0.46
1,per_seed_consolidated,0.095
2,per_seed_consolidated,0.095
3,per_seed_consolidated,0.095
4,per_seed_consolidated,0.095
5,per_seed_consolidated,0.095
1,episodic,0.175
2,episodic,0.145
3,episodic,0.145
4,episodic,0.15
5,episodic,0.195
1,nomemory,0.46
2,nomemory,0.445
3,nomemory,0.445
4,nomemory,0.445
5,nomemory,0.445
