cluster,size,dominant_seed,purity,seed_distribution
0,335,3,0.2239,"[68, 59, 58, 75, 75]"
1,262,1,0.2481,"[41, 65, 57, 50, 49]"
2,320,0,0.275,"[88, 63, 15, 69, 85]"
3,309,3,0.2298,"[52, 62, 54, 71, 70]"
4,52,4,0.5577,"[5, 12, 2, 4, 29]"
5,283,0,0.2297,"[65, 55, 63, 60, 40]"
6,310,2,0.2323,"[69, 49, 72, 67, 53]"
7,309,3,0.2362,"[61, 64, 54, 73, 57]"
8,299,3,0.2475,"[48, 48, 68, 74, 61]"
9,294,1,0.2483,"[61, 73, 63, 43, 54]"
10,332,2,0.2259,"[73, 74, 75, 62, 48]"
11,353,3,0.2493,"[58, 71, 53, 88, 83]"
12,161,2,0.3043,"[23, 32, 49, 18, 39]"
13,346,4,0.237,"[63, 65, 68, 68, 82]"
14,303,1,0.2673,"[56, 81, 66, 43, 57]"
15,327,0,0.2569,"[84, 56, 79, 31, 77]"
16,350,3,0.2171,"[63, 75, 70, 76, 66]"
17,340,2,0.2324,"[78, 68, 79, 62, 53]"
18,337,2,0.2374,"[69, 71, 80, 70, 47]"
19,378,3,0.254,"[75, 57, 75, 96, 75]"
