query_idx,true_ba,retrieved_bas,unique_bas,consistency,matches_true
3332,1,"[1, 1, 1, 1, 1]",1,1.0,1
4532,2,"[2, 2, 2, 2, 2]",1,1.0,1
5298,0,"[0, 0, 0, 0, 0]",1,1.0,1
4664,2,"[2, 2, 2, 2, 2]",1,1.0,1
3084,0,"[0, 0, 0, 0, 0]",1,1.0,1
3171,2,"[2, 2, 2, 2, 2]",1,1.0,1
1616,1,"[1, 1, 1, 1, 1]",1,1.0,1
5913,2,"[2, 2, 2, 2, 2]",1,1.0,1
5952,2,"[2, 2, 2, 2, 2]",1,1.0,1
1524,2,"[2, 2, 2, 2, 2]",1,1.0,1
3661,2,"[2, 2, 2, 2, 2]",1,1.0,1
4768,0,"[0, 0, 0, 0, 0]",1,1.0,1
365,2,"[2, 2, 2, 2, 2]",1,1.0,1
1472,1,"[1, 1, 1, 1, 1]",1,1.0,1
1295,2,"[2, 2, 2, 2, 2]",1,1.0,1
1176,0,"[0, 0, 0, 0, 0]",1,1.0,1
895,0,"[0, 0, 0, 0, 0]",1,1.0,1
5592,0,"[0, 0, 0, 0, 0]",1,1.0,1
5163,2,"[2, 2, 2, 2, 2]",1,1.0,1
4973,0,"[0, 0, 0, 0, 0]",1,1.0,1
758,2,"[2, 2, 2, 2, 2]",1,1.0,1
3018,0,"[0, 0, 0, 0, 0]",1,1.0,1
2522,2,"[2, 2, 2, 2, 2]",1,1.0,1
2862,0,"[0, 0, 0, 0, 0]",1,1.0,1
3391,2,"[2, 2, 2, 2, 2]",1,1.0,1
1366,2,"[2, 2, 2, 2, 2]",1,1.0,1
996,2,"[2, 2, 2, 2, 2]",1,1.0,1
5408,2,"[2, 2, 2, 2, 2]",1,1.0,1
2105,0,"[0, 0, 0, 0, 0]",1,1.0,1
1390,1,"[1, 1, 1, 1, 1]",1,1.0,1
2074,0,"[0, 0, 0, 0, 0]",1,1.0,1
1792,0,"[0, 0, 0, 0, 0]",1,1.0,1
1837,1,"[1, 1, 1, 1, 1]",1,1.0,1
4189,1,"[1, 1, 1, 1, 1]",1,1.0,1
723,1,"[1, 1, 1, 1, 1]",1,1.0,1
4890,0,"[0, 0, 0, 0, 0]",1,1.0,1
4223,1,"[1, 1, 1, 1, 1]",1,1.0,1
4479,0,"[0, 0, 0, 0, 0]",1,1.0,1
3801,0,"[0, 0, 0, 0, 0]",1,1.0,1
1625,0,"[0, 0, 0, 0, 0]",1,1.0,1
5925,0,"[0, 0, 0, 0, 0]",1,1.0,1
5550,0,"[0, 0, 0, 0, 0]",1,1.0,1
1632,2,"[2, 2, 2, 2, 2]",1,1.0,1
947,2,"[2, 2, 2, 2, 2]",1,1.0,1
2920,0,"[0, 0, 0, 0, 0]",1,1.0,1
4550,0,"[0, 0, 0, 0, 0]",1,1.0,1
3498,2,"[2, 2, 2, 2, 2]",1,1.0,1
4179,0,"[0, 0, 0, 0, 0]",1,1.0,1
1570,0,"[0, 0, 0, 0, 0]",1,1.0,1
1758,2,"[2, 2, 2, 2, 2]",1,1.0,1
2912,0,"[0, 0, 0, 0, 0]",1,1.0,1
5782,1,"[1, 1, 1, 1, 1]",1,1.0,1
346,1,"[1, 1, 1, 1, 1]",1,1.0,1
1119,0,"[0, 0, 0, 0, 0]",1,1.0,1
922,2,"[2, 2, 2, 2, 2]",1,1.0,1
4754,0,"[0, 0, 0, 0, 0]",1,1.0,1
4453,2,"[2, 2, 2, 2, 2]",1,1.0,1
3197,2,"[2, 2, 2, 2, 2]",1,1.0,1
3270,0,"[0, 0, 0, 0, 0]",1,1.0,1
2688,2,"[2, 2, 2, 2, 2]",1,1.0,1
2762,1,"[1, 1, 1, 1, 1]",1,1.0,1
4580,0,"[0, 0, 0, 0, 0]",1,1.0,1
5076,2,"[2, 2, 2, 2, 2]",1,1.0,1
865,2,"[2, 2, 2, 2, 2]",1,1.0,1
571,0,"[0, 0, 0, 0, 0]",1,1.0,1
1101,2,"[2, 2, 2, 2, 2]",1,1.0,1
5531,0,"[0, 0, 0, 0, 0]",1,1.0,1
5250,2,"[2, 2, 2, 2, 2]",1,1.0,1
5659,2,"[2, 2, 2, 2, 2]",1,1.0,1
4942,0,"[0, 0, 0, 0, 0]",1,1.0,1
980,2,"[2, 2, 2, 2, 2]",1,1.0,1
5970,2,"[2, 2, 2, 2, 2]",1,1.0,1
3493,0,"[0, 0, 0, 0, 0]",1,1.0,1
2907,2,"[2, 2, 2, 2, 2]",1,1.0,1
5685,1,"[1, 1, 1, 1, 1]",1,1.0,1
5344,0,"[0, 0, 0, 0, 0]",1,1.0,1
1756,0,"[0, 0, 0, 0, 0]",1,1.0,1
177,0,"[0, 0, 0, 0, 0]",1,1.0,1
5591,2,"[2, 2, 2, 2, 2]",1,1.0,1
2341,0,"[0, 0, 0, 0, 0]",1,1.0,1
3739,2,"[2, 2, 2, 2, 2]",1,1.0,1
4338,2,"[2, 2, 2, 2, 2]",1,1.0,1
5859,2,"[2, 2, 2, 2, 2]",1,1.0,1
1858,2,"[2, 2, 2, 2, 2]",1,1.0,1
1815,1,"[1, 1, 1, 1, 1]",1,1.0,1
4083,2,"[2, 2, 2, 2, 2]",1,1.0,1
608,2,"[2, 2, 2, 2, 2]",1,1.0,1
4029,0,"[0, 0, 0, 0, 0]",1,1.0,1
709,2,"[2, 2, 2, 2, 2]",1,1.0,1
5075,0,"[0, 0, 0, 0, 0]",1,1.0,1
195,2,"[2, 2, 2, 2, 2]",1,1.0,1
