step,strategy,best_action_match
1,kmeans_20,0.095
2,kmeans_20,0.095
3,kmeans_20,0.095
4,kmeans_20,0.095
5,kmeans_20,0.115
1,kmeans_50,0.125
2,kmeans_50,0.105
3,kmeans_50,0.11
4,kmeans_50,0.095
5,kmeans_50,0.125
1,kmeans_100,0.12
2,kmeans_100,0.135
3,kmeans_100,0.12
4,kmeans_100,0.115
5,kmeans_100,0.13
1,kmeans_200,0.205
2,kmeans_200,0.125
3,kmeans_200,0.145
4,kmeans_200,0.135
5,kmeans_200,0.12
1,y_aware_w0.5,0.11
2,y_aware_w0.5,0.095
3,y_aware_w0.5,0.095
4,y_aware_w0.5,0.13
5,y_aware_w0.5,0.095
1,y_aware_w1.0,0.13
2,y_aware_w1.0,0.095
3,y_aware_w1.0,0.165
4,y_aware_w1.0,0.15
5,y_aware_w1.0,0.105
1,y_aware_w2.0,0.255
2,y_aware_w2.0,0.24
3,y_aware_w2.0,0.245
4,y_aware_w2.0,0.2
5,y_aware_w2.0,0.245
1,y_aware_w5.0,0.555
2,y_aware_w5.0,0.575
3,y_aware_w5.0,0.56
4,y_aware_w5.0,0.58
5,y_aware_w5.0,0.5
1,per_action_kmeans,0.59
2,per_action_kmeans,0.555
3,per_action_kmeans,0.605
4,per_action_kmeans,0.54
5,per_action_kmeans,0.585
1,dt_20,0.125
2,dt_20,0.13
3,dt_20,0.175
4,dt_20,0.15
5,dt_20,0.11
1,dt_50,0.295
2,dt_50,0.195
3,dt_50,0.27
4,dt_50,0.26
5,dt_50,0.22
1,dt_100,0.395
2,dt_100,0.32
3,dt_100,0.32
4,dt_100,0.305
5,dt_100,0.3
1,episodic,0.175
2,episodic,0.145
3,episodic,0.145
4,episodic,0.15
5,episodic,0.195
1,nomemory,0.46
2,nomemory,0.445
3,nomemory,0.445
4,nomemory,0.445
5,nomemory,0.445
