mechanism,parameter_cost_bytes,training_data_cost_bytes,cf_acquisition_cost,probe_cost,adaptation_label_cost,inference_cost_ops,total_capital_cost,seed
AEPCompressor,52132,0,9,0,0,0,52141,0
ResidualCompressor,34520,0,9,0,0,0,34529,0
CounterfactualCompressor,38220,0,9,0,0,0,38229,0
RawMemoryOutcomeTableFull,0,4968,9,0,0,3312,4977,0
StandardizedKNNOutcomeTable,0,4968,0,0,0,3312,4968,0
PrototypeOutcomeTable,0,5400,9,0,0,3600,5409,0
AEPCompressor,52132,0,9,0,0,0,52141,1
ResidualCompressor,34520,0,9,0,0,0,34529,1
CounterfactualCompressor,38220,0,9,0,0,0,38229,1
RawMemoryOutcomeTableFull,0,4968,9,0,0,3312,4977,1
StandardizedKNNOutcomeTable,0,4968,0,0,0,3312,4968,1
PrototypeOutcomeTable,0,5400,9,0,0,3600,5409,1
AEPCompressor,52132,0,9,0,0,0,52141,2
ResidualCompressor,34520,0,9,0,0,0,34529,2
CounterfactualCompressor,38220,0,9,0,0,0,38229,2
RawMemoryOutcomeTableFull,0,4968,9,0,0,3312,4977,2
StandardizedKNNOutcomeTable,0,4968,0,0,0,3312,4968,2
PrototypeOutcomeTable,0,5400,9,0,0,3600,5409,2
