n_train,mechanism,utility,utility_type,utility_complexity,match
100,AEPCompressor,H_linear_0,linear,1,0.995
100,ResidualCompressor,H_linear_0,linear,1,0.995
100,RawMemoryOutcomeTableFull,H_linear_0,linear,1,0.995
100,PrototypeOutcomeTable,H_linear_0,linear,1,0.995
100,AEPCompressor,H_linear_1,linear,1,1.0
100,ResidualCompressor,H_linear_1,linear,1,1.0
100,RawMemoryOutcomeTableFull,H_linear_1,linear,1,1.0
100,PrototypeOutcomeTable,H_linear_1,linear,1,1.0
100,AEPCompressor,H_linear_2,linear,1,1.0
100,ResidualCompressor,H_linear_2,linear,1,1.0
100,RawMemoryOutcomeTableFull,H_linear_2,linear,1,1.0
100,PrototypeOutcomeTable,H_linear_2,linear,1,1.0
100,AEPCompressor,H_linear_3,linear,1,1.0
100,ResidualCompressor,H_linear_3,linear,1,1.0
100,RawMemoryOutcomeTableFull,H_linear_3,linear,1,1.0
100,PrototypeOutcomeTable,H_linear_3,linear,1,1.0
100,AEPCompressor,H_linear_4,linear,1,1.0
100,ResidualCompressor,H_linear_4,linear,1,1.0
100,RawMemoryOutcomeTableFull,H_linear_4,linear,1,1.0
100,PrototypeOutcomeTable,H_linear_4,linear,1,1.0
100,AEPCompressor,H_linear_5,linear,1,0.985
100,ResidualCompressor,H_linear_5,linear,1,0.985
100,RawMemoryOutcomeTableFull,H_linear_5,linear,1,0.98
100,PrototypeOutcomeTable,H_linear_5,linear,1,0.985
100,AEPCompressor,H_target_6,target,2,0.995
100,ResidualCompressor,H_target_6,target,2,0.995
100,RawMemoryOutcomeTableFull,H_target_6,target,2,0.995
100,PrototypeOutcomeTable,H_target_6,target,2,0.995
100,AEPCompressor,H_target_7,target,2,1.0
100,ResidualCompressor,H_target_7,target,2,1.0
100,RawMemoryOutcomeTableFull,H_target_7,target,2,1.0
100,PrototypeOutcomeTable,H_target_7,target,2,1.0
100,AEPCompressor,H_target_8,target,2,0.995
100,ResidualCompressor,H_target_8,target,2,0.995
100,RawMemoryOutcomeTableFull,H_target_8,target,2,0.995
100,PrototypeOutcomeTable,H_target_8,target,2,0.995
100,AEPCompressor,H_target_9,target,2,0.52
100,ResidualCompressor,H_target_9,target,2,0.52
100,RawMemoryOutcomeTableFull,H_target_9,target,2,0.54
100,PrototypeOutcomeTable,H_target_9,target,2,0.5
100,AEPCompressor,H_target_10,target,2,0.995
100,ResidualCompressor,H_target_10,target,2,0.995
100,RawMemoryOutcomeTableFull,H_target_10,target,2,0.99
100,PrototypeOutcomeTable,H_target_10,target,2,0.995
100,AEPCompressor,H_piecewise_15,piecewise,4,0.53
100,ResidualCompressor,H_piecewise_15,piecewise,4,0.52
100,RawMemoryOutcomeTableFull,H_piecewise_15,piecewise,4,0.51
100,PrototypeOutcomeTable,H_piecewise_15,piecewise,4,0.525
100,AEPCompressor,H_piecewise_18,piecewise,4,0.53
100,ResidualCompressor,H_piecewise_18,piecewise,4,0.52
100,RawMemoryOutcomeTableFull,H_piecewise_18,piecewise,4,0.51
100,PrototypeOutcomeTable,H_piecewise_18,piecewise,4,0.525
100,AEPCompressor,H_multiobj_24,multiobj,7,1.0
100,ResidualCompressor,H_multiobj_24,multiobj,7,1.0
100,RawMemoryOutcomeTableFull,H_multiobj_24,multiobj,7,1.0
100,PrototypeOutcomeTable,H_multiobj_24,multiobj,7,1.0
100,Reference_PCHeldout,mean,ref,0,0.261
300,AEPCompressor,H_linear_0,linear,1,0.995
300,ResidualCompressor,H_linear_0,linear,1,0.995
300,RawMemoryOutcomeTableFull,H_linear_0,linear,1,0.995
300,PrototypeOutcomeTable,H_linear_0,linear,1,0.995
300,AEPCompressor,H_linear_1,linear,1,1.0
300,ResidualCompressor,H_linear_1,linear,1,1.0
300,RawMemoryOutcomeTableFull,H_linear_1,linear,1,1.0
300,PrototypeOutcomeTable,H_linear_1,linear,1,1.0
300,AEPCompressor,H_linear_2,linear,1,1.0
300,ResidualCompressor,H_linear_2,linear,1,1.0
300,RawMemoryOutcomeTableFull,H_linear_2,linear,1,1.0
300,PrototypeOutcomeTable,H_linear_2,linear,1,1.0
300,AEPCompressor,H_linear_3,linear,1,1.0
300,ResidualCompressor,H_linear_3,linear,1,1.0
300,RawMemoryOutcomeTableFull,H_linear_3,linear,1,1.0
300,PrototypeOutcomeTable,H_linear_3,linear,1,1.0
300,AEPCompressor,H_linear_4,linear,1,1.0
300,ResidualCompressor,H_linear_4,linear,1,1.0
300,RawMemoryOutcomeTableFull,H_linear_4,linear,1,1.0
300,PrototypeOutcomeTable,H_linear_4,linear,1,1.0
300,AEPCompressor,H_linear_5,linear,1,0.985
300,ResidualCompressor,H_linear_5,linear,1,0.985
300,RawMemoryOutcomeTableFull,H_linear_5,linear,1,0.98
300,PrototypeOutcomeTable,H_linear_5,linear,1,0.985
300,AEPCompressor,H_target_6,target,2,0.995
300,ResidualCompressor,H_target_6,target,2,0.98
300,RawMemoryOutcomeTableFull,H_target_6,target,2,0.995
300,PrototypeOutcomeTable,H_target_6,target,2,0.995
300,AEPCompressor,H_target_7,target,2,1.0
300,ResidualCompressor,H_target_7,target,2,1.0
300,RawMemoryOutcomeTableFull,H_target_7,target,2,1.0
300,PrototypeOutcomeTable,H_target_7,target,2,1.0
300,AEPCompressor,H_target_8,target,2,0.995
300,ResidualCompressor,H_target_8,target,2,0.995
300,RawMemoryOutcomeTableFull,H_target_8,target,2,0.995
300,PrototypeOutcomeTable,H_target_8,target,2,0.995
300,AEPCompressor,H_target_9,target,2,0.52
300,ResidualCompressor,H_target_9,target,2,0.565
300,RawMemoryOutcomeTableFull,H_target_9,target,2,0.495
300,PrototypeOutcomeTable,H_target_9,target,2,0.545
300,AEPCompressor,H_target_10,target,2,0.995
300,ResidualCompressor,H_target_10,target,2,0.98
300,RawMemoryOutcomeTableFull,H_target_10,target,2,0.995
300,PrototypeOutcomeTable,H_target_10,target,2,0.995
300,AEPCompressor,H_piecewise_15,piecewise,4,0.62
300,ResidualCompressor,H_piecewise_15,piecewise,4,0.62
300,RawMemoryOutcomeTableFull,H_piecewise_15,piecewise,4,0.505
300,PrototypeOutcomeTable,H_piecewise_15,piecewise,4,0.56
300,AEPCompressor,H_piecewise_18,piecewise,4,0.62
300,ResidualCompressor,H_piecewise_18,piecewise,4,0.62
300,RawMemoryOutcomeTableFull,H_piecewise_18,piecewise,4,0.505
300,PrototypeOutcomeTable,H_piecewise_18,piecewise,4,0.56
300,AEPCompressor,H_multiobj_24,multiobj,7,1.0
300,ResidualCompressor,H_multiobj_24,multiobj,7,1.0
300,RawMemoryOutcomeTableFull,H_multiobj_24,multiobj,7,1.0
300,PrototypeOutcomeTable,H_multiobj_24,multiobj,7,1.0
300,Reference_PCHeldout,mean,ref,0,0.261
1000,AEPCompressor,H_linear_0,linear,1,0.995
1000,ResidualCompressor,H_linear_0,linear,1,1.0
1000,RawMemoryOutcomeTableFull,H_linear_0,linear,1,0.995
1000,PrototypeOutcomeTable,H_linear_0,linear,1,0.995
1000,AEPCompressor,H_linear_1,linear,1,1.0
1000,ResidualCompressor,H_linear_1,linear,1,1.0
1000,RawMemoryOutcomeTableFull,H_linear_1,linear,1,1.0
1000,PrototypeOutcomeTable,H_linear_1,linear,1,1.0
1000,AEPCompressor,H_linear_2,linear,1,1.0
1000,ResidualCompressor,H_linear_2,linear,1,1.0
1000,RawMemoryOutcomeTableFull,H_linear_2,linear,1,1.0
1000,PrototypeOutcomeTable,H_linear_2,linear,1,1.0
1000,AEPCompressor,H_linear_3,linear,1,1.0
1000,ResidualCompressor,H_linear_3,linear,1,1.0
1000,RawMemoryOutcomeTableFull,H_linear_3,linear,1,1.0
1000,PrototypeOutcomeTable,H_linear_3,linear,1,1.0
1000,AEPCompressor,H_linear_4,linear,1,1.0
1000,ResidualCompressor,H_linear_4,linear,1,1.0
1000,RawMemoryOutcomeTableFull,H_linear_4,linear,1,1.0
1000,PrototypeOutcomeTable,H_linear_4,linear,1,1.0
1000,AEPCompressor,H_linear_5,linear,1,0.99
1000,ResidualCompressor,H_linear_5,linear,1,0.99
1000,RawMemoryOutcomeTableFull,H_linear_5,linear,1,0.985
1000,PrototypeOutcomeTable,H_linear_5,linear,1,0.985
1000,AEPCompressor,H_target_6,target,2,0.995
1000,ResidualCompressor,H_target_6,target,2,0.995
1000,RawMemoryOutcomeTableFull,H_target_6,target,2,0.995
1000,PrototypeOutcomeTable,H_target_6,target,2,0.995
1000,AEPCompressor,H_target_7,target,2,1.0
1000,ResidualCompressor,H_target_7,target,2,1.0
1000,RawMemoryOutcomeTableFull,H_target_7,target,2,1.0
1000,PrototypeOutcomeTable,H_target_7,target,2,1.0
1000,AEPCompressor,H_target_8,target,2,0.995
1000,ResidualCompressor,H_target_8,target,2,0.995
1000,RawMemoryOutcomeTableFull,H_target_8,target,2,0.995
1000,PrototypeOutcomeTable,H_target_8,target,2,0.995
1000,AEPCompressor,H_target_9,target,2,0.77
1000,ResidualCompressor,H_target_9,target,2,0.75
