budget_type,budget,n_clusters,mechanism,utility,utility_type,utility_complexity,match,stored_bytes
memory,50.0,,RawMemoryOutcomeTable,H_linear_0,linear,1,0.995,108
memory,50.0,,StandardizedKNNOutcomeTable,H_linear_0,linear,1,0.995,108
memory,50.0,,RawMemoryOutcomeTable,H_linear_1,linear,1,1.0,108
memory,50.0,,StandardizedKNNOutcomeTable,H_linear_1,linear,1,1.0,108
memory,50.0,,RawMemoryOutcomeTable,H_linear_2,linear,1,1.0,108
memory,50.0,,StandardizedKNNOutcomeTable,H_linear_2,linear,1,1.0,108
memory,50.0,,RawMemoryOutcomeTable,H_linear_3,linear,1,1.0,108
memory,50.0,,StandardizedKNNOutcomeTable,H_linear_3,linear,1,1.0,108
memory,50.0,,RawMemoryOutcomeTable,H_linear_4,linear,1,1.0,108
memory,50.0,,StandardizedKNNOutcomeTable,H_linear_4,linear,1,1.0,108
memory,50.0,,RawMemoryOutcomeTable,H_linear_5,linear,1,0.985,108
memory,50.0,,StandardizedKNNOutcomeTable,H_linear_5,linear,1,0.985,108
memory,50.0,,RawMemoryOutcomeTable,H_target_6,target,2,0.995,108
memory,50.0,,StandardizedKNNOutcomeTable,H_target_6,target,2,0.995,108
memory,50.0,,RawMemoryOutcomeTable,H_target_7,target,2,1.0,108
memory,50.0,,StandardizedKNNOutcomeTable,H_target_7,target,2,1.0,108
memory,50.0,,RawMemoryOutcomeTable,H_target_8,target,2,0.995,108
memory,50.0,,StandardizedKNNOutcomeTable,H_target_8,target,2,0.995,108
memory,50.0,,RawMemoryOutcomeTable,H_target_9,target,2,0.485,108
memory,50.0,,StandardizedKNNOutcomeTable,H_target_9,target,2,0.485,108
memory,50.0,,RawMemoryOutcomeTable,H_target_10,target,2,0.995,108
memory,50.0,,StandardizedKNNOutcomeTable,H_target_10,target,2,0.995,108
memory,50.0,,RawMemoryOutcomeTable,H_piecewise_15,piecewise,4,0.48,108
memory,50.0,,StandardizedKNNOutcomeTable,H_piecewise_15,piecewise,4,0.48,108
memory,50.0,,RawMemoryOutcomeTable,H_piecewise_18,piecewise,4,0.48,108
memory,50.0,,StandardizedKNNOutcomeTable,H_piecewise_18,piecewise,4,0.48,108
memory,50.0,,RawMemoryOutcomeTable,H_multiobj_24,multiobj,7,1.0,108
memory,50.0,,StandardizedKNNOutcomeTable,H_multiobj_24,multiobj,7,1.0,108
memory,100.0,,RawMemoryOutcomeTable,H_linear_0,linear,1,0.995,108
memory,100.0,,StandardizedKNNOutcomeTable,H_linear_0,linear,1,0.995,108
memory,100.0,,RawMemoryOutcomeTable,H_linear_1,linear,1,1.0,108
memory,100.0,,StandardizedKNNOutcomeTable,H_linear_1,linear,1,1.0,108
memory,100.0,,RawMemoryOutcomeTable,H_linear_2,linear,1,1.0,108
memory,100.0,,StandardizedKNNOutcomeTable,H_linear_2,linear,1,1.0,108
memory,100.0,,RawMemoryOutcomeTable,H_linear_3,linear,1,1.0,108
memory,100.0,,StandardizedKNNOutcomeTable,H_linear_3,linear,1,1.0,108
memory,100.0,,RawMemoryOutcomeTable,H_linear_4,linear,1,1.0,108
memory,100.0,,StandardizedKNNOutcomeTable,H_linear_4,linear,1,1.0,108
memory,100.0,,RawMemoryOutcomeTable,H_linear_5,linear,1,0.985,108
memory,100.0,,StandardizedKNNOutcomeTable,H_linear_5,linear,1,0.985,108
memory,100.0,,RawMemoryOutcomeTable,H_target_6,target,2,0.995,108
memory,100.0,,StandardizedKNNOutcomeTable,H_target_6,target,2,0.995,108
memory,100.0,,RawMemoryOutcomeTable,H_target_7,target,2,1.0,108
memory,100.0,,StandardizedKNNOutcomeTable,H_target_7,target,2,1.0,108
memory,100.0,,RawMemoryOutcomeTable,H_target_8,target,2,0.995,108
memory,100.0,,StandardizedKNNOutcomeTable,H_target_8,target,2,0.995,108
memory,100.0,,RawMemoryOutcomeTable,H_target_9,target,2,0.485,108
memory,100.0,,StandardizedKNNOutcomeTable,H_target_9,target,2,0.485,108
memory,100.0,,RawMemoryOutcomeTable,H_target_10,target,2,0.995,108
memory,100.0,,StandardizedKNNOutcomeTable,H_target_10,target,2,0.995,108
memory,100.0,,RawMemoryOutcomeTable,H_piecewise_15,piecewise,4,0.48,108
memory,100.0,,StandardizedKNNOutcomeTable,H_piecewise_15,piecewise,4,0.48,108
memory,100.0,,RawMemoryOutcomeTable,H_piecewise_18,piecewise,4,0.48,108
memory,100.0,,StandardizedKNNOutcomeTable,H_piecewise_18,piecewise,4,0.48,108
memory,100.0,,RawMemoryOutcomeTable,H_multiobj_24,multiobj,7,1.0,108
memory,100.0,,StandardizedKNNOutcomeTable,H_multiobj_24,multiobj,7,1.0,108
