step,strategy,best_action_match,predict_time_s
1,NoMemory,0.46,0.0
1,Episodic-kNN,0.175,1.404
1,Episodic-MLP,0.095,0.062
1,Episodic-RF,0.14,0.309
2,NoMemory,0.445,0.0
2,Episodic-kNN,0.145,0.009
2,Episodic-MLP,0.095,0.068
2,Episodic-RF,0.105,0.311
3,NoMemory,0.445,0.0
3,Episodic-kNN,0.145,0.009
3,Episodic-MLP,0.095,0.061
3,Episodic-RF,0.125,0.308
4,NoMemory,0.445,0.0
4,Episodic-kNN,0.15,0.009
4,Episodic-MLP,0.095,0.059
4,Episodic-RF,0.13,0.306
5,NoMemory,0.445,0.0
5,Episodic-kNN,0.195,0.009
5,Episodic-MLP,0.095,0.059
5,Episodic-RF,0.19,0.306
