ood_type,ood_scale,mechanism,utility,utility_type,utility_complexity,match
ID,0.5,AEPCompressor,H_linear_0,linear,1,0.99
ID,0.5,ResidualCompressor,H_linear_0,linear,1,0.99
ID,0.5,RawMemoryOutcomeTableFull,H_linear_0,linear,1,0.99
ID,0.5,PrototypeOutcomeTable,H_linear_0,linear,1,0.99
ID,0.5,AEPCompressor,H_linear_1,linear,1,0.99
ID,0.5,ResidualCompressor,H_linear_1,linear,1,0.99
ID,0.5,RawMemoryOutcomeTableFull,H_linear_1,linear,1,0.99
ID,0.5,PrototypeOutcomeTable,H_linear_1,linear,1,0.99
ID,0.5,AEPCompressor,H_linear_2,linear,1,0.9925
ID,0.5,ResidualCompressor,H_linear_2,linear,1,0.9925
ID,0.5,RawMemoryOutcomeTableFull,H_linear_2,linear,1,0.9925
ID,0.5,PrototypeOutcomeTable,H_linear_2,linear,1,0.9925
ID,0.5,AEPCompressor,H_linear_3,linear,1,0.985
ID,0.5,ResidualCompressor,H_linear_3,linear,1,0.985
ID,0.5,RawMemoryOutcomeTableFull,H_linear_3,linear,1,0.985
ID,0.5,PrototypeOutcomeTable,H_linear_3,linear,1,0.985
ID,0.5,AEPCompressor,H_linear_4,linear,1,0.995
ID,0.5,ResidualCompressor,H_linear_4,linear,1,0.995
ID,0.5,RawMemoryOutcomeTableFull,H_linear_4,linear,1,0.995
ID,0.5,PrototypeOutcomeTable,H_linear_4,linear,1,0.995
ID,0.5,AEPCompressor,H_linear_5,linear,1,0.96
ID,0.5,ResidualCompressor,H_linear_5,linear,1,0.9625
ID,0.5,RawMemoryOutcomeTableFull,H_linear_5,linear,1,0.96
ID,0.5,PrototypeOutcomeTable,H_linear_5,linear,1,0.96
ID,0.5,AEPCompressor,H_target_6,target,2,1.0
ID,0.5,ResidualCompressor,H_target_6,target,2,1.0
ID,0.5,RawMemoryOutcomeTableFull,H_target_6,target,2,1.0
ID,0.5,PrototypeOutcomeTable,H_target_6,target,2,1.0
ID,0.5,AEPCompressor,H_target_7,target,2,1.0
ID,0.5,ResidualCompressor,H_target_7,target,2,1.0
ID,0.5,RawMemoryOutcomeTableFull,H_target_7,target,2,1.0
ID,0.5,PrototypeOutcomeTable,H_target_7,target,2,1.0
ID,0.5,AEPCompressor,H_target_8,target,2,0.965
ID,0.5,ResidualCompressor,H_target_8,target,2,0.965
ID,0.5,RawMemoryOutcomeTableFull,H_target_8,target,2,0.965
