seed,utility,utility_type,utility_complexity,mechanism,match
0,H_linear_0,linear,1,AEPCompressor,1.0
0,H_linear_0,linear,1,ResidualCompressor,0.995
0,H_linear_0,linear,1,CounterfactualCompressor,0.165
0,H_linear_0,linear,1,RawMemoryOutcomeTableFull,0.995
0,H_linear_0,linear,1,StandardizedKNNOutcomeTable,0.995
0,H_linear_0,linear,1,PrototypeOutcomeTable,0.995
0,H_linear_1,linear,1,AEPCompressor,1.0
0,H_linear_1,linear,1,ResidualCompressor,1.0
0,H_linear_1,linear,1,CounterfactualCompressor,0.445
0,H_linear_1,linear,1,RawMemoryOutcomeTableFull,1.0
0,H_linear_1,linear,1,StandardizedKNNOutcomeTable,1.0
0,H_linear_1,linear,1,PrototypeOutcomeTable,1.0
0,H_linear_2,linear,1,AEPCompressor,1.0
0,H_linear_2,linear,1,ResidualCompressor,1.0
0,H_linear_2,linear,1,CounterfactualCompressor,0.28
0,H_linear_2,linear,1,RawMemoryOutcomeTableFull,1.0
0,H_linear_2,linear,1,StandardizedKNNOutcomeTable,1.0
0,H_linear_2,linear,1,PrototypeOutcomeTable,1.0
0,H_linear_3,linear,1,AEPCompressor,1.0
0,H_linear_3,linear,1,ResidualCompressor,1.0
0,H_linear_3,linear,1,CounterfactualCompressor,0.395
0,H_linear_3,linear,1,RawMemoryOutcomeTableFull,1.0
0,H_linear_3,linear,1,StandardizedKNNOutcomeTable,1.0
0,H_linear_3,linear,1,PrototypeOutcomeTable,1.0
0,H_linear_4,linear,1,AEPCompressor,1.0
0,H_linear_4,linear,1,ResidualCompressor,1.0
0,H_linear_4,linear,1,CounterfactualCompressor,0.33
0,H_linear_4,linear,1,RawMemoryOutcomeTableFull,1.0
0,H_linear_4,linear,1,StandardizedKNNOutcomeTable,1.0
0,H_linear_4,linear,1,PrototypeOutcomeTable,1.0
0,H_linear_5,linear,1,AEPCompressor,0.985
0,H_linear_5,linear,1,ResidualCompressor,0.99
0,H_linear_5,linear,1,CounterfactualCompressor,0.395
0,H_linear_5,linear,1,RawMemoryOutcomeTableFull,0.985
0,H_linear_5,linear,1,StandardizedKNNOutcomeTable,0.985
0,H_linear_5,linear,1,PrototypeOutcomeTable,0.985
0,H_target_6,target,2,AEPCompressor,0.995
0,H_target_6,target,2,ResidualCompressor,0.995
0,H_target_6,target,2,CounterfactualCompressor,0.375
0,H_target_6,target,2,RawMemoryOutcomeTableFull,0.995
0,H_target_6,target,2,StandardizedKNNOutcomeTable,0.995
0,H_target_6,target,2,PrototypeOutcomeTable,0.995
0,H_target_7,target,2,AEPCompressor,1.0
0,H_target_7,target,2,ResidualCompressor,1.0
0,H_target_7,target,2,CounterfactualCompressor,0.465
0,H_target_7,target,2,RawMemoryOutcomeTableFull,1.0
0,H_target_7,target,2,StandardizedKNNOutcomeTable,1.0
0,H_target_7,target,2,PrototypeOutcomeTable,1.0
0,H_target_8,target,2,AEPCompressor,1.0
0,H_target_8,target,2,ResidualCompressor,0.995
0,H_target_8,target,2,CounterfactualCompressor,0.615
0,H_target_8,target,2,RawMemoryOutcomeTableFull,0.995
0,H_target_8,target,2,StandardizedKNNOutcomeTable,0.995
0,H_target_8,target,2,PrototypeOutcomeTable,0.995
0,H_target_9,target,2,AEPCompressor,0.8
0,H_target_9,target,2,ResidualCompressor,0.765
0,H_target_9,target,2,CounterfactualCompressor,0.35
0,H_target_9,target,2,RawMemoryOutcomeTableFull,0.61
