action_effect_type,utility,utility_type,mechanism,match,total_capital_cost,performance_per_byte
simple_sign_flip,H_linear_0,linear,AEPCompressor,0.98,66532,1.4729754103288643e-05
simple_sign_flip,H_linear_0,linear,ResidualCompressor,0.99,48920,2.0237121831561732e-05
simple_sign_flip,H_linear_0,linear,RawMemoryOutcomeTableFull,0.9575,19368,4.9437216026435355e-05
simple_sign_flip,H_linear_0,linear,PrototypeOutcomeTable,0.9575,19800,4.835858585858586e-05
simple_sign_flip,H_linear_1,linear,AEPCompressor,0.985,66532,1.4804905909938074e-05
simple_sign_flip,H_linear_1,linear,ResidualCompressor,0.995,48920,2.0339329517579723e-05
simple_sign_flip,H_linear_1,linear,RawMemoryOutcomeTableFull,0.965,19368,4.98244527054936e-05
simple_sign_flip,H_linear_1,linear,PrototypeOutcomeTable,0.965,19800,4.8737373737373736e-05
simple_sign_flip,H_linear_2,linear,AEPCompressor,0.9875,66532,1.4842481813262791e-05
simple_sign_flip,H_linear_2,linear,ResidualCompressor,0.995,48920,2.0339329517579723e-05
simple_sign_flip,H_linear_2,linear,RawMemoryOutcomeTableFull,0.9725,19368,5.021168938455184e-05
simple_sign_flip,H_linear_2,linear,PrototypeOutcomeTable,0.9725,19800,4.911616161616162e-05
simple_sign_flip,H_linear_3,linear,AEPCompressor,0.9825,66532,1.476733000661336e-05
simple_sign_flip,H_linear_3,linear,ResidualCompressor,0.99,48920,2.0237121831561732e-05
simple_sign_flip,H_linear_3,linear,RawMemoryOutcomeTableFull,0.955,19368,4.930813713341594e-05
simple_sign_flip,H_linear_3,linear,PrototypeOutcomeTable,0.955,19800,4.823232323232323e-05
simple_sign_flip,H_linear_4,linear,AEPCompressor,0.985,66532,1.4804905909938074e-05
simple_sign_flip,H_linear_4,linear,ResidualCompressor,0.99,48920,2.0237121831561732e-05
simple_sign_flip,H_linear_4,linear,RawMemoryOutcomeTableFull,0.9725,19368,5.021168938455184e-05
simple_sign_flip,H_linear_4,linear,PrototypeOutcomeTable,0.9725,19800,4.911616161616162e-05
simple_sign_flip,H_linear_5,linear,AEPCompressor,0.965,66532,1.4504298683340348e-05
simple_sign_flip,H_linear_5,linear,ResidualCompressor,0.98,48920,2.0032706459525757e-05
simple_sign_flip,H_linear_5,linear,RawMemoryOutcomeTableFull,0.8525,19368,4.401590251961999e-05
simple_sign_flip,H_linear_5,linear,PrototypeOutcomeTable,0.8275,19800,4.179292929292929e-05
simple_sign_flip,H_target_6,target,AEPCompressor,0.995,66532,1.495520952323694e-05
simple_sign_flip,H_target_6,target,ResidualCompressor,0.995,48920,2.0339329517579723e-05
simple_sign_flip,H_target_6,target,RawMemoryOutcomeTableFull,0.99,19368,5.111524163568773e-05
simple_sign_flip,H_target_6,target,PrototypeOutcomeTable,0.99,19800,5e-05
simple_sign_flip,H_target_7,target,AEPCompressor,0.995,66532,1.495520952323694e-05
simple_sign_flip,H_target_7,target,ResidualCompressor,0.9975,48920,2.0390433360588716e-05
simple_sign_flip,H_target_7,target,RawMemoryOutcomeTableFull,0.9875,19368,5.098616274266832e-05
simple_sign_flip,H_target_7,target,PrototypeOutcomeTable,0.9875,19800,4.9873737373737375e-05
simple_sign_flip,H_target_8,target,AEPCompressor,0.9675,66532,1.4541874586665064e-05
simple_sign_flip,H_target_8,target,ResidualCompressor,0.965,48920,1.972608340147179e-05
simple_sign_flip,H_target_8,target,RawMemoryOutcomeTableFull,0.92,19368,4.7501032631144157e-05
simple_sign_flip,H_target_8,target,PrototypeOutcomeTable,0.9225,19800,4.659090909090909e-05
simple_sign_flip,H_target_9,target,AEPCompressor,0.935,66532,1.4053387843443756e-05
simple_sign_flip,H_target_9,target,ResidualCompressor,0.9475,48920,1.9368356500408832e-05
simple_sign_flip,H_target_9,target,RawMemoryOutcomeTableFull,0.5725,19368,2.9559066501445683e-05
simple_sign_flip,H_target_9,target,PrototypeOutcomeTable,0.5875,19800,2.9671717171717172e-05
simple_sign_flip,H_target_10,target,AEPCompressor,0.9975,66532,1.4992785426561656e-05
simple_sign_flip,H_target_10,target,ResidualCompressor,0.995,48920,2.0339329517579723e-05
simple_sign_flip,H_target_10,target,RawMemoryOutcomeTableFull,0.9875,19368,5.098616274266832e-05
simple_sign_flip,H_target_10,target,PrototypeOutcomeTable,0.9875,19800,4.9873737373737375e-05
simple_sign_flip,H_piecewise_15,piecewise,AEPCompressor,0.9925,66532,1.4917633619912224e-05
simple_sign_flip,H_piecewise_15,piecewise,ResidualCompressor,0.9825,48920,2.008381030253475e-05
simple_sign_flip,H_piecewise_15,piecewise,RawMemoryOutcomeTableFull,0.61,19368,3.1495249896736885e-05
simple_sign_flip,H_piecewise_15,piecewise,PrototypeOutcomeTable,0.695,19800,3.51010101010101e-05
simple_sign_flip,H_piecewise_16,piecewise,AEPCompressor,0.935,66532,1.4053387843443756e-05
simple_sign_flip,H_piecewise_16,piecewise,ResidualCompressor,0.935,48920,1.911283728536386e-05
simple_sign_flip,H_piecewise_16,piecewise,RawMemoryOutcomeTableFull,0.2575,19368,1.3295125980999588e-05
simple_sign_flip,H_piecewise_16,piecewise,PrototypeOutcomeTable,0.1075,19800,5.429292929292929e-06
simple_sign_flip,H_piecewise_18,piecewise,AEPCompressor,0.99,66532,1.4880057716587506e-05
simple_sign_flip,H_piecewise_18,piecewise,ResidualCompressor,0.9825,48920,2.008381030253475e-05
simple_sign_flip,H_piecewise_18,piecewise,RawMemoryOutcomeTableFull,0.6125,19368,3.16243287897563e-05
simple_sign_flip,H_piecewise_18,piecewise,PrototypeOutcomeTable,0.695,19800,3.51010101010101e-05
simple_sign_flip,H_multiobj_24,multiobj,AEPCompressor,1.0,66532,1.503036132988637e-05
simple_sign_flip,H_multiobj_24,multiobj,ResidualCompressor,1.0,48920,2.044153720359771e-05
simple_sign_flip,H_multiobj_24,multiobj,RawMemoryOutcomeTableFull,1.0,19368,5.163155720776539e-05
simple_sign_flip,H_multiobj_24,multiobj,PrototypeOutcomeTable,1.0,19800,5.0505050505050505e-05
mode_conditioned_gain,H_linear_0,linear,AEPCompressor,0.9725,66532,1.4617026393314496e-05
mode_conditioned_gain,H_linear_0,linear,ResidualCompressor,0.97,48920,1.982829108748978e-05
mode_conditioned_gain,H_linear_0,linear,RawMemoryOutcomeTableFull,0.945,19368,4.879182156133829e-05
mode_conditioned_gain,H_linear_0,linear,PrototypeOutcomeTable,0.945,19800,4.7727272727272724e-05
mode_conditioned_gain,H_linear_1,linear,AEPCompressor,0.975,66532,1.4654602296639211e-05
mode_conditioned_gain,H_linear_1,linear,ResidualCompressor,0.9675,48920,1.9777187244480785e-05
mode_conditioned_gain,H_linear_1,linear,RawMemoryOutcomeTableFull,0.95,19368,4.904997934737712e-05
mode_conditioned_gain,H_linear_1,linear,PrototypeOutcomeTable,0.95,19800,4.797979797979798e-05
mode_conditioned_gain,H_linear_2,linear,AEPCompressor,0.9775,66532,1.4692178199963928e-05
mode_conditioned_gain,H_linear_2,linear,ResidualCompressor,0.97,48920,1.982829108748978e-05
mode_conditioned_gain,H_linear_2,linear,RawMemoryOutcomeTableFull,0.96,19368,4.956629491945477e-05
mode_conditioned_gain,H_linear_2,linear,PrototypeOutcomeTable,0.96,19800,4.848484848484848e-05
mode_conditioned_gain,H_linear_3,linear,AEPCompressor,0.965,66532,1.4504298683340348e-05
mode_conditioned_gain,H_linear_3,linear,ResidualCompressor,0.9575,48920,1.9572771872444807e-05
mode_conditioned_gain,H_linear_3,linear,RawMemoryOutcomeTableFull,0.9475,19368,4.89209004543577e-05
mode_conditioned_gain,H_linear_3,linear,PrototypeOutcomeTable,0.9475,19800,4.785353535353535e-05
mode_conditioned_gain,H_linear_4,linear,AEPCompressor,0.985,66532,1.4804905909938074e-05
mode_conditioned_gain,H_linear_4,linear,ResidualCompressor,0.9825,48920,2.008381030253475e-05
mode_conditioned_gain,H_linear_4,linear,RawMemoryOutcomeTableFull,0.9575,19368,4.9437216026435355e-05
mode_conditioned_gain,H_linear_4,linear,PrototypeOutcomeTable,0.9575,19800,4.835858585858586e-05
mode_conditioned_gain,H_linear_5,linear,AEPCompressor,0.8625,66532,1.2963686647026995e-05
mode_conditioned_gain,H_linear_5,linear,ResidualCompressor,0.8775,48920,1.793744889615699e-05
mode_conditioned_gain,H_linear_5,linear,RawMemoryOutcomeTableFull,0.7925,19368,4.091800908715407e-05
mode_conditioned_gain,H_linear_5,linear,PrototypeOutcomeTable,0.7875,19800,3.977272727272727e-05
mode_conditioned_gain,H_target_6,target,AEPCompressor,0.9725,66532,1.4617026393314496e-05
mode_conditioned_gain,H_target_6,target,ResidualCompressor,0.9925,48920,2.028822567457073e-05
mode_conditioned_gain,H_target_6,target,RawMemoryOutcomeTableFull,0.995,19368,5.137339942172656e-05
mode_conditioned_gain,H_target_6,target,PrototypeOutcomeTable,0.995,19800,5.025252525252525e-05
mode_conditioned_gain,H_target_7,target,AEPCompressor,0.9925,66532,1.4917633619912224e-05
mode_conditioned_gain,H_target_7,target,ResidualCompressor,0.995,48920,2.0339329517579723e-05
