budget_type,budget,mechanism,utility,match,stored_bytes,inference_ops,total_capital_cost,performance_per_byte
memory_samples,10,RawMemoryOutcomeTableFull,H_linear_0,0.995,108,72,10908,9.121745507884122e-05
memory_samples,10,StandardizedKNNOutcomeTable,H_linear_0,0.995,108,72,10908,9.121745507884122e-05
memory_samples,10,RawMemoryOutcomeTableFull,H_linear_1,1.0,108,72,10908,9.167583425009168e-05
memory_samples,10,StandardizedKNNOutcomeTable,H_linear_1,1.0,108,72,10908,9.167583425009168e-05
memory_samples,10,RawMemoryOutcomeTableFull,H_linear_2,1.0,108,72,10908,9.167583425009168e-05
memory_samples,10,StandardizedKNNOutcomeTable,H_linear_2,1.0,108,72,10908,9.167583425009168e-05
memory_samples,10,RawMemoryOutcomeTableFull,H_linear_3,1.0,108,72,10908,9.167583425009168e-05
memory_samples,10,StandardizedKNNOutcomeTable,H_linear_3,1.0,108,72,10908,9.167583425009168e-05
memory_samples,10,RawMemoryOutcomeTableFull,H_linear_4,1.0,108,72,10908,9.167583425009168e-05
memory_samples,10,StandardizedKNNOutcomeTable,H_linear_4,1.0,108,72,10908,9.167583425009168e-05
memory_samples,10,RawMemoryOutcomeTableFull,H_linear_5,0.985,108,72,10908,9.030069673634029e-05
memory_samples,10,StandardizedKNNOutcomeTable,H_linear_5,0.985,108,72,10908,9.030069673634029e-05
memory_samples,10,RawMemoryOutcomeTableFull,H_target_6,0.995,108,72,10908,9.121745507884122e-05
memory_samples,10,StandardizedKNNOutcomeTable,H_target_6,0.995,108,72,10908,9.121745507884122e-05
memory_samples,10,RawMemoryOutcomeTableFull,H_target_7,1.0,108,72,10908,9.167583425009168e-05
memory_samples,10,StandardizedKNNOutcomeTable,H_target_7,1.0,108,72,10908,9.167583425009168e-05
memory_samples,10,RawMemoryOutcomeTableFull,H_target_8,0.995,108,72,10908,9.121745507884122e-05
memory_samples,10,StandardizedKNNOutcomeTable,H_target_8,0.995,108,72,10908,9.121745507884122e-05
memory_samples,10,RawMemoryOutcomeTableFull,H_target_9,0.485,108,72,10908,4.446277961129446e-05
memory_samples,10,StandardizedKNNOutcomeTable,H_target_9,0.485,108,72,10908,4.446277961129446e-05
memory_samples,10,RawMemoryOutcomeTableFull,H_target_10,0.995,108,72,10908,9.121745507884122e-05
memory_samples,10,StandardizedKNNOutcomeTable,H_target_10,0.995,108,72,10908,9.121745507884122e-05
memory_samples,10,RawMemoryOutcomeTableFull,H_piecewise_15,0.48,108,72,10908,4.4004400440044006e-05
memory_samples,10,StandardizedKNNOutcomeTable,H_piecewise_15,0.48,108,72,10908,4.4004400440044006e-05
memory_samples,10,RawMemoryOutcomeTableFull,H_piecewise_18,0.48,108,72,10908,4.4004400440044006e-05
memory_samples,10,StandardizedKNNOutcomeTable,H_piecewise_18,0.48,108,72,10908,4.4004400440044006e-05
memory_samples,10,RawMemoryOutcomeTableFull,H_multiobj_24,1.0,108,72,10908,9.167583425009168e-05
memory_samples,10,StandardizedKNNOutcomeTable,H_multiobj_24,1.0,108,72,10908,9.167583425009168e-05
memory_samples,25,RawMemoryOutcomeTableFull,H_linear_0,0.995,108,72,10908,9.121745507884122e-05
memory_samples,25,StandardizedKNNOutcomeTable,H_linear_0,0.995,108,72,10908,9.121745507884122e-05
memory_samples,25,RawMemoryOutcomeTableFull,H_linear_1,1.0,108,72,10908,9.167583425009168e-05
memory_samples,25,StandardizedKNNOutcomeTable,H_linear_1,1.0,108,72,10908,9.167583425009168e-05
memory_samples,25,RawMemoryOutcomeTableFull,H_linear_2,1.0,108,72,10908,9.167583425009168e-05
memory_samples,25,StandardizedKNNOutcomeTable,H_linear_2,1.0,108,72,10908,9.167583425009168e-05
memory_samples,25,RawMemoryOutcomeTableFull,H_linear_3,1.0,108,72,10908,9.167583425009168e-05
memory_samples,25,StandardizedKNNOutcomeTable,H_linear_3,1.0,108,72,10908,9.167583425009168e-05
memory_samples,25,RawMemoryOutcomeTableFull,H_linear_4,1.0,108,72,10908,9.167583425009168e-05
memory_samples,25,StandardizedKNNOutcomeTable,H_linear_4,1.0,108,72,10908,9.167583425009168e-05
memory_samples,25,RawMemoryOutcomeTableFull,H_linear_5,0.985,108,72,10908,9.030069673634029e-05
memory_samples,25,StandardizedKNNOutcomeTable,H_linear_5,0.985,108,72,10908,9.030069673634029e-05
memory_samples,25,RawMemoryOutcomeTableFull,H_target_6,0.995,108,72,10908,9.121745507884122e-05
memory_samples,25,StandardizedKNNOutcomeTable,H_target_6,0.995,108,72,10908,9.121745507884122e-05
memory_samples,25,RawMemoryOutcomeTableFull,H_target_7,1.0,108,72,10908,9.167583425009168e-05
memory_samples,25,StandardizedKNNOutcomeTable,H_target_7,1.0,108,72,10908,9.167583425009168e-05
memory_samples,25,RawMemoryOutcomeTableFull,H_target_8,0.995,108,72,10908,9.121745507884122e-05
memory_samples,25,StandardizedKNNOutcomeTable,H_target_8,0.995,108,72,10908,9.121745507884122e-05
memory_samples,25,RawMemoryOutcomeTableFull,H_target_9,0.485,108,72,10908,4.446277961129446e-05
memory_samples,25,StandardizedKNNOutcomeTable,H_target_9,0.485,108,72,10908,4.446277961129446e-05
memory_samples,25,RawMemoryOutcomeTableFull,H_target_10,0.995,108,72,10908,9.121745507884122e-05
memory_samples,25,StandardizedKNNOutcomeTable,H_target_10,0.995,108,72,10908,9.121745507884122e-05
memory_samples,25,RawMemoryOutcomeTableFull,H_piecewise_15,0.48,108,72,10908,4.4004400440044006e-05
memory_samples,25,StandardizedKNNOutcomeTable,H_piecewise_15,0.48,108,72,10908,4.4004400440044006e-05
memory_samples,25,RawMemoryOutcomeTableFull,H_piecewise_18,0.48,108,72,10908,4.4004400440044006e-05
memory_samples,25,StandardizedKNNOutcomeTable,H_piecewise_18,0.48,108,72,10908,4.4004400440044006e-05
memory_samples,25,RawMemoryOutcomeTableFull,H_multiobj_24,1.0,108,72,10908,9.167583425009168e-05
memory_samples,25,StandardizedKNNOutcomeTable,H_multiobj_24,1.0,108,72,10908,9.167583425009168e-05
memory_samples,50,RawMemoryOutcomeTableFull,H_linear_0,0.995,108,72,10908,9.121745507884122e-05
memory_samples,50,StandardizedKNNOutcomeTable,H_linear_0,0.995,108,72,10908,9.121745507884122e-05
memory_samples,50,RawMemoryOutcomeTableFull,H_linear_1,1.0,108,72,10908,9.167583425009168e-05
memory_samples,50,StandardizedKNNOutcomeTable,H_linear_1,1.0,108,72,10908,9.167583425009168e-05
memory_samples,50,RawMemoryOutcomeTableFull,H_linear_2,1.0,108,72,10908,9.167583425009168e-05
memory_samples,50,StandardizedKNNOutcomeTable,H_linear_2,1.0,108,72,10908,9.167583425009168e-05
memory_samples,50,RawMemoryOutcomeTableFull,H_linear_3,1.0,108,72,10908,9.167583425009168e-05
memory_samples,50,StandardizedKNNOutcomeTable,H_linear_3,1.0,108,72,10908,9.167583425009168e-05
memory_samples,50,RawMemoryOutcomeTableFull,H_linear_4,1.0,108,72,10908,9.167583425009168e-05
memory_samples,50,StandardizedKNNOutcomeTable,H_linear_4,1.0,108,72,10908,9.167583425009168e-05
memory_samples,50,RawMemoryOutcomeTableFull,H_linear_5,0.985,108,72,10908,9.030069673634029e-05
memory_samples,50,StandardizedKNNOutcomeTable,H_linear_5,0.985,108,72,10908,9.030069673634029e-05
memory_samples,50,RawMemoryOutcomeTableFull,H_target_6,0.995,108,72,10908,9.121745507884122e-05
memory_samples,50,StandardizedKNNOutcomeTable,H_target_6,0.995,108,72,10908,9.121745507884122e-05
memory_samples,50,RawMemoryOutcomeTableFull,H_target_7,1.0,108,72,10908,9.167583425009168e-05
memory_samples,50,StandardizedKNNOutcomeTable,H_target_7,1.0,108,72,10908,9.167583425009168e-05
memory_samples,50,RawMemoryOutcomeTableFull,H_target_8,0.995,108,72,10908,9.121745507884122e-05
memory_samples,50,StandardizedKNNOutcomeTable,H_target_8,0.995,108,72,10908,9.121745507884122e-05
memory_samples,50,RawMemoryOutcomeTableFull,H_target_9,0.485,108,72,10908,4.446277961129446e-05
memory_samples,50,StandardizedKNNOutcomeTable,H_target_9,0.485,108,72,10908,4.446277961129446e-05
memory_samples,50,RawMemoryOutcomeTableFull,H_target_10,0.995,108,72,10908,9.121745507884122e-05
memory_samples,50,StandardizedKNNOutcomeTable,H_target_10,0.995,108,72,10908,9.121745507884122e-05
memory_samples,50,RawMemoryOutcomeTableFull,H_piecewise_15,0.48,108,72,10908,4.4004400440044006e-05
memory_samples,50,StandardizedKNNOutcomeTable,H_piecewise_15,0.48,108,72,10908,4.4004400440044006e-05
memory_samples,50,RawMemoryOutcomeTableFull,H_piecewise_18,0.48,108,72,10908,4.4004400440044006e-05
memory_samples,50,StandardizedKNNOutcomeTable,H_piecewise_18,0.48,108,72,10908,4.4004400440044006e-05
memory_samples,50,RawMemoryOutcomeTableFull,H_multiobj_24,1.0,108,72,10908,9.167583425009168e-05
memory_samples,50,StandardizedKNNOutcomeTable,H_multiobj_24,1.0,108,72,10908,9.167583425009168e-05
memory_samples,100,RawMemoryOutcomeTableFull,H_linear_0,0.995,108,72,10908,9.121745507884122e-05
memory_samples,100,StandardizedKNNOutcomeTable,H_linear_0,0.995,108,72,10908,9.121745507884122e-05
memory_samples,100,RawMemoryOutcomeTableFull,H_linear_1,1.0,108,72,10908,9.167583425009168e-05
memory_samples,100,StandardizedKNNOutcomeTable,H_linear_1,1.0,108,72,10908,9.167583425009168e-05
memory_samples,100,RawMemoryOutcomeTableFull,H_linear_2,1.0,108,72,10908,9.167583425009168e-05
memory_samples,100,StandardizedKNNOutcomeTable,H_linear_2,1.0,108,72,10908,9.167583425009168e-05
memory_samples,100,RawMemoryOutcomeTableFull,H_linear_3,1.0,108,72,10908,9.167583425009168e-05
memory_samples,100,StandardizedKNNOutcomeTable,H_linear_3,1.0,108,72,10908,9.167583425009168e-05
memory_samples,100,RawMemoryOutcomeTableFull,H_linear_4,1.0,108,72,10908,9.167583425009168e-05
memory_samples,100,StandardizedKNNOutcomeTable,H_linear_4,1.0,108,72,10908,9.167583425009168e-05
memory_samples,100,RawMemoryOutcomeTableFull,H_linear_5,0.985,108,72,10908,9.030069673634029e-05
memory_samples,100,StandardizedKNNOutcomeTable,H_linear_5,0.985,108,72,10908,9.030069673634029e-05
memory_samples,100,RawMemoryOutcomeTableFull,H_target_6,0.995,108,72,10908,9.121745507884122e-05
memory_samples,100,StandardizedKNNOutcomeTable,H_target_6,0.995,108,72,10908,9.121745507884122e-05
memory_samples,100,RawMemoryOutcomeTableFull,H_target_7,1.0,108,72,10908,9.167583425009168e-05
memory_samples,100,StandardizedKNNOutcomeTable,H_target_7,1.0,108,72,10908,9.167583425009168e-05
memory_samples,100,RawMemoryOutcomeTableFull,H_target_8,0.995,108,72,10908,9.121745507884122e-05
memory_samples,100,StandardizedKNNOutcomeTable,H_target_8,0.995,108,72,10908,9.121745507884122e-05
memory_samples,100,RawMemoryOutcomeTableFull,H_target_9,0.485,108,72,10908,4.446277961129446e-05
memory_samples,100,StandardizedKNNOutcomeTable,H_target_9,0.485,108,72,10908,4.446277961129446e-05
memory_samples,100,RawMemoryOutcomeTableFull,H_target_10,0.995,108,72,10908,9.121745507884122e-05
memory_samples,100,StandardizedKNNOutcomeTable,H_target_10,0.995,108,72,10908,9.121745507884122e-05
memory_samples,100,RawMemoryOutcomeTableFull,H_piecewise_15,0.48,108,72,10908,4.4004400440044006e-05
memory_samples,100,StandardizedKNNOutcomeTable,H_piecewise_15,0.48,108,72,10908,4.4004400440044006e-05
memory_samples,100,RawMemoryOutcomeTableFull,H_piecewise_18,0.48,108,72,10908,4.4004400440044006e-05
memory_samples,100,StandardizedKNNOutcomeTable,H_piecewise_18,0.48,108,72,10908,4.4004400440044006e-05
memory_samples,100,RawMemoryOutcomeTableFull,H_multiobj_24,1.0,108,72,10908,9.167583425009168e-05
memory_samples,100,StandardizedKNNOutcomeTable,H_multiobj_24,1.0,108,72,10908,9.167583425009168e-05
memory_samples,250,RawMemoryOutcomeTableFull,H_linear_0,0.995,216,144,11016,9.032316630355846e-05
memory_samples,250,StandardizedKNNOutcomeTable,H_linear_0,0.995,216,144,11016,9.032316630355846e-05
memory_samples,250,RawMemoryOutcomeTableFull,H_linear_1,1.0,216,144,11016,9.077705156136529e-05
memory_samples,250,StandardizedKNNOutcomeTable,H_linear_1,1.0,216,144,11016,9.077705156136529e-05
memory_samples,250,RawMemoryOutcomeTableFull,H_linear_2,1.0,216,144,11016,9.077705156136529e-05
memory_samples,250,StandardizedKNNOutcomeTable,H_linear_2,1.0,216,144,11016,9.077705156136529e-05
memory_samples,250,RawMemoryOutcomeTableFull,H_linear_3,1.0,216,144,11016,9.077705156136529e-05
memory_samples,250,StandardizedKNNOutcomeTable,H_linear_3,1.0,216,144,11016,9.077705156136529e-05
memory_samples,250,RawMemoryOutcomeTableFull,H_linear_4,1.0,216,144,11016,9.077705156136529e-05
memory_samples,250,StandardizedKNNOutcomeTable,H_linear_4,1.0,216,144,11016,9.077705156136529e-05
memory_samples,250,RawMemoryOutcomeTableFull,H_linear_5,0.985,216,144,11016,8.94153957879448e-05
memory_samples,250,StandardizedKNNOutcomeTable,H_linear_5,0.985,216,144,11016,8.94153957879448e-05
memory_samples,250,RawMemoryOutcomeTableFull,H_target_6,0.995,216,144,11016,9.032316630355846e-05
memory_samples,250,StandardizedKNNOutcomeTable,H_target_6,0.995,216,144,11016,9.032316630355846e-05
memory_samples,250,RawMemoryOutcomeTableFull,H_target_7,1.0,216,144,11016,9.077705156136529e-05
memory_samples,250,StandardizedKNNOutcomeTable,H_target_7,1.0,216,144,11016,9.077705156136529e-05
memory_samples,250,RawMemoryOutcomeTableFull,H_target_8,0.995,216,144,11016,9.032316630355846e-05
memory_samples,250,StandardizedKNNOutcomeTable,H_target_8,0.995,216,144,11016,9.032316630355846e-05
memory_samples,250,RawMemoryOutcomeTableFull,H_target_9,0.485,216,144,11016,4.4026870007262164e-05
memory_samples,250,StandardizedKNNOutcomeTable,H_target_9,0.485,216,144,11016,4.4026870007262164e-05
memory_samples,250,RawMemoryOutcomeTableFull,H_target_10,0.995,216,144,11016,9.032316630355846e-05
memory_samples,250,StandardizedKNNOutcomeTable,H_target_10,0.995,216,144,11016,9.032316630355846e-05
memory_samples,250,RawMemoryOutcomeTableFull,H_piecewise_15,0.48,216,144,11016,4.3572984749455335e-05
memory_samples,250,StandardizedKNNOutcomeTable,H_piecewise_15,0.48,216,144,11016,4.3572984749455335e-05
memory_samples,250,RawMemoryOutcomeTableFull,H_piecewise_18,0.48,216,144,11016,4.3572984749455335e-05
memory_samples,250,StandardizedKNNOutcomeTable,H_piecewise_18,0.48,216,144,11016,4.3572984749455335e-05
memory_samples,250,RawMemoryOutcomeTableFull,H_multiobj_24,1.0,216,144,11016,9.077705156136529e-05
memory_samples,250,StandardizedKNNOutcomeTable,H_multiobj_24,1.0,216,144,11016,9.077705156136529e-05
memory_samples,500,RawMemoryOutcomeTableFull,H_linear_0,0.995,432,288,11232,8.858618233618233e-05
memory_samples,500,StandardizedKNNOutcomeTable,H_linear_0,0.995,432,288,11232,8.858618233618233e-05
memory_samples,500,RawMemoryOutcomeTableFull,H_linear_1,1.0,432,288,11232,8.903133903133904e-05
memory_samples,500,StandardizedKNNOutcomeTable,H_linear_1,1.0,432,288,11232,8.903133903133904e-05
memory_samples,500,RawMemoryOutcomeTableFull,H_linear_2,1.0,432,288,11232,8.903133903133904e-05
memory_samples,500,StandardizedKNNOutcomeTable,H_linear_2,1.0,432,288,11232,8.903133903133904e-05
memory_samples,500,RawMemoryOutcomeTableFull,H_linear_3,1.0,432,288,11232,8.903133903133904e-05
memory_samples,500,StandardizedKNNOutcomeTable,H_linear_3,1.0,432,288,11232,8.903133903133904e-05
memory_samples,500,RawMemoryOutcomeTableFull,H_linear_4,1.0,432,288,11232,8.903133903133904e-05
memory_samples,500,StandardizedKNNOutcomeTable,H_linear_4,1.0,432,288,11232,8.903133903133904e-05
memory_samples,500,RawMemoryOutcomeTableFull,H_linear_5,0.985,432,288,11232,8.769586894586895e-05
memory_samples,500,StandardizedKNNOutcomeTable,H_linear_5,0.985,432,288,11232,8.769586894586895e-05
memory_samples,500,RawMemoryOutcomeTableFull,H_target_6,0.995,432,288,11232,8.858618233618233e-05
memory_samples,500,StandardizedKNNOutcomeTable,H_target_6,0.995,432,288,11232,8.858618233618233e-05
memory_samples,500,RawMemoryOutcomeTableFull,H_target_7,1.0,432,288,11232,8.903133903133904e-05
memory_samples,500,StandardizedKNNOutcomeTable,H_target_7,1.0,432,288,11232,8.903133903133904e-05
memory_samples,500,RawMemoryOutcomeTableFull,H_target_8,0.995,432,288,11232,8.858618233618233e-05
memory_samples,500,StandardizedKNNOutcomeTable,H_target_8,0.995,432,288,11232,8.858618233618233e-05
memory_samples,500,RawMemoryOutcomeTableFull,H_target_9,0.485,432,288,11232,4.318019943019943e-05
memory_samples,500,StandardizedKNNOutcomeTable,H_target_9,0.485,432,288,11232,4.318019943019943e-05
memory_samples,500,RawMemoryOutcomeTableFull,H_target_10,0.995,432,288,11232,8.858618233618233e-05
memory_samples,500,StandardizedKNNOutcomeTable,H_target_10,0.995,432,288,11232,8.858618233618233e-05
memory_samples,500,RawMemoryOutcomeTableFull,H_piecewise_15,0.48,432,288,11232,4.2735042735042735e-05
memory_samples,500,StandardizedKNNOutcomeTable,H_piecewise_15,0.48,432,288,11232,4.2735042735042735e-05
memory_samples,500,RawMemoryOutcomeTableFull,H_piecewise_18,0.48,432,288,11232,4.2735042735042735e-05
memory_samples,500,StandardizedKNNOutcomeTable,H_piecewise_18,0.48,432,288,11232,4.2735042735042735e-05
memory_samples,500,RawMemoryOutcomeTableFull,H_multiobj_24,1.0,432,288,11232,8.903133903133904e-05
memory_samples,500,StandardizedKNNOutcomeTable,H_multiobj_24,1.0,432,288,11232,8.903133903133904e-05
memory_samples,1000,RawMemoryOutcomeTableFull,H_linear_0,0.995,972,648,11772,8.45225959904859e-05
memory_samples,1000,StandardizedKNNOutcomeTable,H_linear_0,0.995,972,648,11772,8.45225959904859e-05
memory_samples,1000,RawMemoryOutcomeTableFull,H_linear_1,1.0,972,648,11772,8.494733265375468e-05
memory_samples,1000,StandardizedKNNOutcomeTable,H_linear_1,1.0,972,648,11772,8.494733265375468e-05
memory_samples,1000,RawMemoryOutcomeTableFull,H_linear_2,1.0,972,648,11772,8.494733265375468e-05
memory_samples,1000,StandardizedKNNOutcomeTable,H_linear_2,1.0,972,648,11772,8.494733265375468e-05
