coverage,n_train,state_spread,utility,utility_type,mechanism,match,total_capital_cost,performance_per_byte
dense,3000,1.0,H_linear_0,linear,AEPCompressor,0.9871428571428571,77332,1.2764998411302657e-05
dense,3000,1.0,H_linear_0,linear,ResidualCompressor,0.99,59720,1.6577361018084392e-05
dense,3000,1.0,H_linear_0,linear,RawMemoryOutcomeTableFull,0.9785714285714285,30168,3.2437398189188166e-05
dense,3000,1.0,H_linear_0,linear,PrototypeOutcomeTable,0.9785714285714285,30600,3.1979458450046683e-05
dense,3000,1.0,H_linear_1,linear,AEPCompressor,0.9871428571428571,77332,1.2764998411302657e-05
dense,3000,1.0,H_linear_1,linear,ResidualCompressor,0.9857142857142858,59720,1.650559755047364e-05
dense,3000,1.0,H_linear_1,linear,RawMemoryOutcomeTableFull,0.98,30168,3.248475205515778e-05
dense,3000,1.0,H_linear_1,linear,PrototypeOutcomeTable,0.98,30600,3.202614379084967e-05
dense,3000,1.0,H_linear_2,linear,AEPCompressor,0.99,77332,1.2801944861118294e-05
dense,3000,1.0,H_linear_2,linear,ResidualCompressor,0.9914285714285714,59720,1.6601282173954645e-05
dense,3000,1.0,H_linear_2,linear,RawMemoryOutcomeTableFull,0.9842857142857143,30168,3.262681365306664e-05
dense,3000,1.0,H_linear_2,linear,PrototypeOutcomeTable,0.9842857142857143,30600,3.216619981325864e-05
dense,3000,1.0,H_linear_3,linear,AEPCompressor,0.9871428571428571,77332,1.2764998411302657e-05
dense,3000,1.0,H_linear_3,linear,ResidualCompressor,0.9814285714285714,59720,1.6433834082862883e-05
dense,3000,1.0,H_linear_3,linear,RawMemoryOutcomeTableFull,0.9757142857142858,30168,3.2342690457248934e-05
dense,3000,1.0,H_linear_3,linear,PrototypeOutcomeTable,0.9757142857142858,30600,3.188608776844071e-05
dense,3000,1.0,H_linear_4,linear,AEPCompressor,0.9928571428571429,77332,1.2838891310933933e-05
dense,3000,1.0,H_linear_4,linear,ResidualCompressor,0.9928571428571429,59720,1.66252033298249e-05
dense,3000,1.0,H_linear_4,linear,RawMemoryOutcomeTableFull,0.9842857142857143,30168,3.262681365306664e-05
dense,3000,1.0,H_linear_4,linear,PrototypeOutcomeTable,0.9842857142857143,30600,3.216619981325864e-05
dense,3000,1.0,H_linear_5,linear,AEPCompressor,0.9485714285714286,77332,1.2266221338791556e-05
dense,3000,1.0,H_linear_5,linear,ResidualCompressor,0.9471428571428572,59720,1.5859726341976845e-05
dense,3000,1.0,H_linear_5,linear,RawMemoryOutcomeTableFull,0.93,30168,3.082736674622116e-05
dense,3000,1.0,H_linear_5,linear,PrototypeOutcomeTable,0.9328571428571428,30600,3.0485527544351072e-05
dense,3000,1.0,H_target_6,target,AEPCompressor,0.9971428571428571,77332,1.2894310985657387e-05
dense,3000,1.0,H_target_6,target,ResidualCompressor,0.9942857142857143,59720,1.6649124485695148e-05
dense,3000,1.0,H_target_6,target,RawMemoryOutcomeTableFull,0.9942857142857143,30168,3.295829071485396e-05
dense,3000,1.0,H_target_6,target,PrototypeOutcomeTable,0.9942857142857143,30600,3.2492997198879555e-05
dense,3000,1.0,H_target_7,target,AEPCompressor,0.9957142857142857,77332,1.287583776074957e-05
dense,3000,1.0,H_target_7,target,ResidualCompressor,0.9928571428571429,59720,1.66252033298249e-05
dense,3000,1.0,H_target_7,target,RawMemoryOutcomeTableFull,0.9928571428571429,30168,3.2910936848884347e-05
dense,3000,1.0,H_target_7,target,PrototypeOutcomeTable,0.9928571428571429,30600,3.244631185807657e-05
dense,3000,1.0,H_target_8,target,AEPCompressor,0.9714285714285714,77332,1.2561792937316653e-05
dense,3000,1.0,H_target_8,target,ResidualCompressor,0.9771428571428571,59720,1.6362070615252127e-05
dense,3000,1.0,H_target_8,target,RawMemoryOutcomeTableFull,0.9514285714285714,30168,3.153767473576543e-05
dense,3000,1.0,H_target_8,target,PrototypeOutcomeTable,0.9514285714285714,30600,3.1092436974789916e-05
dense,3000,1.0,H_target_9,target,AEPCompressor,0.7271428571428571,77332,9.402871478079671e-06
dense,3000,1.0,H_target_9,target,ResidualCompressor,0.71,59720,1.188881446751507e-05
dense,3000,1.0,H_target_9,target,RawMemoryOutcomeTableFull,0.48428571428571426,30168,1.605296056370042e-05
dense,3000,1.0,H_target_9,target,PrototypeOutcomeTable,0.48142857142857143,30600,1.573295985060691e-05
dense,3000,1.0,H_target_10,target,AEPCompressor,0.9928571428571429,77332,1.2838891310933933e-05
dense,3000,1.0,H_target_10,target,ResidualCompressor,0.9957142857142857,59720,1.6673045641565398e-05
dense,3000,1.0,H_target_10,target,RawMemoryOutcomeTableFull,0.9928571428571429,30168,3.2910936848884347e-05
dense,3000,1.0,H_target_10,target,PrototypeOutcomeTable,0.9928571428571429,30600,3.244631185807657e-05
dense,3000,1.0,H_piecewise_15,piecewise,AEPCompressor,0.78,77332,1.008638079966896e-05
dense,3000,1.0,H_piecewise_15,piecewise,ResidualCompressor,0.7842857142857143,59720,1.3132714572768155e-05
dense,3000,1.0,H_piecewise_15,piecewise,RawMemoryOutcomeTableFull,0.5257142857142857,30168,1.7426222676819335e-05
dense,3000,1.0,H_piecewise_15,piecewise,PrototypeOutcomeTable,0.5414285714285715,30600,1.76937441643324e-05
dense,3000,1.0,H_piecewise_18,piecewise,AEPCompressor,0.7742857142857142,77332,1.0012487900037685e-05
dense,3000,1.0,H_piecewise_18,piecewise,ResidualCompressor,0.7842857142857143,59720,1.3132714572768155e-05
dense,3000,1.0,H_piecewise_18,piecewise,RawMemoryOutcomeTableFull,0.5257142857142857,30168,1.7426222676819335e-05
dense,3000,1.0,H_piecewise_18,piecewise,PrototypeOutcomeTable,0.5414285714285715,30600,1.76937441643324e-05
dense,3000,1.0,H_multiobj_24,multiobj,AEPCompressor,1.0,77332,1.2931257435473025e-05
dense,3000,1.0,H_multiobj_24,multiobj,ResidualCompressor,1.0,59720,1.6744809109176154e-05
dense,3000,1.0,H_multiobj_24,multiobj,RawMemoryOutcomeTableFull,1.0,30168,3.314770617873243e-05
dense,3000,1.0,H_multiobj_24,multiobj,PrototypeOutcomeTable,1.0,30600,3.2679738562091506e-05
medium,1000,1.0,H_linear_0,linear,AEPCompressor,0.9966666666666667,62932,1.583719994067671e-05
medium,1000,1.0,H_linear_0,linear,ResidualCompressor,0.9966666666666667,45320,2.199176228302442e-05
medium,1000,1.0,H_linear_0,linear,RawMemoryOutcomeTableFull,0.9966666666666667,15768,6.320818535430407e-05
medium,1000,1.0,H_linear_0,linear,PrototypeOutcomeTable,0.9966666666666667,16200,6.152263374485598e-05
medium,1000,1.0,H_linear_1,linear,AEPCompressor,0.9966666666666667,62932,1.583719994067671e-05
medium,1000,1.0,H_linear_1,linear,ResidualCompressor,0.9966666666666667,45320,2.199176228302442e-05
