step,strategy,best_action_match,memory_size
1,NoMemory,0.46,3
1,Episodic-kNN,0.175,200
1,CrossSeedConsolidated,0.095,20
1,PerSeedConsolidated,0.095,8
2,NoMemory,0.445,3
2,Episodic-kNN,0.145,200
2,CrossSeedConsolidated,0.095,20
2,PerSeedConsolidated,0.095,16
3,NoMemory,0.445,3
3,Episodic-kNN,0.145,200
3,CrossSeedConsolidated,0.095,20
3,PerSeedConsolidated,0.095,24
4,NoMemory,0.445,3
4,Episodic-kNN,0.15,200
4,CrossSeedConsolidated,0.095,20
4,PerSeedConsolidated,0.095,32
5,NoMemory,0.445,3
5,Episodic-kNN,0.195,200
5,CrossSeedConsolidated,0.115,20
5,PerSeedConsolidated,0.095,40
