utility,utility_type,utility_complexity,mechanism,match,majority_baseline,transfer_premium,regret,total_capital_cost,performance_per_byte
U_simple_linear,simple_linear,1,AEPCompressor,0.995,0.995,0.0,0.0050000000000000044,62932,1.581071632873578e-05
U_simple_linear,simple_linear,1,ResidualCompressor,1.0,0.995,0.0050000000000000044,0.0,45320,2.206531332744925e-05
U_simple_linear,simple_linear,1,MultiGoalPolicyClone,0.035,0.995,0.0,0.965,38220,9.157509157509158e-07
U_simple_linear,simple_linear,1,RawMemoryOutcomeTableFull,0.995,0.995,0.0,0.0050000000000000044,15768,6.310248604769152e-05
U_simple_linear,simple_linear,1,PrototypeOutcomeTable,0.995,0.995,0.0,0.0050000000000000044,16200,6.141975308641975e-05
U_target,target,2,AEPCompressor,0.995,0.995,0.0,0.0050000000000000044,62932,1.581071632873578e-05
U_target,target,2,ResidualCompressor,1.0,0.995,0.0050000000000000044,0.0,45320,2.206531332744925e-05
U_target,target,2,MultiGoalPolicyClone,0.06,0.995,0.0,0.94,38220,1.5698587127158554e-06
U_target,target,2,RawMemoryOutcomeTableFull,0.995,0.995,0.0,0.0050000000000000044,15768,6.310248604769152e-05
U_target,target,2,PrototypeOutcomeTable,0.995,0.995,0.0,0.0050000000000000044,16200,6.141975308641975e-05
U_energy_aware,energy_aware,3,AEPCompressor,1.0,1.0,0.0,0.0,62932,1.589016716455857e-05
U_energy_aware,energy_aware,3,ResidualCompressor,1.0,1.0,0.0,0.0,45320,2.206531332744925e-05
U_energy_aware,energy_aware,3,MultiGoalPolicyClone,1.0,1.0,0.0,0.0,38220,2.6164311878597592e-05
U_energy_aware,energy_aware,3,RawMemoryOutcomeTableFull,1.0,1.0,0.0,0.0,15768,6.341958396752917e-05
U_energy_aware,energy_aware,3,PrototypeOutcomeTable,1.0,1.0,0.0,0.0,16200,6.17283950617284e-05
U_risk_threshold,risk_threshold,3,AEPCompressor,0.595,0.46,0.13499999999999995,0.405,62932,9.454649462912349e-06
U_risk_threshold,risk_threshold,3,ResidualCompressor,0.555,0.46,0.09500000000000003,0.44499999999999995,45320,1.2246248896734334e-05
U_risk_threshold,risk_threshold,3,MultiGoalPolicyClone,0.72,0.46,0.25999999999999995,0.28,38220,1.8838304552590268e-05
U_risk_threshold,risk_threshold,3,RawMemoryOutcomeTableFull,0.155,0.46,0.0,0.845,15768,9.830035514967023e-06
U_risk_threshold,risk_threshold,3,PrototypeOutcomeTable,0.095,0.46,0.0,0.905,16200,5.864197530864198e-06
U_piecewise_regional,piecewise_regional,4,AEPCompressor,0.795,0.52,0.275,0.20499999999999996,62932,1.2632682895824065e-05
U_piecewise_regional,piecewise_regional,4,ResidualCompressor,0.79,0.52,0.27,0.20999999999999996,45320,1.7431597528684907e-05
U_piecewise_regional,piecewise_regional,4,MultiGoalPolicyClone,0.07,0.52,0.0,0.9299999999999999,38220,1.8315018315018316e-06
U_piecewise_regional,piecewise_regional,4,RawMemoryOutcomeTableFull,0.6,0.52,0.07999999999999996,0.4,15768,3.80517503805175e-05
U_piecewise_regional,piecewise_regional,4,PrototypeOutcomeTable,0.565,0.52,0.04499999999999993,0.43500000000000005,16200,3.487654320987654e-05
U_nonlinear_interaction,nonlinear_interaction,5,AEPCompressor,0.595,0.46,0.13499999999999995,0.405,62932,9.454649462912349e-06
U_nonlinear_interaction,nonlinear_interaction,5,ResidualCompressor,0.555,0.46,0.09500000000000003,0.44499999999999995,45320,1.2246248896734334e-05
U_nonlinear_interaction,nonlinear_interaction,5,MultiGoalPolicyClone,0.72,0.46,0.25999999999999995,0.28,38220,1.8838304552590268e-05
U_nonlinear_interaction,nonlinear_interaction,5,RawMemoryOutcomeTableFull,0.155,0.46,0.0,0.845,15768,9.830035514967023e-06
U_nonlinear_interaction,nonlinear_interaction,5,PrototypeOutcomeTable,0.095,0.46,0.0,0.905,16200,5.864197530864198e-06
U_compositional_multiobj,compositional_multiobj,7,AEPCompressor,1.0,1.0,0.0,0.0,62932,1.589016716455857e-05
U_compositional_multiobj,compositional_multiobj,7,ResidualCompressor,1.0,1.0,0.0,0.0,45320,2.206531332744925e-05
U_compositional_multiobj,compositional_multiobj,7,MultiGoalPolicyClone,1.0,1.0,0.0,0.0,38220,2.6164311878597592e-05
U_compositional_multiobj,compositional_multiobj,7,RawMemoryOutcomeTableFull,1.0,1.0,0.0,0.0,15768,6.341958396752917e-05
U_compositional_multiobj,compositional_multiobj,7,PrototypeOutcomeTable,1.0,1.0,0.0,0.0,16200,6.17283950617284e-05
U_adversarial,adversarial,8,AEPCompressor,0.99,0.99,0.0,0.010000000000000009,62932,1.5731265492912986e-05
U_adversarial,adversarial,8,ResidualCompressor,0.99,0.99,0.0,0.010000000000000009,45320,2.1844660194174756e-05
U_adversarial,adversarial,8,MultiGoalPolicyClone,0.155,0.99,0.0,0.845,38220,4.055468341182627e-06
U_adversarial,adversarial,8,RawMemoryOutcomeTableFull,0.99,0.99,0.0,0.010000000000000009,15768,6.278538812785387e-05
U_adversarial,adversarial,8,PrototypeOutcomeTable,0.99,0.99,0.0,0.010000000000000009,16200,6.111111111111111e-05
