regime,mechanism,total_capital_cost,heldout_match,on_absolute_pareto_frontier
state_dim_2,AEPCompressor,73732.0,0.9501190476190475,True
state_dim_2,ResidualCompressor,56120.0,0.943690476190476,True
state_dim_2,CounterfactualCompressor,59820.0,0.39440476190476187,False
state_dim_2,PolicyClone,38220.0,0.3167857142857143,False
state_dim_2,RawMemoryOutcomeTableFull,26568.0,0.881190476190476,False
state_dim_2,StandardizedKNNOutcomeTable,4968.0,0.881190476190476,True
state_dim_2,PrototypeOutcomeTable,27000.0,0.8776190476190475,False
state_dim_4,AEPCompressor,79876.0,0.9151851851851851,True
state_dim_4,ResidualCompressor,62264.0,0.900925925925926,True
state_dim_4,CounterfactualCompressor,65964.0,0.43462962962962964,False
state_dim_4,PolicyClone,44364.0,0.4185185185185185,False
state_dim_4,RawMemoryOutcomeTableFull,26588.0,0.8335185185185185,False
state_dim_4,StandardizedKNNOutcomeTable,4988.0,0.8335185185185185,True
state_dim_4,PrototypeOutcomeTable,30200.0,0.8368518518518518,True
state_dim_8,AEPCompressor,92164.0,0.917962962962963,True
state_dim_8,ResidualCompressor,74552.0,0.9149999999999999,True
state_dim_8,CounterfactualCompressor,78252.0,0.38666666666666666,False
state_dim_8,PolicyClone,56652.0,0.45370370370370366,False
state_dim_8,RawMemoryOutcomeTableFull,26400.0,0.8468518518518517,False
state_dim_8,StandardizedKNNOutcomeTable,4800.0,0.8468518518518517,True
state_dim_8,PrototypeOutcomeTable,36600.0,0.8701851851851852,True
state_dim_16,AEPCompressor,116740.0,0.8370833333333332,True
state_dim_16,ResidualCompressor,99128.0,0.77875,True
state_dim_16,CounterfactualCompressor,102828.0,0.45833333333333337,False
state_dim_16,PolicyClone,81228.0,0.44604166666666667,False
state_dim_16,RawMemoryOutcomeTableFull,26048.0,0.7497916666666666,False
state_dim_16,StandardizedKNNOutcomeTable,4448.0,0.7497916666666666,True
state_dim_16,PrototypeOutcomeTable,49400.0,0.7439583333333333,False
state_dim_32,AEPCompressor,165892.0,0.8405555555555555,False
state_dim_32,ResidualCompressor,148280.0,0.8405555555555555,True
state_dim_32,CounterfactualCompressor,151980.0,0.43194444444444446,False
state_dim_32,PolicyClone,130380.0,0.5786111111111111,False
state_dim_32,RawMemoryOutcomeTableFull,25872.0,0.8261111111111111,False
state_dim_32,StandardizedKNNOutcomeTable,4272.0,0.8261111111111111,True
state_dim_32,PrototypeOutcomeTable,75000.0,0.8394444444444445,True
coverage_dense,AEPCompressor,77332.0,0.9379591836734693,True
coverage_dense,ResidualCompressor,59720.0,0.9376530612244898,True
coverage_dense,RawMemoryOutcomeTableFull,30168.0,0.8785714285714284,True
coverage_dense,PrototypeOutcomeTable,30600.0,0.8808163265306123,True
coverage_medium,AEPCompressor,62932.0,0.9326190476190476,True
coverage_medium,ResidualCompressor,45320.0,0.932142857142857,True
coverage_medium,RawMemoryOutcomeTableFull,15768.0,0.8742857142857143,True
coverage_medium,PrototypeOutcomeTable,16200.0,0.8823809523809524,True
coverage_sparse,AEPCompressor,57892.0,0.9133928571428571,False
coverage_sparse,ResidualCompressor,40280.0,0.9232142857142858,True
coverage_sparse,RawMemoryOutcomeTableFull,10728.0,0.9000000000000001,True
coverage_sparse,PrototypeOutcomeTable,11160.0,0.8848214285714286,False
coverage_extremely_sparse,AEPCompressor,56452.0,0.9178571428571429,True
coverage_extremely_sparse,ResidualCompressor,38840.0,0.8940476190476191,False
coverage_extremely_sparse,RawMemoryOutcomeTableFull,9288.0,0.8958333333333334,True
coverage_extremely_sparse,PrototypeOutcomeTable,9720.0,0.8845238095238096,False
action_effect_simple_sign_flip,AEPCompressor,66532.0,0.9795,False
action_effect_simple_sign_flip,ResidualCompressor,48920.0,0.9826666666666667,True
action_effect_simple_sign_flip,RawMemoryOutcomeTableFull,19368.0,0.8408333333333334,True
action_effect_simple_sign_flip,PrototypeOutcomeTable,19800.0,0.8415,True
action_effect_mode_conditioned_gain,AEPCompressor,66532.0,0.9155000000000001,True
action_effect_mode_conditioned_gain,ResidualCompressor,48920.0,0.9151666666666667,True
action_effect_mode_conditioned_gain,RawMemoryOutcomeTableFull,19368.0,0.8053333333333333,True
action_effect_mode_conditioned_gain,PrototypeOutcomeTable,19800.0,0.8025,False
action_effect_state_dep_nonlinear_gain,AEPCompressor,66532.0,0.9299999999999999,True
action_effect_state_dep_nonlinear_gain,ResidualCompressor,48920.0,0.9221428571428572,True
action_effect_state_dep_nonlinear_gain,RawMemoryOutcomeTableFull,19368.0,0.8723214285714284,True
action_effect_state_dep_nonlinear_gain,PrototypeOutcomeTable,19800.0,0.8682142857142855,False
action_effect_delayed_action_effect,AEPCompressor,66532.0,0.8563888888888889,True
action_effect_delayed_action_effect,ResidualCompressor,48920.0,0.855,True
action_effect_delayed_action_effect,RawMemoryOutcomeTableFull,19368.0,0.8280555555555557,True
action_effect_delayed_action_effect,PrototypeOutcomeTable,19800.0,0.8266666666666667,False
action_effect_action_velocity_interaction,AEPCompressor,66532.0,0.8858333333333336,False
action_effect_action_velocity_interaction,ResidualCompressor,48920.0,0.8915000000000001,True
