regime,AEPCompressor,CounterfactualCompressor,MultiGoalPolicyClone,PolicyClone,PrototypeOutcomeTable,RawMemoryOutcomeTableFull,ResidualCompressor,StandardizedKNNOutcomeTable
16,1.0,6.0,,7.0,5.0,3.0,2.0,4.0
2,1.0,6.0,,7.0,5.0,3.0,2.0,4.0
32,1.0,7.0,,6.0,3.0,4.0,2.0,5.0
4,1.0,6.0,,7.0,3.0,4.0,2.0,5.0
8,1.0,7.0,,6.0,3.0,4.0,2.0,5.0
AEPCompressor,1.0,,,,,,,
PrototypeOutcomeTable,,,,,1.0,,,
RawMemoryOutcomeTableFull,,,,,,1.0,,
ResidualCompressor,,,,,,,1.0,
StandardizedKNNOutcomeTable,,,,,,,,1.0
action_velocity_interaction,2.0,,,,4.0,3.0,1.0,
adversarial,1.0,,5.0,,2.0,3.0,4.0,
compositional_action_factors,1.0,,,,4.0,3.0,2.0,
compositional_multiobj,1.0,,2.0,,3.0,4.0,5.0,
delayed_action_effect,1.0,,,,4.0,3.0,2.0,
dense,1.0,,,,3.0,4.0,2.0,
energy_aware,1.0,,2.0,,3.0,4.0,5.0,
extremely_sparse,1.0,,,,4.0,2.0,3.0,
far_ood_ID,1.0,,,,3.0,4.0,2.0,
far_ood_far_OOD,4.0,,,,1.0,2.0,3.0,
far_ood_near_OOD,2.0,,,,3.0,4.0,1.0,
medium,1.0,,,,3.0,4.0,2.0,
mode_conditioned_gain,1.0,,,,4.0,3.0,2.0,
nonlinear_interaction,2.0,,1.0,,5.0,4.0,3.0,
piecewise_action_map,2.0,,,,3.0,4.0,1.0,
piecewise_regional,1.0,,5.0,,4.0,3.0,2.0,
risk_threshold,2.0,,1.0,,5.0,4.0,3.0,
simple_linear,2.0,,5.0,,3.0,4.0,1.0,
simple_sign_flip,2.0,,,,3.0,4.0,1.0,
sparse,2.0,,,,4.0,3.0,1.0,
state_dep_nonlinear_gain,1.0,,,,4.0,3.0,2.0,
target,2.0,,5.0,,3.0,4.0,1.0,
