regime,AEPCompressor,CounterfactualCompressor,MultiGoalPolicyClone,PolicyClone,PrototypeOutcomeTable,RawMemoryOutcomeTableFull,ResidualCompressor,StandardizedKNNOutcomeTable
16,5.0,7.0,,6.0,3.0,2.0,4.0,1.0
2,5.0,7.0,,6.0,3.0,2.0,4.0,1.0
32,5.0,7.0,,6.0,3.0,2.0,4.0,1.0
4,5.0,7.0,,6.0,3.0,2.0,4.0,1.0
8,5.0,7.0,,6.0,3.0,2.0,4.0,1.0
AEPCompressor,1.0,,,,,,,
PrototypeOutcomeTable,,,,,1.0,,,
RawMemoryOutcomeTableFull,,,,,,1.0,,
ResidualCompressor,,,,,,,1.0,
StandardizedKNNOutcomeTable,,,,,,,,1.0
action_velocity_interaction,4.0,,,,2.0,1.0,3.0,
adversarial,4.0,,5.0,,2.0,1.0,3.0,
compositional_action_factors,4.0,,,,2.0,1.0,3.0,
compositional_multiobj,5.0,,3.0,,2.0,1.0,4.0,
delayed_action_effect,4.0,,,,2.0,1.0,3.0,
dense,4.0,,,,2.0,1.0,3.0,
energy_aware,5.0,,3.0,,2.0,1.0,4.0,
extremely_sparse,4.0,,,,2.0,1.0,3.0,
medium,4.0,,,,2.0,1.0,3.0,
mode_conditioned_gain,4.0,,,,2.0,1.0,3.0,
nonlinear_interaction,4.0,,1.0,,5.0,3.0,2.0,
piecewise_action_map,4.0,,,,2.0,1.0,3.0,
piecewise_regional,4.0,,5.0,,2.0,1.0,3.0,
risk_threshold,4.0,,1.0,,5.0,3.0,2.0,
simple_linear,4.0,,5.0,,2.0,1.0,3.0,
simple_sign_flip,4.0,,,,2.0,1.0,3.0,
sparse,4.0,,,,2.0,1.0,3.0,
state_dep_nonlinear_gain,4.0,,,,2.0,1.0,3.0,
target,4.0,,5.0,,2.0,1.0,3.0,
