step,strategy,best_action_match,centroid_drift,coverage_preservation,routing_disruption,n_centroids
1,Episodic-kNN,0.175,0.0,1.0,0.0,200
1,CrossSeedConsolidated,0.095,0.0,1.0,0.0,20
1,PerSeedConsolidated,0.095,0.0,1.0,0.0,8
2,Episodic-kNN,0.145,2.393,0.8799,0.5,200
2,CrossSeedConsolidated,0.095,1.3897,0.904,0.0,20
2,PerSeedConsolidated,0.095,0.0,1.0,0.0,16
3,Episodic-kNN,0.145,2.386,0.8778,0.52,200
3,CrossSeedConsolidated,0.095,1.2817,0.9179,0.0,20
3,PerSeedConsolidated,0.095,0.0,1.0,0.0,24
4,Episodic-kNN,0.15,2.5752,0.8444,0.52,200
4,CrossSeedConsolidated,0.095,1.092,0.9206,0.0,20
4,PerSeedConsolidated,0.095,0.0,1.0,0.0,32
5,Episodic-kNN,0.195,2.3698,0.8733,0.5,200
5,CrossSeedConsolidated,0.115,1.2804,0.9143,0.04,20
5,PerSeedConsolidated,0.095,0.0,1.0,0.0,40
