step,PolicyClone,PrototypeOutcome,AEP,GoalInference,SafeFallback
0,0.2,0.2,0.2,0.2,0.2
1,0.0846204395266914,0.22718738583283332,0.2503432534728837,0.23689094373933087,0.20095797742826071
2,0.022946112819982236,0.24021563176463812,0.2807285026771842,0.2547494525654987,0.20136030017269682
3,0.006795344390397026,0.27221577311502065,0.33040590034676487,0.2942056543246762,0.09637732782314133
4,0.0020669171448587293,0.28870552551950257,0.3624694353946078,0.31744335291551534,0.029314769025515483
5,0.0006788044358373898,0.22162099599932145,0.41220725809002934,0.35586556221601306,0.009627379258798734
6,0.00023795414549199242,0.14249251177761246,0.4608585776541777,0.3930360892534591,0.003374867169258705
7,8.907746680389629e-05,0.05334167203277916,0.512611762823054,0.43269411562046683,0.0012633720568962234
8,3.097358064416806e-05,0.0185477050446363,0.5460681599498263,0.43491386787859143,0.00043929354630179086
9,1.0383553633654263e-05,0.006217914949024251,0.5713387342918531,0.4222856988560092,0.000147268349479694
10,3.4372688306943564e-06,0.002058317027122431,0.5976268311219607,0.4002626643251633,4.875025692299616e-05
11,1.1330403589482943e-06,0.0006784910864155687,0.6297679964338917,0.36953630970160783,1.6069737725953488e-05
12,3.7296670094895846e-07,0.0002233411900336707,0.6712081749878263,0.3285628211258922,5.289729547080855e-06
13,1.227141470390393e-07,7.348410344390671e-05,0.7254378566501943,0.2744867960962782,1.7404359364673286e-06
14,4.036949744451167e-08,2.4174199941652044e-05,0.7966879971573322,0.2032872157188348,5.725543939705825e-07
15,1.3279764784879693e-08,7.952233973906848e-06,0.8904007237001075,0.10959112244128554,1.8834486827411257e-07
16,4.161367432355704e-09,2.4919242177517467e-06,0.9656558029157699,0.03434164197860854,5.902003639248324e-08
17,1.2178540016807761e-09,7.292794807970697e-07,0.9899489245942732,0.010050327635755378,1.7272636619651133e-08
18,3.4897062267312184e-10,2.0897177671974616e-07,0.9971199092518231,0.00287987647803268,4.949396847280048e-09
19,9.93833300287324e-11,5.951306414661338e-08,0.9991797790680882,0.0008201599099257065,1.4095385352168974e-09
20,2.8253651345864445e-11,1.691894771926397e-08,0.9997668196846481,0.00023316296743324221,4.007172060049219e-10
21,8.028200966239629e-12,4.8074746433591264e-09,0.9999337424246482,6.625264598633359e-05,1.1386274365236848e-10
22,2.2808677103784643e-12,1.3658369700275588e-09,0.9999811757621885,1.8822837344609283e-05,3.234919709956298e-11
23,6.479841772168224e-13,3.880280917689743e-10,0.999994652119369,5.347482764622456e-06,9.190260255254761e-12
24,1.840872530246554e-13,1.1023575578180789e-10,0.999998480708805,1.5191781641400262e-06,2.610881290710004e-12
25,5.229758278137117e-14,3.131701662523032e-11,0.9999995683826245,4.315852645599725e-07,7.417285998338625e-13
26,1.485727330094975e-14,8.896882995846077e-12,0.9999998773813824,1.2260949526168702e-07,2.1071842973950839e-13
27,4.220816719773261e-15,2.5275238425029874e-12,0.9999999651651619,3.483224661219683e-08,5.986319652287943e-14
28,1.1990956946261857e-15,7.180465674835499e-13,0.9999999901037389,9.895524899523822e-09,1.7006590426177532e-14
29,3.406521888465156e-16,2.039905038465283e-13,0.9999999971885621,2.8112286883482334e-09,4.831417775459218e-15
30,9.67761902451012e-17,5.795184782253192e-14,0.9999999992012961,7.986445156489354e-10,1.372561871316999e-15
31,2.7493235883800587e-17,1.6463593142608107e-14,0.9999999997730954,2.2688764664562036e-10,3.899323500713979e-16
