step,allocator,cost_normalized_regret
0,CyberAllocator,0.0001999600079984003
1,CyberAllocator,9.99950002499875e-05
2,CyberAllocator,0.0
3,CyberAllocator,0.0
4,CyberAllocator,0.0
5,CyberAllocator,0.0
6,CyberAllocator,0.0
7,CyberAllocator,0.0
8,CyberAllocator,0.0
9,CyberAllocator,0.0
10,CyberAllocator,0.0
11,CyberAllocator,0.0
12,CyberAllocator,0.0
13,CyberAllocator,0.0
14,CyberAllocator,0.0
15,CyberAllocator,0.0007999600019999
16,CyberAllocator,0.0
17,CyberAllocator,0.0
18,CyberAllocator,0.0
19,CyberAllocator,0.0
20,CyberAllocator,0.0010499475026248687
21,CyberAllocator,0.0
22,CyberAllocator,0.0
23,CyberAllocator,0.0
24,CyberAllocator,0.0
25,CyberAllocator,0.0
26,CyberAllocator,0.0
27,CyberAllocator,0.0
28,CyberAllocator,0.0
29,CyberAllocator,0.0014999250037498124
30,CyberAllocator,0.0
31,CyberAllocator,0.0
32,CyberAllocator,0.0
33,CyberAllocator,0.0
34,CyberAllocator,0.0
35,CyberAllocator,0.0
36,CyberAllocator,0.0
37,CyberAllocator,0.0
38,CyberAllocator,0.0
39,CyberAllocator,0.0
40,CyberAllocator,0.0
41,CyberAllocator,0.0
42,CyberAllocator,0.0
43,CyberAllocator,0.0
44,CyberAllocator,0.0
45,CyberAllocator,0.0
46,CyberAllocator,0.0
47,CyberAllocator,0.0
48,CyberAllocator,0.0
49,CyberAllocator,0.0
50,CyberAllocator,0.0
51,CyberAllocator,0.0
52,CyberAllocator,0.0
53,CyberAllocator,0.0
54,CyberAllocator,0.0
55,CyberAllocator,0.00279986000699965
56,CyberAllocator,0.0
57,CyberAllocator,0.0
58,CyberAllocator,0.0
59,CyberAllocator,0.0029998500074996247
60,CyberAllocator,0.0
61,CyberAllocator,0.0
62,CyberAllocator,0.0
63,CyberAllocator,0.0031998400079996
64,CyberAllocator,0.003249837508124594
65,CyberAllocator,0.0
66,CyberAllocator,0.0033498325083745812
67,CyberAllocator,0.0
68,CyberAllocator,0.0034498275086245686
69,CyberAllocator,0.0
70,CyberAllocator,0.0
71,CyberAllocator,0.0
72,CyberAllocator,0.0
73,CyberAllocator,0.0036998150092495373
74,CyberAllocator,0.0
75,CyberAllocator,0.0
76,CyberAllocator,0.0
77,CyberAllocator,0.0
78,CyberAllocator,0.0
79,CyberAllocator,0.0
80,CyberAllocator,0.0
81,CyberAllocator,0.0
82,CyberAllocator,0.0
83,CyberAllocator,0.0
84,CyberAllocator,0.0
85,CyberAllocator,0.0
86,CyberAllocator,0.0
87,CyberAllocator,0.00439978001099945
88,CyberAllocator,0.0
89,CyberAllocator,0.004499775011249438
90,CyberAllocator,0.004549772511374431
91,CyberAllocator,0.0
92,CyberAllocator,0.0
93,CyberAllocator,0.0
94,CyberAllocator,0.0
95,CyberAllocator,0.0047997600119994
96,CyberAllocator,0.0
97,CyberAllocator,0.0
98,CyberAllocator,0.004949752512374382
99,CyberAllocator,0.0
100,CyberAllocator,0.0
101,CyberAllocator,0.0
102,CyberAllocator,0.0
103,CyberAllocator,0.0
104,CyberAllocator,0.0
105,CyberAllocator,0.0
106,CyberAllocator,0.0
107,CyberAllocator,0.005399730013499325
108,CyberAllocator,0.0
109,CyberAllocator,0.005499725013749313
110,CyberAllocator,0.005549722513874306
111,CyberAllocator,0.0
112,CyberAllocator,0.0
113,CyberAllocator,0.0
114,CyberAllocator,0.0
115,CyberAllocator,0.005799710014499275
116,CyberAllocator,0.0
117,CyberAllocator,0.0
118,CyberAllocator,0.005949702514874256
119,CyberAllocator,0.0
120,CyberAllocator,0.006049697515124244
121,CyberAllocator,0.0
