field,status,source
bad_debt_score,ALLOWED,CapitalReport.to_vector()
calibration_error,ALLOWED,CapitalReport.to_vector()
capital_age,ALLOWED,CapitalReport.to_vector()
capital_local_ood_score,ALLOWED,CapitalReport.to_vector()
confidence,ALLOWED,CapitalReport.to_vector()
depreciation_score,ALLOWED,CapitalReport.to_vector()
expected_probe_value,ALLOWED,CapitalReport.to_vector()
goal_shift_score,ALLOWED,CapitalReport.to_vector()
impairment_flag,ALLOWED,CapitalReport.to_vector()
inference_cost,ALLOWED,CapitalReport.to_vector()
nearest_support_distance,ALLOWED,CapitalReport.to_vector()
predicted_utility,ALLOWED,CapitalReport.to_vector()
probe_cost,ALLOWED,CapitalReport.to_vector()
realization_rate,ALLOWED,CapitalReport.to_vector()
realized_utility,ALLOWED,CapitalReport.to_vector()
recent_prediction_error,ALLOWED,CapitalReport.to_vector()
recent_regret,ALLOWED,CapitalReport.to_vector()
recent_transfer_regret,ALLOWED,CapitalReport.to_vector()
recommended_action,ALLOWED,CapitalReport.to_vector()
storage_cost,ALLOWED,CapitalReport.to_vector()
transfer_success_rate,ALLOWED,CapitalReport.to_vector()
uncertainty_reduction_if_probe,ALLOWED,CapitalReport.to_vector()
update_cost,ALLOWED,CapitalReport.to_vector()
action_effect_rule_name,FORBIDDEN,N/A
delay_strength,FORBIDDEN,N/A
env_id,FORBIDDEN,N/A
env_name,FORBIDDEN,N/A
friction,FORBIDDEN,N/A
hand_written_regime_label,FORBIDDEN,N/A
manually_computed_global_coverage,FORBIDDEN,N/A
mode_type,FORBIDDEN,N/A
state_dim,FORBIDDEN,N/A
task_id,FORBIDDEN,N/A
task_type,FORBIDDEN,N/A
utility_type,FORBIDDEN,N/A
