step,allocator,cumulative_regret
0,CyberAllocator,1.0
1,CyberAllocator,2.0
2,CyberAllocator,2.0
3,CyberAllocator,2.0
4,CyberAllocator,2.0
5,CyberAllocator,2.0
6,CyberAllocator,2.0
7,CyberAllocator,2.0
8,CyberAllocator,2.0
9,CyberAllocator,2.0
10,CyberAllocator,2.0
11,CyberAllocator,2.0
12,CyberAllocator,2.0
13,CyberAllocator,2.0
14,CyberAllocator,2.0
15,CyberAllocator,3.0
16,CyberAllocator,3.0
17,CyberAllocator,3.0
18,CyberAllocator,3.0
19,CyberAllocator,3.0
20,CyberAllocator,4.0
21,CyberAllocator,4.0
22,CyberAllocator,4.0
23,CyberAllocator,4.0
24,CyberAllocator,4.0
25,CyberAllocator,4.0
26,CyberAllocator,4.0
27,CyberAllocator,4.0
28,CyberAllocator,4.0
29,CyberAllocator,5.0
30,CyberAllocator,5.0
31,CyberAllocator,5.0
32,CyberAllocator,5.0
33,CyberAllocator,5.0
34,CyberAllocator,5.0
35,CyberAllocator,5.0
36,CyberAllocator,5.0
37,CyberAllocator,5.0
38,CyberAllocator,5.0
39,CyberAllocator,5.0
40,CyberAllocator,5.0
41,CyberAllocator,5.0
42,CyberAllocator,5.0
43,CyberAllocator,5.0
44,CyberAllocator,5.0
45,CyberAllocator,5.0
46,CyberAllocator,5.0
47,CyberAllocator,5.0
48,CyberAllocator,5.0
49,CyberAllocator,5.0
50,CyberAllocator,5.0
51,CyberAllocator,5.0
52,CyberAllocator,5.0
53,CyberAllocator,5.0
54,CyberAllocator,5.0
55,CyberAllocator,6.0
56,CyberAllocator,6.0
57,CyberAllocator,6.0
58,CyberAllocator,6.0
59,CyberAllocator,7.0
60,CyberAllocator,7.0
61,CyberAllocator,7.0
62,CyberAllocator,7.0
63,CyberAllocator,8.0
64,CyberAllocator,9.0
65,CyberAllocator,9.0
66,CyberAllocator,10.0
67,CyberAllocator,10.0
68,CyberAllocator,11.0
69,CyberAllocator,11.0
70,CyberAllocator,11.0
71,CyberAllocator,11.0
72,CyberAllocator,11.0
73,CyberAllocator,12.0
74,CyberAllocator,12.0
75,CyberAllocator,12.0
76,CyberAllocator,12.0
77,CyberAllocator,12.0
78,CyberAllocator,12.0
79,CyberAllocator,12.0
80,CyberAllocator,12.0
81,CyberAllocator,12.0
82,CyberAllocator,12.0
83,CyberAllocator,12.0
84,CyberAllocator,12.0
85,CyberAllocator,12.0
86,CyberAllocator,12.0
87,CyberAllocator,13.0
88,CyberAllocator,13.0
89,CyberAllocator,14.0
90,CyberAllocator,15.0
91,CyberAllocator,15.0
92,CyberAllocator,15.0
93,CyberAllocator,15.0
94,CyberAllocator,15.0
95,CyberAllocator,16.0
96,CyberAllocator,16.0
97,CyberAllocator,16.0
98,CyberAllocator,17.0
99,CyberAllocator,17.0
100,CyberAllocator,17.0
101,CyberAllocator,17.0
102,CyberAllocator,17.0
103,CyberAllocator,17.0
104,CyberAllocator,17.0
105,CyberAllocator,17.0
106,CyberAllocator,17.0
107,CyberAllocator,18.0
108,CyberAllocator,18.0
109,CyberAllocator,19.0
110,CyberAllocator,20.0
111,CyberAllocator,20.0
112,CyberAllocator,20.0
113,CyberAllocator,20.0
114,CyberAllocator,20.0
115,CyberAllocator,21.0
116,CyberAllocator,21.0
117,CyberAllocator,21.0
118,CyberAllocator,22.0
119,CyberAllocator,22.0
120,CyberAllocator,23.0
121,CyberAllocator,23.0
122,CyberAllocator,23.0
123,CyberAllocator,24.0
124,CyberAllocator,24.0
125,CyberAllocator,24.0
126,CyberAllocator,24.0
127,CyberAllocator,24.0
128,CyberAllocator,24.0
129,CyberAllocator,25.0
130,CyberAllocator,26.0
131,CyberAllocator,27.0
132,CyberAllocator,28.0
133,CyberAllocator,29.0
134,CyberAllocator,30.0
135,CyberAllocator,31.0
136,CyberAllocator,32.0
137,CyberAllocator,33.0
138,CyberAllocator,34.0
139,CyberAllocator,35.0
140,CyberAllocator,36.0
141,CyberAllocator,37.0
142,CyberAllocator,38.0
143,CyberAllocator,39.0
144,CyberAllocator,40.0
145,CyberAllocator,41.0
146,CyberAllocator,42.0
147,CyberAllocator,43.0
148,CyberAllocator,44.0
149,CyberAllocator,45.0
150,CyberAllocator,45.0
151,CyberAllocator,45.0
152,CyberAllocator,46.0
153,CyberAllocator,46.0
154,CyberAllocator,46.0
155,CyberAllocator,47.0
156,CyberAllocator,47.0
157,CyberAllocator,47.0
158,CyberAllocator,47.0
159,CyberAllocator,47.0
160,CyberAllocator,48.0
161,CyberAllocator,48.0
162,CyberAllocator,48.0
163,CyberAllocator,49.0
164,CyberAllocator,49.0
165,CyberAllocator,49.0
166,CyberAllocator,50.0
167,CyberAllocator,51.0
168,CyberAllocator,51.0
169,CyberAllocator,51.0
170,CyberAllocator,52.0
171,CyberAllocator,53.0
172,CyberAllocator,54.0
173,CyberAllocator,54.0
174,CyberAllocator,55.0
175,CyberAllocator,56.0
176,CyberAllocator,57.0
177,CyberAllocator,58.0
178,CyberAllocator,59.0
179,CyberAllocator,60.0
180,CyberAllocator,61.0
181,CyberAllocator,62.0
182,CyberAllocator,63.0
183,CyberAllocator,64.0
184,CyberAllocator,65.0
185,CyberAllocator,66.0
186,CyberAllocator,67.0
187,CyberAllocator,68.0
188,CyberAllocator,69.0
189,CyberAllocator,70.0
190,CyberAllocator,70.0
191,CyberAllocator,70.0
192,CyberAllocator,70.0
193,CyberAllocator,70.0
194,CyberAllocator,70.0
195,CyberAllocator,70.0
196,CyberAllocator,70.0
197,CyberAllocator,70.0
198,CyberAllocator,70.0
199,CyberAllocator,70.0
200,CyberAllocator,71.0
201,CyberAllocator,71.0
202,CyberAllocator,71.0
203,CyberAllocator,72.0
204,CyberAllocator,72.0
205,CyberAllocator,72.0
206,CyberAllocator,73.0
207,CyberAllocator,73.0
208,CyberAllocator,73.0
209,CyberAllocator,73.0
210,CyberAllocator,74.0
211,CyberAllocator,75.0
212,CyberAllocator,75.0
213,CyberAllocator,75.0
214,CyberAllocator,75.0
215,CyberAllocator,75.0
216,CyberAllocator,75.0
217,CyberAllocator,75.0
218,CyberAllocator,75.0
219,CyberAllocator,76.0
220,CyberAllocator,77.0
221,CyberAllocator,78.0
222,CyberAllocator,78.0
223,CyberAllocator,78.0
224,CyberAllocator,79.0
225,CyberAllocator,79.0
226,CyberAllocator,79.0
227,CyberAllocator,79.0
228,CyberAllocator,79.0
229,CyberAllocator,80.0
230,CyberAllocator,81.0
231,CyberAllocator,82.0
232,CyberAllocator,83.0
233,CyberAllocator,84.0
234,CyberAllocator,85.0
235,CyberAllocator,86.0
236,CyberAllocator,87.0
237,CyberAllocator,88.0
238,CyberAllocator,89.0
239,CyberAllocator,90.0
240,CyberAllocator,91.0
241,CyberAllocator,92.0
242,CyberAllocator,93.0
243,CyberAllocator,94.0
244,CyberAllocator,95.0
245,CyberAllocator,96.0
246,CyberAllocator,97.0
247,CyberAllocator,98.0
248,CyberAllocator,99.0
249,CyberAllocator,100.0
