step,capital,action,oracle,correct,utility,regret
0,pc,0,2,0,-3.285128116607666,1.0
1,pc,0,1,0,-1.465555191040039,1.0
2,pc,0,1,0,-2.659332275390625,1.0
3,pc,0,1,0,-0.909437894821167,1.0
4,pc,0,1,0,-1.0548595190048218,1.0
5,pc,2,2,1,-6.207993507385254,0.0
6,pc,0,2,0,-3.285128116607666,1.0
7,pc,2,2,1,-5.966738700866699,0.0
8,pc,0,1,0,-2.6814560890197754,1.0
9,pc,2,1,0,-2.6435699462890625,1.0
10,pc,2,2,1,-4.128691673278809,0.0
11,pc,2,2,1,-5.323126792907715,0.0
12,pc,0,1,0,-2.7521486282348633,1.0
13,pc,0,1,0,-2.192657947540283,1.0
14,pc,2,1,0,-3.018929958343506,1.0
15,pc,2,2,1,-2.7349495887756348,0.0
16,pc,1,1,1,-7.3719482421875,0.0
17,pc,2,1,0,-2.902862787246704,1.0
18,pc,2,2,1,-4.057974815368652,0.0
19,pc,0,2,0,-2.3072128295898438,1.0
20,pc,2,2,1,-3.29349422454834,0.0
21,pc,0,1,0,-2.4407269954681396,1.0
22,pc,0,1,0,-2.9498705863952637,1.0
23,pc,2,2,1,-5.983392715454102,0.0
24,pc,0,1,0,-2.616908550262451,1.0
25,pc,2,2,1,-5.884681224822998,0.0
26,pc,0,1,0,-2.8958144187927246,1.0
27,pc,2,1,0,-1.7792394161224365,1.0
28,pc,2,1,0,-3.4449965953826904,1.0
29,pc,2,1,0,-2.209763288497925,1.0
30,pc,0,2,0,-2.3072128295898438,1.0
31,pc,0,1,0,-1.911249041557312,1.0
32,pc,2,1,0,-2.6435699462890625,1.0
33,pc,0,1,0,-2.5304136276245117,1.0
34,pc,2,2,1,-4.66818904876709,0.0
35,pc,2,1,0,-2.8778438568115234,1.0
36,pc,2,2,1,-6.207993507385254,0.0
37,pc,1,1,1,-7.798065185546875,0.0
38,pc,0,2,0,-2.8305866718292236,1.0
39,pc,1,1,1,-7.912727355957031,0.0
40,pc,2,2,1,-5.857203006744385,0.0
41,pc,2,2,1,-5.229630947113037,0.0
42,pc,0,2,0,-3.284532070159912,1.0
43,pc,2,1,0,-2.907311201095581,1.0
44,pc,0,1,0,-2.318976879119873,1.0
45,pc,0,1,0,-1.542922854423523,1.0
46,pc,2,1,0,-2.975996494293213,1.0
47,pc,0,1,0,-2.0273830890655518,1.0
48,pc,2,2,1,-3.1096692085266113,0.0
49,pc,2,1,0,-3.096069812774658,1.0
50,pc,2,2,1,-5.229630947113037,0.0
51,pc,2,2,1,-3.2901487350463867,0.0
52,pc,2,2,1,-1.7974333763122559,0.0
53,pc,0,2,0,-3.7374305725097656,1.0
54,pc,2,1,0,-3.539621353149414,1.0
55,pc,2,2,1,-5.201759338378906,0.0
56,pc,2,1,0,-3.4449965953826904,1.0
57,pc,0,1,0,-1.5131537914276123,1.0
58,pc,0,1,0,-2.512261390686035,1.0
59,pc,0,1,0,-3.019045352935791,1.0
60,pc,2,2,1,-4.4465813636779785,0.0
61,pc,0,1,0,-2.512261390686035,1.0
62,pc,2,2,1,-5.162289619445801,0.0
63,pc,0,2,0,-3.2980685234069824,1.0
64,pc,2,2,1,-6.226901054382324,0.0
65,pc,2,2,1,-5.693042755126953,0.0
66,pc,2,2,1,-6.336452484130859,0.0
67,pc,0,1,0,-2.4407269954681396,1.0
68,pc,1,1,1,-6.904509544372559,0.0
69,pc,0,2,0,-3.7374305725097656,1.0
70,pc,0,1,0,-3.302799701690674,1.0
71,pc,0,1,0,-2.899614095687866,1.0
72,pc,2,2,1,-3.8600716590881348,0.0
73,pc,2,1,0,-2.902862787246704,1.0
74,pc,1,1,1,-7.122551918029785,0.0
75,pc,0,1,0,-3.0402307510375977,1.0
76,pc,0,1,0,-2.5655133724212646,1.0
77,pc,0,1,0,-1.911249041557312,1.0
78,pc,2,1,0,-2.3810815811157227,1.0
79,pc,2,2,1,-5.347565650939941,0.0
80,pc,0,1,0,-2.406235694885254,1.0
81,pc,0,1,0,-0.909437894821167,1.0
82,pc,0,1,0,-3.060615301132202,1.0
83,pc,2,2,1,-6.557780742645264,0.0
84,pc,0,1,0,-3.5747058391571045,1.0
85,pc,0,2,0,-3.284532070159912,1.0
86,pc,2,2,1,-5.675712585449219,0.0
87,pc,2,1,0,-2.950730562210083,1.0
88,pc,0,1,0,-2.9408936500549316,1.0
89,pc,2,2,1,-6.557780742645264,0.0
90,pc,0,1,0,-0.909437894821167,1.0
