capital_0,capital_1,capital_2,capital_3,step
0.25,0.25,0.25,0.25,0
0.24223724,0.24223724,0.27328828,0.24223724,1
0.23744062,0.23744062,0.28767815,0.23744062,2
0.23092319,0.25837192,0.27978176,0.23092319,3
0.22998504,0.26138476,0.27864513,0.22998504,4
0.22994885,0.26139703,0.27865824,0.22999586,5
0.22354041,0.25411218,0.29876122,0.22358613,6
0.2245664,0.2552785,0.30013245,0.22002263,7
0.23943798,0.25038263,0.29437637,0.21580295,8
0.24380611,0.24894463,0.2926857,0.21456353,9
0.23828563,0.24330778,0.30870143,0.20970519,10
0.23950033,0.24454808,0.31027508,0.20567647,11
0.23424362,0.2391806,0.32541355,0.20116214,12
0.24120615,0.23700592,0.32245484,0.19933315,13
0.23746926,0.23333411,0.3329516,0.19624497,14
0.24381466,0.23139241,0.33018097,0.19461192,15
0.23999192,0.22776444,0.34068304,0.19156063,16
0.23633279,0.22429174,0.3507356,0.18863991,17
0.22819991,0.22668037,0.35447082,0.19064887,18
0.22866556,0.22714293,0.35315362,0.1910379,19
0.22612019,0.2246145,0.36035398,0.18891138,20
0.23066433,0.22329557,0.35823798,0.18780209,21
0.22822791,0.22093698,0.3650168,0.1858184,22
0.22427447,0.21710983,0.37601605,0.18259959,23
0.22310005,0.21597295,0.37928367,0.18164341,24
0.22155191,0.21447426,0.3835909,0.18038295,25
0.21563727,0.20874856,0.4000468,0.17556737,26
0.2135614,0.20673901,0.39619568,0.18350397,27
0.21557315,0.20868649,0.3905078,0.18523258,28
0.21441182,0.20756225,0.39379123,0.18423471,29
0.2163661,0.2094541,0.38826594,0.18591392,30
0.22334865,0.20758775,0.38480628,0.18425733,31
0.21973456,0.2042287,0.3947609,0.1812758,32
0.22096589,0.20537314,0.396973,0.1766879,33
0.22037558,0.20482449,0.39858404,0.17621589,34
0.21975365,0.20424645,0.4002813,0.17571858,35
0.22388723,0.2031644,0.3981607,0.17478767,36
0.2249206,0.20410211,0.39538282,0.1755944,37
0.22792988,0.20683286,0.38729355,0.17794372,38
0.22755635,0.2064939,0.38665888,0.17929092,39
0.22676456,0.2057754,0.38879296,0.17866707,40
0.24075437,0.2020524,0.38175872,0.17543453,41
0.24013884,0.20409238,0.3807827,0.17498602,42
0.24055761,0.2044483,0.37970287,0.17529117,43
0.2366076,0.20551167,0.3816778,0.1762029,44
0.23676719,0.2056503,0.38193527,0.17564726,45
0.23533943,0.20441018,0.3856623,0.17458807,46
0.2358844,0.20488353,0.3842397,0.17499235,47
0.23837386,0.20704582,0.37774113,0.17683919,48
0.23782286,0.20656723,0.3791795,0.17643042,49
0.23483972,0.20397615,0.38696676,0.17421736,50
0.2342984,0.20350596,0.38837984,0.17381577,51
0.23348677,0.202801,0.38703445,0.17667772,52
0.23527133,0.20435104,0.3899926,0.170385,53
0.23453039,0.20370747,0.3919138,0.16984841,54
