method,window_size,cv_accuracy,n_samples
fixed_window_N=1,1,0.5333333333333333,600
fixed_window_N=3,3,0.5333333333333333,600
fixed_window_N=5,5,0.5333333333333333,600
fixed_window_N=10,10,0.5333333333333333,600
fixed_window_N=20,20,0.5333333333333333,600
fixed_window_N=30,30,0.5333333333333333,600
EMA_fast,10.000000000000002,0.5333333333333333,600
EMA_medium,2.0,0.5333333333333333,600
EMA_slow,1.25,0.5333333333333333,600
dual_timescale_diff,N/A,0.5333333333333333,600
change_point_reset_EMA,reset,0.5333333333333333,600
