invariant,selector,violations,n_steps,passed,value_left,value_right,value
selector_reward == oracle_set_hit,LogisticRegressionSelector,0.0,600.0,True,,,
selector_reward == oracle_set_hit,RandomForestSelector,0.0,600.0,True,,,
selector_reward == oracle_set_hit,MLPReportSelector,0.0,600.0,True,,,
strict_oracle_hit <= oracle_set_hit,LogisticRegressionSelector,0.0,600.0,True,,,
strict_oracle_hit <= oracle_set_hit,RandomForestSelector,0.0,600.0,True,,,
strict_oracle_hit <= oracle_set_hit,MLPReportSelector,0.0,600.0,True,,,
OracleHindsight >= allocator,BestSingleCapital,,,True,0.7666666507720947,0.6050000190734863,
OracleHindsight >= allocator,LogisticRegressionSelector,,,True,0.7666666507720947,0.2916666567325592,
OracleHindsight >= allocator,RandomForestSelector,,,True,0.7666666507720947,0.2916666567325592,
OracleHindsight >= allocator,MLPReportSelector,,,True,0.7666666507720947,0.2916666567325592,
cumulative_regret >= 0,BestSingleCapital,,,True,,,285.0
cumulative_regret >= 0,LogisticRegressionSelector,,,True,,,285.0
cumulative_regret >= 0,RandomForestSelector,,,True,,,285.0
cumulative_regret >= 0,MLPReportSelector,,,True,,,285.0
no_protection fallback_count == 0,Cyber_no_protection,,,True,,,0.0
