field,status,category
recommended_action,ALLOWED,v2_report
predicted_utility,ALLOWED,v2_report
recent_prediction_error,ALLOWED,v2_report
recent_regret,ALLOWED,v2_report
confidence,ALLOWED,v2_report
calibration_error,ALLOWED,v2_report
realized_utility,ALLOWED,v2_report
realization_rate,ALLOWED,v2_report
capital_local_ood_score,ALLOWED,v2_report
nearest_support_distance,ALLOWED,v2_report
inference_cost,ALLOWED,v2_report
update_cost,ALLOWED,v2_report
storage_cost,ALLOWED,v2_report
probe_cost,ALLOWED,v2_report
goal_shift_score,ALLOWED,v2_report
transfer_success_rate,ALLOWED,v2_report
recent_transfer_regret,ALLOWED,v2_report
expected_probe_value,ALLOWED,v2_report
uncertainty_reduction_if_probe,ALLOWED,v2_report
capital_age,ALLOWED,v2_report
depreciation_score,ALLOWED,v2_report
bad_debt_score,ALLOWED,v2_report
impairment_flag,ALLOWED,v2_report
action_margin,ALLOWED,v2_report
predicted_best_action_value,ALLOWED,v2_report
second_best_action_value,ALLOWED,v2_report
local_counterfactual_spread,ALLOWED,v2_report
self_consistency_score,ALLOWED,v2_report
local_support_quality,ALLOWED,v2_report
extrapolation_distance,ALLOWED,v2_report
goal_relevance_score,ALLOWED,v2_report
disagreement_with_portfolio,ALLOWED,v2_report
current_uncertainty,ALLOWED,v2_report
capital_specific_expected_regret,ALLOWED,v2_report
transition_sensitivity,ALLOWED,v2_report
env_name,FORBIDDEN,env_metadata
env_id,FORBIDDEN,env_metadata
task_id,FORBIDDEN,env_metadata
task_type,FORBIDDEN,env_metadata
state_dim,FORBIDDEN,env_metadata
utility_type,FORBIDDEN,env_metadata
mode_type,FORBIDDEN,env_metadata
friction,FORBIDDEN,env_metadata
delay_strength,FORBIDDEN,env_metadata
hand_written_regime_label,FORBIDDEN,env_metadata
manually_computed_global_coverage,FORBIDDEN,env_metadata
TOTAL_FEATURES,175,dimension
FORBIDDEN_FOUND,0,audit
