seed,BestSingle,OracleHindsight,LR_v2,RF_v2,GB_v2,MLP_v2,GB_v2_delta,oracle_gap,cumulative_regret,fallback_reward,fallback_delta,selected_threshold
43,0.6016666889190674,0.7633333206176758,0.49000000953674316,0.4866666793823242,0.6266666650772095,0.3766666650772095,0.02499997615814209,0.1366666555404663,82.0,0.6166666746139526,0.016666650772094727,0.7
44,0.6066666841506958,0.7733333110809326,0.5916666388511658,0.5766666531562805,0.6416666507720947,0.38499999046325684,0.034999966621398926,0.1316666603088379,79.0,0.7766666412353516,0.0899999737739563,0.9
45,0.6116666793823242,0.753333330154419,0.5600000023841858,0.5649999976158142,0.6416666507720947,0.3816666603088379,0.029999971389770508,0.11166667938232422,67.0,0.6133333444595337,0.04666668176651001,0.8
46,0.6100000143051147,0.7599999904632568,0.4866666793823242,0.5049999952316284,0.6383333206176758,0.36666667461395264,0.028333306312561035,0.12166666984558105,73.0,0.5600000023841858,0.019999980926513672,0.9
47,0.6066666841506958,0.7716666460037231,0.550000011920929,0.5649999976158142,0.653333306312561,0.37833333015441895,0.046666622161865234,0.11833333969116211,71.0,0.5766666531562805,-0.043333351612091064,0.8
48,0.6116666793823242,0.7649999856948853,0.5766666531562805,0.5766666531562805,0.6466666460037231,0.3633333444595337,0.034999966621398926,0.11833333969116211,71.0,0.5699999928474426,0.06666666269302368,0.8
49,0.6100000143051147,0.7683333158493042,0.5583333373069763,0.5366666913032532,0.6433333158493042,0.375,0.03333330154418945,0.125,75.0,0.6499999761581421,0.019999980926513672,0.8
50,0.5916666388511658,0.7683333158493042,0.5633333325386047,0.5816666483879089,0.6449999809265137,0.36500000953674316,0.0533333420753479,0.12333333492279053,74.0,0.6299999952316284,0.12666666507720947,0.8
51,0.6083333492279053,0.7683333158493042,0.5450000166893005,0.49166667461395264,0.6299999952316284,0.37166666984558105,0.021666646003723145,0.13833332061767578,83.0,0.6766666769981384,0.06666666269302368,0.7
52,0.6033333539962769,0.7616666555404663,0.5633333325386047,0.5933333039283752,0.6433333158493042,0.36666667461395264,0.039999961853027344,0.11833333969116211,71.0,0.5600000023841858,0.0033333301544189453,0.7
