step,task,chosen,correct,regret
0,C_dense_support,goalinfer,1.0,0.0
1,C_dense_support,policy,1.0,0.0
2,C_dense_support,protomem,1.0,0.0
3,C_dense_support,protomem,1.0,0.0
4,C_dense_support,policy,1.0,0.0
5,C_dense_support,goalinfer,1.0,0.0
6,C_dense_support,policy,1.0,0.0
7,C_dense_support,protomem,1.0,0.0
8,C_dense_support,protomem,1.0,0.0
9,C_dense_support,policy,1.0,0.0
10,C_dense_support,protomem,1.0,0.0
11,C_dense_support,protomem,1.0,0.0
12,C_dense_support,policy,1.0,0.0
13,C_dense_support,goalinfer,1.0,0.0
14,C_dense_support,protomem,1.0,0.0
15,C_dense_support,policy,1.0,0.0
16,C_dense_support,protomem,1.0,0.0
17,C_dense_support,policy,1.0,0.0
18,C_dense_support,goalinfer,1.0,0.0
19,C_dense_support,policy,1.0,0.0
20,A_fixed_goal,policy,1.0,0.0
21,A_fixed_goal,policy,1.0,0.0
22,A_fixed_goal,protomem,1.0,0.0
23,A_fixed_goal,protomem,1.0,0.0
24,A_fixed_goal,policy,1.0,0.0
25,A_fixed_goal,protomem,1.0,0.0
26,A_fixed_goal,goalinfer,1.0,0.0
27,A_fixed_goal,protomem,1.0,0.0
28,A_fixed_goal,policy,1.0,0.0
29,A_fixed_goal,policy,1.0,0.0
30,A_fixed_goal,protomem,1.0,0.0
31,A_fixed_goal,policy,1.0,0.0
32,A_fixed_goal,protomem,1.0,0.0
33,A_fixed_goal,policy,1.0,0.0
34,A_fixed_goal,protomem,1.0,0.0
35,A_fixed_goal,policy,1.0,0.0
36,A_fixed_goal,protomem,1.0,0.0
37,A_fixed_goal,protomem,1.0,0.0
38,A_fixed_goal,policy,1.0,0.0
39,A_fixed_goal,policy,1.0,0.0
40,C_dense_support,protomem,1.0,0.0
41,C_dense_support,goalinfer,1.0,0.0
42,C_dense_support,policy,1.0,0.0
43,C_dense_support,protomem,1.0,0.0
44,C_dense_support,protomem,1.0,0.0
45,C_dense_support,protomem,1.0,0.0
46,C_dense_support,policy,1.0,0.0
47,C_dense_support,policy,1.0,0.0
48,C_dense_support,policy,1.0,0.0
49,C_dense_support,policy,1.0,0.0
50,C_dense_support,protomem,1.0,0.0
51,C_dense_support,policy,1.0,0.0
52,C_dense_support,protomem,1.0,0.0
53,C_dense_support,policy,1.0,0.0
54,C_dense_support,protomem,1.0,0.0
55,C_dense_support,policy,1.0,0.0
56,C_dense_support,protomem,1.0,0.0
57,C_dense_support,policy,1.0,0.0
58,C_dense_support,policy,1.0,0.0
59,C_dense_support,policy,1.0,0.0
60,A_fixed_goal,protomem,1.0,0.0
61,A_fixed_goal,protomem,1.0,0.0
62,A_fixed_goal,policy,1.0,0.0
63,A_fixed_goal,protomem,1.0,0.0
64,A_fixed_goal,protomem,1.0,0.0
65,A_fixed_goal,policy,1.0,0.0
66,A_fixed_goal,policy,1.0,0.0
67,A_fixed_goal,goalinfer,1.0,0.0
68,A_fixed_goal,protomem,1.0,0.0
69,A_fixed_goal,policy,1.0,0.0
70,A_fixed_goal,policy,1.0,0.0
71,A_fixed_goal,policy,1.0,0.0
72,A_fixed_goal,policy,1.0,0.0
73,A_fixed_goal,goalinfer,1.0,0.0
74,A_fixed_goal,protomem,1.0,0.0
75,A_fixed_goal,policy,1.0,0.0
76,A_fixed_goal,goalinfer,1.0,0.0
77,A_fixed_goal,policy,1.0,0.0
78,A_fixed_goal,protomem,1.0,0.0
79,A_fixed_goal,protomem,1.0,0.0
80,B_goal_transfer,protomem,1.0,0.0
81,B_goal_transfer,protomem,1.0,0.0
82,B_goal_transfer,policy,1.0,0.0
83,B_goal_transfer,policy,1.0,0.0
84,B_goal_transfer,protomem,1.0,0.0
85,B_goal_transfer,policy,1.0,0.0
86,B_goal_transfer,protomem,1.0,0.0
87,B_goal_transfer,protomem,1.0,0.0
88,B_goal_transfer,protomem,1.0,0.0
89,B_goal_transfer,protomem,1.0,0.0
90,B_goal_transfer,protomem,1.0,0.0
91,B_goal_transfer,policy,1.0,0.0
92,B_goal_transfer,protomem,1.0,0.0
93,B_goal_transfer,policy,1.0,0.0
94,B_goal_transfer,protomem,1.0,0.0
95,B_goal_transfer,protomem,1.0,0.0
96,B_goal_transfer,protomem,1.0,0.0
97,B_goal_transfer,policy,1.0,0.0
98,B_goal_transfer,protomem,1.0,0.0
99,B_goal_transfer,protomem,1.0,0.0
100,B_goal_transfer,protomem,1.0,0.0
101,B_goal_transfer,protomem,1.0,0.0
102,B_goal_transfer,policy,1.0,0.0
