step,correct,regret,cumulative_regret,cost_normalized_regret,chosen
0,1.0,0.0,0.0,0.0,goalinfer
1,1.0,0.0,0.0,0.0,policy
2,1.0,0.0,0.0,0.0,protomem
3,1.0,0.0,0.0,0.0,protomem
4,1.0,0.0,0.0,0.0,policy
5,1.0,0.0,0.0,0.0,goalinfer
6,1.0,0.0,0.0,0.0,policy
7,1.0,0.0,0.0,0.0,protomem
8,1.0,0.0,0.0,0.0,protomem
9,1.0,0.0,0.0,0.0,policy
10,1.0,0.0,0.0,0.0,protomem
11,1.0,0.0,0.0,0.0,protomem
12,1.0,0.0,0.0,0.0,policy
13,1.0,0.0,0.0,0.0,goalinfer
14,1.0,0.0,0.0,0.0,protomem
15,1.0,0.0,0.0,0.0,policy
16,1.0,0.0,0.0,0.0,protomem
17,1.0,0.0,0.0,0.0,policy
18,1.0,0.0,0.0,0.0,goalinfer
19,1.0,0.0,0.0,0.0,policy
20,1.0,0.0,0.0,0.0,policy
21,1.0,0.0,0.0,0.0,policy
22,1.0,0.0,0.0,0.0,protomem
23,1.0,0.0,0.0,0.0,protomem
24,1.0,0.0,0.0,0.0,policy
25,1.0,0.0,0.0,0.0,protomem
26,1.0,0.0,0.0,0.0,goalinfer
27,1.0,0.0,0.0,0.0,protomem
28,1.0,0.0,0.0,0.0,policy
29,1.0,0.0,0.0,0.0,policy
30,1.0,0.0,0.0,0.0,protomem
31,1.0,0.0,0.0,0.0,policy
32,1.0,0.0,0.0,0.0,protomem
33,1.0,0.0,0.0,0.0,policy
34,1.0,0.0,0.0,0.0,protomem
35,1.0,0.0,0.0,0.0,policy
36,1.0,0.0,0.0,0.0,protomem
37,1.0,0.0,0.0,0.0,protomem
38,1.0,0.0,0.0,0.0,policy
39,1.0,0.0,0.0,0.0,policy
40,1.0,0.0,0.0,0.0,protomem
41,1.0,0.0,0.0,0.0,goalinfer
42,1.0,0.0,0.0,0.0,policy
43,1.0,0.0,0.0,0.0,protomem
44,1.0,0.0,0.0,0.0,protomem
45,1.0,0.0,0.0,0.0,protomem
46,1.0,0.0,0.0,0.0,policy
47,1.0,0.0,0.0,0.0,policy
48,1.0,0.0,0.0,0.0,policy
49,1.0,0.0,0.0,0.0,policy
50,1.0,0.0,0.0,0.0,protomem
51,1.0,0.0,0.0,0.0,policy
52,1.0,0.0,0.0,0.0,protomem
53,1.0,0.0,0.0,0.0,policy
54,1.0,0.0,0.0,0.0,protomem
55,1.0,0.0,0.0,0.0,policy
56,1.0,0.0,0.0,0.0,protomem
57,1.0,0.0,0.0,0.0,policy
58,1.0,0.0,0.0,0.0,policy
59,1.0,0.0,0.0,0.0,policy
60,1.0,0.0,0.0,0.0,protomem
61,1.0,0.0,0.0,0.0,protomem
62,1.0,0.0,0.0,0.0,policy
63,1.0,0.0,0.0,0.0,protomem
64,1.0,0.0,0.0,0.0,protomem
65,1.0,0.0,0.0,0.0,policy
66,1.0,0.0,0.0,0.0,policy
67,1.0,0.0,0.0,0.0,goalinfer
68,1.0,0.0,0.0,0.0,protomem
69,1.0,0.0,0.0,0.0,policy
70,1.0,0.0,0.0,0.0,policy
71,1.0,0.0,0.0,0.0,policy
72,1.0,0.0,0.0,0.0,policy
73,1.0,0.0,0.0,0.0,goalinfer
74,1.0,0.0,0.0,0.0,protomem
75,1.0,0.0,0.0,0.0,policy
76,1.0,0.0,0.0,0.0,goalinfer
77,1.0,0.0,0.0,0.0,policy
78,1.0,0.0,0.0,0.0,protomem
79,1.0,0.0,0.0,0.0,protomem
80,1.0,0.0,0.0,0.0,protomem
81,1.0,0.0,0.0,0.0,protomem
82,1.0,0.0,0.0,0.0,policy
83,1.0,0.0,0.0,0.0,policy
84,1.0,0.0,0.0,0.0,protomem
85,1.0,0.0,0.0,0.0,policy
86,1.0,0.0,0.0,0.0,protomem
87,1.0,0.0,0.0,0.0,protomem
88,1.0,0.0,0.0,0.0,protomem
89,1.0,0.0,0.0,0.0,protomem
90,1.0,0.0,0.0,0.0,protomem
91,1.0,0.0,0.0,0.0,policy
92,1.0,0.0,0.0,0.0,protomem
93,1.0,0.0,0.0,0.0,policy
94,1.0,0.0,0.0,0.0,protomem
95,1.0,0.0,0.0,0.0,protomem
96,1.0,0.0,0.0,0.0,protomem
97,1.0,0.0,0.0,0.0,policy
98,1.0,0.0,0.0,0.0,protomem
99,1.0,0.0,0.0,0.0,protomem
100,1.0,0.0,0.0,0.0,protomem
101,1.0,0.0,0.0,0.0,protomem
102,1.0,0.0,0.0,0.0,policy
103,1.0,0.0,0.0,0.0,protomem
104,1.0,0.0,0.0,0.0,protomem
105,1.0,0.0,0.0,0.0,protomem
106,1.0,0.0,0.0,0.0,protomem
107,1.0,0.0,0.0,0.0,protomem
108,1.0,0.0,0.0,0.0,protomem
109,1.0,0.0,0.0,0.0,protomem
110,1.0,0.0,0.0,0.0,protomem
111,1.0,0.0,0.0,0.0,policy
112,1.0,0.0,0.0,0.0,policy
113,1.0,0.0,0.0,0.0,protomem
114,1.0,0.0,0.0,0.0,protomem
115,1.0,0.0,0.0,0.0,policy
116,1.0,0.0,0.0,0.0,protomem
117,1.0,0.0,0.0,0.0,goalinfer
118,1.0,0.0,0.0,0.0,policy
119,1.0,0.0,0.0,0.0,protomem
120,1.0,0.0,0.0,0.0,goalinfer
121,1.0,0.0,0.0,0.0,goalinfer
122,1.0,0.0,0.0,0.0,policy
123,1.0,0.0,0.0,0.0,policy
124,1.0,0.0,0.0,0.0,protomem
125,1.0,0.0,0.0,0.0,policy
126,1.0,0.0,0.0,0.0,protomem
127,1.0,0.0,0.0,0.0,policy
128,1.0,0.0,0.0,0.0,policy
129,1.0,0.0,0.0,0.0,goalinfer
130,1.0,0.0,0.0,0.0,goalinfer
131,1.0,0.0,0.0,0.0,policy
132,1.0,0.0,0.0,0.0,protomem
133,1.0,0.0,0.0,0.0,protomem
134,1.0,0.0,0.0,0.0,protomem
135,1.0,0.0,0.0,0.0,policy
136,1.0,0.0,0.0,0.0,policy
137,1.0,0.0,0.0,0.0,policy
138,1.0,0.0,0.0,0.0,protomem
139,1.0,0.0,0.0,0.0,goalinfer
140,1.0,0.0,0.0,0.0,policy
141,1.0,0.0,0.0,0.0,protomem
142,1.0,0.0,0.0,0.0,protomem
143,1.0,0.0,0.0,0.0,protomem
144,1.0,0.0,0.0,0.0,policy
145,1.0,0.0,0.0,0.0,protomem
146,1.0,0.0,0.0,0.0,protomem
147,1.0,0.0,0.0,0.0,protomem
148,1.0,0.0,0.0,0.0,policy
149,1.0,0.0,0.0,0.0,policy
150,1.0,0.0,0.0,0.0,protomem
151,1.0,0.0,0.0,0.0,protomem
152,1.0,0.0,0.0,0.0,policy
153,1.0,0.0,0.0,0.0,protomem
154,1.0,0.0,0.0,0.0,protomem
155,1.0,0.0,0.0,0.0,policy
156,1.0,0.0,0.0,0.0,policy
157,1.0,0.0,0.0,0.0,protomem
158,1.0,0.0,0.0,0.0,policy
159,1.0,0.0,0.0,0.0,protomem
160,0.0,1.0,1.0,0.006211180124223602,policy
161,0.0,1.0,2.0,0.012345679012345678,policy
162,0.0,1.0,3.0,0.018404907975460124,policy
163,0.0,1.0,4.0,0.024390243902439025,policy
164,0.0,1.0,5.0,0.030303030303030304,policy
165,0.0,1.0,6.0,0.03614457831325301,policy
166,0.0,1.0,7.0,0.041916167664670656,policy
167,0.0,1.0,8.0,0.047619047619047616,policy
168,0.0,1.0,9.0,0.05325443786982249,policy
169,0.0,1.0,10.0,0.058823529411764705,policy
170,0.0,1.0,11.0,0.06432748538011696,policy
171,0.0,1.0,12.0,0.06976744186046512,policy
172,0.0,1.0,13.0,0.07514450867052024,policy
173,1.0,0.0,13.0,0.07471264367816093,policy
174,0.0,1.0,14.0,0.08,policy
175,0.0,1.0,15.0,0.08522727272727272,policy
176,0.0,1.0,16.0,0.0903954802259887,policy
177,0.0,1.0,17.0,0.09550561797752809,policy
178,0.0,1.0,18.0,0.1005586592178771,policy
179,0.0,1.0,19.0,0.10555555555555556,policy
180,1.0,0.0,19.0,0.10497237569060773,policy
181,1.0,0.0,19.0,0.1043956043956044,policy
182,1.0,0.0,19.0,0.10382513661202186,protomem
183,1.0,0.0,19.0,0.10326086956521739,protomem
184,1.0,0.0,19.0,0.10270270270270271,policy
185,1.0,0.0,19.0,0.10215053763440861,protomem
186,1.0,0.0,19.0,0.10160427807486631,goalinfer
187,1.0,0.0,19.0,0.10106382978723404,protomem
188,1.0,0.0,19.0,0.10052910052910052,policy
189,1.0,0.0,19.0,0.1,policy
190,1.0,0.0,19.0,0.09947643979057591,protomem
191,1.0,0.0,19.0,0.09895833333333333,policy
192,1.0,0.0,19.0,0.09844559585492228,protomem
193,1.0,0.0,19.0,0.0979381443298969,policy
194,1.0,0.0,19.0,0.09743589743589744,protomem
195,1.0,0.0,19.0,0.09693877551020408,policy
196,1.0,0.0,19.0,0.09644670050761421,protomem
197,1.0,0.0,19.0,0.09595959595959595,protomem
198,1.0,0.0,19.0,0.09547738693467336,policy
199,1.0,0.0,19.0,0.095,policy
200,1.0,0.0,19.0,0.0945273631840796,protomem
