task_switch_step,impaired_capital,regret_before_impairment,regret_after_impairment,weight_before_impairment,weight_after_impairment,detection_delay,recovery_delay,fallback_triggered
54,goalinfer,0.5,1.0,0.01,0.0,1,10,False
55,policy,0.5,1.0,0.01,0.0,1,10,False
75,protomem,1.0,1.0,0.01,0.0,1,10,False
77,paramcomp,1.0,1.0,1.0,0.0,1,10,False
230,policy,1.0,1.0,0.01,0.0,1,10,False
231,protomem,1.0,1.0,0.01,0.0,1,10,False
234,paramcomp,1.0,1.0,1.0,0.0,1,10,False
234,goalinfer,1.0,1.0,0.01,0.0,1,10,False
272,paramcomp,0.25,0.0,1.0,0.0,1,10,False
295,protomem,1.0,1.0,0.01,0.0,1,10,False
304,paramcomp,1.0,1.0,1.0,0.0,1,10,False
480,goalinfer,0.75,0.0,0.01,0.0,1,10,False
485,protomem,1.0,1.0,0.01,0.0,1,10,False
485,paramcomp,1.0,1.0,1.0,0.0,1,10,False
580,paramcomp,1.0,1.0,1.0,0.0,1,10,False
581,protomem,1.0,1.0,0.01,0.0,1,10,False
694,paramcomp,1.0,1.0,1.0,0.0,1,10,False
697,protomem,1.0,1.0,0.01,0.0,1,10,False
800,protomem,1.0,1.0,0.01,0.0,1,10,False
804,paramcomp,1.0,1.0,1.0,0.0,1,10,False
836,paramcomp,1.0,1.0,1.0,0.0,1,10,False
924,protomem,1.0,1.0,0.01,0.0,1,10,False
924,paramcomp,1.0,1.0,1.0,0.0,1,10,False
