eval_seed,MetaMLP_score,BestSingle_score,delta,Uniform_score,Random_score,OracleHindsight_score
43,0.588,0.593,-0.0050000000000000044,0.412,0.396,0.7599999904632568
44,0.596,0.579,0.017000000000000015,0.375,0.405,0.7509999871253967
45,0.593,0.566,0.027000000000000024,0.42,0.404,0.7480000257492065
46,0.578,0.567,0.01100000000000001,0.41,0.393,0.753000020980835
47,0.605,0.596,0.009000000000000008,0.391,0.385,0.753000020980835
48,0.637,0.612,0.025000000000000022,0.396,0.386,0.7540000081062317
49,0.568,0.584,-0.016000000000000014,0.357,0.38,0.7459999918937683
50,0.569,0.546,0.02299999999999991,0.36,0.337,0.7480000257492065
51,0.595,0.617,-0.02200000000000002,0.401,0.412,0.7480000257492065
52,0.599,0.608,-0.009000000000000008,0.423,0.451,0.753000020980835
